rank	username	minecraft:used/minecraft:music_disc_cat
1	12Magner05	166
2	Blu3beast	164
3	ItsColin11	83
4	Soplight	56
5	Xclax101	53
5	miramyu	53
7	gren_ben	45
8	kekhon	40
9	Mr_Sun15	38
10	beeperbeeper5	35
11	Kowcio_	33
12	pintsizedrogue	31
13	Inbefour	30
14	Inchef	29
14	Zoeyfortnite	29
16	Kkanot	27
17	eitanzaki	26
17	Tyrannosplart	26
17	DarlaMeow	26
20	Skylord_Luke	25
21	CaracolCxnt	20
21	SteveCraftBlocks	20
23	lorpus	19
24	SnowyAvi	18
24	Segotep999	18
24	CalebDHawk	18
27	Saucepeh	17
27	Krowuss	17
27	Ezekson	17
30	Jimb0nat0r	16
31	Kamflame	15
31	RebytreGT	15
31	jnp_gaming	15
34	joethahobo	14
34	noam464	14
34	Cruncy_	14
34	xorompole	14
34	Yamdalorian	14
39	StarCookiees_	13
39	YungMaki	13
39	Steelynan	13
39	annebolyn	13
43	Prismyst	12
43	Blackberry1310	12
43	Fullut	12
43	SuperPooch06	12
43	EveryonesUncle	12
48	ECstardust	11
48	LovelyDane	11
48	oscminus	11
48	NomadicRobin_	11
52	500am	10
52	TechnoNinja64	10
54	Bandito_Roamer	9
54	olliebollie48	9
54	Werbe	9
54	claivin	9
58	Mr_Byzantine	8
58	PhantomsGhost_	8
58	SmashingPump	8
58	q_wq	8
58	ShedJr_	8
58	skroobiez	8
58	RobotMinion101	8
58	F_Uhre	8
58	Nicserso	8
58	Enderxz3	8
68	Groovy_MoonBird	7
68	k_ce	7
68	PazinGaming	7
68	6king6colt6	7
68	Crowman1	7
68	excelsionprime	7
68	Hyp3rion_	7
68	True_Clipse	7
68	Vellu21	7
68	Erased_Identity	7
78	Merv__	6
78	SaucyDark	6
78	Archsam	6
78	MrKrabOnCoke	6
78	thescout7	6
78	ROY4LE	6
78	crashomon	6
78	Blaiku	6
78	stellarjay	6
78	jcool7	6
78	_3Stump_	6
89	DinoDoctor_	5
89	rarrq	5
89	TheSecondLord	5
89	_Dean_123	5
89	TheDankPlatypus	5
89	M_Patata	5
89	Reneedium	5
