rank	username	minecraft:used/minecraft:black_wool
1	YungMaki	81184
2	Sral7	45109
3	Werbe	35553
4	HellsSponge	33953
5	pintsizedrogue	20174
6	EcksDofficial	14634
7	Spacewardharpy7	14506
8	thewindmillman	13826
9	joethahobo	13628
10	Blaiku	13018
11	oxfordschool	10254
12	rarrq	6878
13	fffMike	5262
14	DarlaMeow	4654
15	Smoke____	4264
16	kekhon	3964
17	Rumpletaezer	3538
18	Hermanni__	2770
19	PlasticOtari	2340
20	beeperbeeper5	2050
21	NameGenerat0r	1959
22	PlzNoBM	1475
23	xxPipperDipperxx	1415
24	Hyp3rion_	1395
25	eitanzaki	1335
26	TheShyPig	1326
27	noam464	1191
28	Skylord_Luke	1174
29	EcksD	949
30	mariominejedi	900
31	Freak_Genius	853
32	TheSecondLord	747
33	Frozil12	737
34	jnp_gaming	726
35	bigstankyy	687
36	AnnieBathory	574
37	heckface	519
38	MattieHD	496
39	Ezekson	457
40	theonlymagikarp	448
41	Blu3beast	439
42	Lord_Jord	417
43	seanitoo	407
44	Xclax101	394
45	proxivitoid	358
46	_Karmaa	345
47	500am	318
48	jcool7	299
49	Warlord324	294
50	Blackberry1310	250
51	The_slideV3	246
52	eiC_	209
53	PigDab	207
54	Di_infiri	197
55	Wowful	193
56	Zaridey	181
57	ShedJr_	167
57	Groundler	167
59	Merv__	165
59	ABUSNA1996	165
61	UrbanPlanner1978	160
62	Mahoose	151
63	SaucyDark	150
64	WyngGoy	138
65	set67	136
66	fluddd	134
67	Motsaro	114
68	Eraxa	111
69	DAD_1996	108
70	CruncyIsTaken	106
71	DolphinLaugh	104
72	SammiWolfGirl	103
73	Marbz_	98
73	Quaintster	98
75	Minimize501	86
76	Soplight	84
76	PortlyPete69	84
78	El_Jalapeno	80
79	LexMakesHistory	73
80	Winston_Ingram	69
81	ewpunk	67
82	__tomato	65
83	MixerDixer	64
83	Jiminie	64
85	Inchef	60
86	H72l9w	58
87	RebelAndroid	57
87	NomadicRobin_	57
89	M_Patata	54
89	MasterNueve	54
91	Foof13	51
92	Dooinfe	48
93	burbankbuilder28	47
94	Racengan	42
95	Shogunite	33
96	Tjhodskins19	30
97	ApophisNova	27
97	MyNamaSheff	27
97	kinas45y5	27
100	lcvezra	26
101	Sky_light_KING	25
102	titanlax	24
102	Quotary	24
104	Cocoamallows	23
105	TechnoNinja64	22
106	Onennon	21
106	Akoot_	21
106	Enderslayerxz3	21
109	EveryonesUncle	20
110	Jackattack53	19
111	RoskobiOne	18
111	_Boipl_	18
113	stavgod	17
114	Legendosh	15
115	Cryptacity	14
116	fr_ser	13
116	Smuggly_McWeed	13
118	T045RTY	12
118	m_be9	12
118	Smashic	12
118	Winklepicker279	12
122	teslawolf38	10
122	ImpavidArcher	10
122	CalebDHawk	10
125	The11thDoctor	9
125	Aezekial	9
125	MilleGrug	9
128	Groovy_MoonBird	8
128	Bumpy419	8
128	KG1999	8
131	HAIRYCLOUD626	7
131	claivin	7
131	LordAurum	7
134	MSK__	6
134	Snowflowe	6
136	loveseeker	5
137	Chromary	4
137	geekbird	4
137	AssFullaCum	4
137	Steelynan	4
141	Tommhh	3
141	csendeslol	3
141	KingMatthew506	3
141	Skippeh	3
141	anbbang	3
141	vandmanden	3
147	bloodbiter	2
147	Fullut	2
147	mwrty	2
147	gabriels543	2
147	RobotMinion101	2
147	ogoa	2
147	Fildyr	2
147	Hisiste	2
147	Eczbek	2
156	Jovaphobic	1
156	duelcard	1
156	1ochi	1
156	Skyler_Diablo	1
156	Jalvajar	1
156	q_wq	1
156	youhjjhhhjj	1
156	Sebaschan__	1
156	Da_Boss_Rani	1
156	Valoth	1
156	ProfessorBee	1
156	mcFarty	1
156	Scathra	1
156	Awyrlas	1
156	r123moore	1
156	Avrelion	1
156	MangoTheFish	1
156	fred870d	1
156	fxiryglitch	1
156	Ender_Souls	1
156	Kryktal	1
156	fkGrim	1
156	chipklip	1
156	Travka100	1
156	Vorlice	1
156	ItsDeltaMC	1
156	Omar_Alone	1
156	ayamefag	1
156	Decaying_Lotus	1
156	pixelviolin	1
156	Kowcio_	1
156	Spenduh	1
156	stahouo	1
156	blimpeey	1
156	2blox	1
