rank	username	minecraft:used/minecraft:cyan_wool
1	AlexxO_o	16413
2	doublemaki	12103
3	TheShyPig	4541
4	Buuck_	3888
5	CalebDHawk	3098
6	ConnorDanky_	2552
7	thewindmillman	1665
8	xxPipperDipperxx	1586
9	bl1ss0	1485
10	PlasticOtari	1379
11	Di_infiri	1220
12	Alteriity	1210
13	Werbe	1059
14	Blu3beast	1048
15	Merv__	1015
16	Fildyr	869
17	lordpipe	777
18	Yamdalorian	769
19	beeperbeeper5	747
20	joethahobo	623
21	Kowcio_	572
22	rarrq	552
23	shineh10	500
24	Enderxz3	490
25	DarlaMeow	481
26	eitanzaki	473
27	Sral7	463
28	pintsizedrogue	454
29	Smashic	439
30	mymayowasgone	372
31	LuvLuvLove	369
32	Inbefour	319
33	Mattesco	311
34	CattSoup	282
35	lunkuku	259
36	TheWickedBird	243
37	Ezekson	232
38	IWorkAtIkea	225
39	EcksD	224
40	PortlyPete69	214
41	Rumpletaezer	207
42	RebelAndroid	196
43	luseis	190
44	SpacesickPrism	168
45	Fullut	165
46	NameGenerat0r	144
47	mwrty	117
48	soundad	113
49	Apollo_993	108
50	r123moore	103
51	TheSecondLord	101
52	Quotary	98
53	Jimb0nat0r	97
54	Eraxa	95
55	Mahoose	89
56	Lez_	87
56	PlzNoBM	87
58	noam464	86
59	Xalithia	83
60	k_ce	67
61	pr33tu	65
62	Crowman1	62
63	oscminus	48
64	Mr_Byzantine	47
65	cuddlyMonster	46
65	SvenskaHugo	46
67	fw3xy	45
68	ImpavidArcher	42
69	HellsSponge	40
70	Maenara	39
71	silverpopcorn	38
72	SteveCraftBlocks	34
72	Blaiku	34
74	Kiki_Majiki	31
75	TechnoNinja64	30
76	Cowison	27
77	Kakolbus	24
77	_Mythic____	24
79	PazinGaming	22
79	Niklas20114552	22
81	hermmm_	20
82	Arceus1975	17
82	Ma_name_alex	17
84	WyngGoy	16
85	FishyBoy3811	14
86	Skylord_Luke	13
87	Bonzwoeri	12
87	Cruncy_	12
89	skroobiez	11
89	Jackattack53	11
91	500am	10
92	ShedJr_	9
93	Manaateee	8
93	robonya_	8
93	Iamthejo	8
96	DinoDoctor_	7
96	Lord_Jord	7
96	AuroraSkies	7
96	Legendosh	7
100	ZigzagLily43042	6
100	kekhon	6
100	Megarboh	6
100	Pumpkin_P_Patch	6
100	Steelynan	6
105	Huwulling	5
105	StinkyDiplomat	5
105	Racengan	5
108	hanaryheatwave	4
108	_flud	4
108	Cache3	4
111	Spacewardharpy7	3
111	RoboTramp7865	3
111	es0th	3
114	EMC_	2
114	Wooptey	2
114	T045RTY	2
114	MSK__	2
114	12Magner05	2
114	Roenfire	2
114	craaaash	2
114	Hyp3rion_	2
114	Akoot_	2
114	FreakGenius	2
114	El_Jalapeno	2
114	Groundler	2
114	jcool7	2
114	KingMatthew506	2
114	RadarHz	2
129	6king6colt6	1
129	Prismyst	1
129	QuiCreans	1
129	_witch_craft_	1
129	Cambo5000	1
129	4774	1
129	mariominejedi	1
129	kevinpamberg	1
129	SexcMf	1
129	ReyTheLegend	1
129	miramyu	1
129	Skippeh	1
