rank	username	minecraft:used/minecraft:cut_copper_slab
1	thewindmillman	3509
2	TheWickedBird	2462
3	beeperbeeper5	1915
4	Mr_Byzantine	1747
5	Yamdalorian	720
6	hanaryheatwave	418
7	Mr_Sun15	385
8	Nicserso	362
9	PlasticOtari	297
10	SpacesickPrism	231
11	Lez_	210
12	MattieHD	97
13	Lord_Jord	76
14	QuiCreans	72
15	Pumpkin_P_Patch	70
16	Hyp3rion_	58
17	Mattesco	52
18	bl1ss0	50
19	EMC_	39
20	Enderxz3	35
21	Merv__	34
21	Thunder_bird4337	34
21	Soplight	34
24	Gus2005	31
25	EveryonesUncle	29
26	Penguinllama517	28
27	EnigmaTheYeen	24
28	Mahoose	23
28	DrowsyOracle	23
30	Manaateee	22
31	Kubelz	20
32	shineh10	18
33	Jonafrog99	14
34	Alteriity	12
34	Vegvisir	12
36	pintsizedrogue	11
37	skroobiez	10
38	TheSecondLord	9
39	k_ce	8
39	Jimb0nat0r	8
41	_Huge_Male_	6
42	_witch_craft_	5
42	Jekyll	5
44	SuperPooch06	4
44	Lutres_	4
44	StinkyDiplomat	4
44	Kowcio_	4
44	calamariclam_I	4
49	thebaddruid	3
49	pixelviolin	3
51	500am	2
51	JETrotter	2
53	GooseWithin	1
