rank	username	minecraft:used/minecraft:netherite_sword
1	Hyp3rion_	2323575
2	thewindmillman	1415420
3	Spacewardharpy7	614760
4	hanaryheatwave	444173
5	noam464	383346
6	EcksD	350525
7	Blaiku	246727
8	Lez_	217504
9	PigDab	181907
10	Jackattack53	106641
11	beeperbeeper5	103774
12	Fuad_R	98387
13	mihimihimihi	88008
14	eitanzaki	83876
15	Kakolbus	66137
16	Yamdalorian	53544
17	Frozil20	51724
18	Kowcio_	44826
19	EMC_	40807
20	NomadicRobin_	36210
21	EveryonesUncle	32539
22	lordpipe	32201
23	FreakGenius	31349
24	TheBananaKat	30162
25	YungMaki	29188
26	Mattesco	29142
27	Marbz_	28932
28	Segotep999	25806
29	joethahobo	24981
30	Enderxz3	24953
31	pintsizedrogue	24332
32	Ryan_GEMS	23425
33	TheSecondLord	22050
34	Zythose	21801
35	Eraxa	21042
36	masskedman	20188
37	RebelAndroid	19833
38	Alteriity	18228
39	Manaateee	17972
40	Spenduh	17265
41	Werbe	16977
42	set67	16941
43	12Magner05	16854
44	rarrq	16714
45	Lord_Jord	16551
46	pretty_pink_reno	16533
47	Krowuss	16356
48	k_ce	16071
49	Apollo_993	15481
50	crashomon	15480
51	Jimb0nat0r	14744
52	Ezekson	14693
53	PazinGaming	14363
54	MilleGrug	14191
55	Historical_Sand	13874
56	Winklepicker279	13573
57	oscminus	13521
58	Smashic	12995
59	fffMike	12475
60	500am	12417
61	_Virify_	12258
62	Inchef	11611
63	Wowful	11385
64	Chromary	11268
65	ImpavidArcher	11134
66	Nicserso	10629
67	obzii	10264
68	_Mythic____	9509
69	Iamthejo	9293
70	luseis	9231
71	Steelynan	8942
72	kekhon	8797
73	Blackberry1310	8460
74	Awyrlas	8337
75	teslawolf38	8281
76	r123moore	8261
77	Mahoose	8072
78	AstreaTSS	8039
79	Mr_Byzantine	8000
80	Soplight	7740
81	SmashingPump	7671
82	pixelviolin	7546
83	ECstardust	7504
84	RebytreGT	7494
85	diamondgolem35	7327
86	SvenskaHugo	7277
87	RoskobiOne	7229
88	Racengan	7171
88	SkateboardR6	7171
90	fw3xy74	7033
91	00000000-0000-0000-0009-01ff0c3e5e4f	6949
92	emreknugrlu	6507
93	Di_infiri	6379
94	q_wq	6367
95	bigstankyy	6363
96	SingedBread	6357
97	CLG_Kata	6327
98	Merv__	6300
99	M_Patata	6232
100	TheSandwhich_	6140
101	HellsSponge	6070
102	FishyBoy3811	6053
103	Secret_Canary	6018
104	blackeemperor	5950
105	non089	5860
106	Snowflowe	5857
107	ShedJr_	5742
108	SammiWolfGirl	5680
109	Fullut	5619
110	Pumpkin_P_Patch	5595
111	TheKingK_	5565
112	Druid95	5465
113	StarCookiees_	5453
114	NatalieTW	5372
115	_Dean_123	5338
116	T045RTY	5337
117	LexMakesHistory	5249
118	Huwulling	5190
119	tuckerdoodle	4887
120	ItsDeltaMC	4851
121	2blox_	4842
122	weabis	4790
123	gren_ben	4758
124	mwrty	4750
125	corvidpartyfor6	4721
126	PlasticOtari	4710
127	AlexxO_o	4680
128	Cowison	4600
129	lorywithay	4587
130	sammidk	4505
131	KeruNatsema	4495
132	MasterNueve	4488
133	lorpus	4375
134	Myszoaz	4284
135	Galactic_Badger	4251
136	Nicky_H225	4185
137	QuiCreans	4132
138	diggydog67	4128
139	Skylord_Luke	3956
140	Touched_Bread	3921
141	Lutres_	3916
142	skitzxo	3733
143	Eczbek	3702
144	Kubeusz2010	3681
145	hm947	3582
146	fade_emerge78823	3528
147	Crowman1	3513
148	BadenStayFly	3495
149	Quaintster	3474
150	Xalithia	3469
151	shadowthemonkey	3390
152	NATE_the_HALO	3387
153	MAns_44	3362
154	tartanboy	3248
155	_Huge_Male_	3229
156	MrKrabOnCoke	3176
157	ConnorDanky_	3152
158	BPTY4618	3032
159	4774	3001
160	Niklas20114552	2915
161	_i_ERROR_i_	2891
162	excelsionprime	2888
163	NinjaKnifeKill	2874
164	soundad	2826
165	OreTheBear	2815
166	Da_Boss_Rani	2756
167	Creativebuilder2	2706
168	MinttyFressh	2644
169	MSK__	2642
170	MattieHD	2628
171	calamariclam_I	2594
172	HolyVenom	2579
173	dimondking777	2550
174	Quotary	2535
175	CollinMH06	2500
176	AltnumberF4	2468
177	Eczbox	2449
178	F_Uhre	2384
179	theonlymagikarp	2354
180	zToasty69z	2352
181	CoffeeNoir	2347
182	XboxPanda	2252
183	Wolf_Mauler_73	2213
184	jacxhadow	2184
185	Dreamdbr14	2180
186	TheWickedBird	2171
187	Rocco_Lane	2116
188	skroobiez	2062
189	NieToksikpl	2030
190	MightyWertu	2019
191	Buuck_	2007
192	THEKINGLyric10	1977
193	PuFY	1960
194	PortlyPete69	1902
195	djancak	1880
196	Jonafrog99	1854
197	HesDemonPants	1847
198	fragrantmonke444	1839
199	ReSynced	1838
200	NoChumpChange	1822
201	DairyNickel756	1788
202	Sheldor097	1779
203	Akoot_	1747
204	fluddd	1735
205	TheEnderMan548	1730
206	bloodbiter	1693
207	Luminad3	1626
208	Luigipunch989	1618
209	Biites	1599
210	MuffinManzz	1581
211	Sleepy_Evelyn	1542
212	goldyx	1511
213	Kkanot	1482
214	drunkeeez	1459
215	_Yonk_	1458
216	YairZaki	1437
216	taengoos	1437
218	Wooptey	1375
219	AuroraSkies	1332
220	ApophisNova	1318
221	MyNamaSheff	1317
222	I_Am_Mushkin	1295
223	NameGenerat0r	1258
224	wwwwinnebagoooo	1234
225	SaphLaseer	1231
226	prizm_	1188
227	_Karmaa	1175
228	Yatitay	1163
229	mimbo1211	1150
230	Strangemonkey71	1147
231	King_Pancake1	1141
232	EdGalbraith	1126
233	Mobstr	1110
233	QuesoCrusaderIII	1110
235	BronkerBrum	1085
236	501g	1067
237	TheOuterCore	1049
238	ogoa	1038
239	Jordan_R	1027
240	Dan_Scha	1006
241	EfficientC52	999
242	That_tech_head	998
243	MrShojo	993
244	iSammael	978
245	JitteryJared2	966
246	nstuartwilliams1	960
247	paranoid_plant	957
248	Sleek_Storm_721	953
249	MissCeleste7	913
250	ROY4LE	896
251	TheDankPlatypus	890
252	Crizma_	887
253	ZeroKraken	884
254	MS_Pryxx	876
255	Ze_BaronKrigler	854
256	jcool7	844
257	Jovaphobic	838
258	SpaceGrenadier	835
259	elliebelle107	824
260	Samificator	820
261	Tersea_	817
262	HUNTERmaun	815
263	SyntheticSurgeon	812
264	jnp_gaming	802
265	ScootOfBoot	797
266	AuroraValkyrie	783
267	CharlieButt	774
268	LazySupport00	763
269	Shortest_Man	748
270	CosmicStardustt	737
271	Jonte0599	719
272	PhantomsGhost_	712
273	Jakobo1337	709
274	spellmre	700
275	ZaneABrain	672
276	KliBeast21	669
276	Gus2005	669
278	SuperPooch06	646
279	sp00ky_ghost977	638
280	CattSoup	632
281	pappaberg	626
282	Skippeh	621
283	Heisenbberrg	607
284	Megarboh	604
284	Jekyll	604
286	HAIRYCLOUD626	570
287	imcombxt	569
288	mattybeewrapss	568
289	SpartanNamor	562
289	censorsheep	562
291	DarlaMeow	558
292	xyct	543
292	LeEricc	543
294	BlancoFlaco	540
295	Zxhir	538
296	2extreeme	527
297	KarlKaek	509
298	stevewithclout	503
299	JohnnyFyes	494
300	SoftSix	486
