rank	username	minecraft:used/minecraft:acacia_fence
1	beeperbeeper5	5602
2	Smoke____	1503
3	KarlKaek	744
4	Meatlaugh	670
5	ImpavidArcher	482
6	Mowelan	440
7	Di_infiri	434
8	youhjjhhhjj	388
9	Mahoose	380
10	starbits140	362
11	El_Jalapeno	344
12	ATrojansLegend	340
13	Bandito_Roamer	288
14	ProfessorBee	267
15	2Stout	253
15	Winklepicker279	253
17	Hoid_the_Roamer	231
18	Steelynan	208
19	TheShyPig	201
20	pintsizedrogue	164
21	oxfordschool	160
22	mariominejedi	154
23	Lutres_Torane	144
24	Groovy_MoonBird	141
25	Zaridey	137
26	dopplexd	134
27	KlausVonStiglitz	133
28	Doom_melon	129
29	Werbe	124
30	EMC_	121
30	RoboTramp7865	121
32	set67	111
33	csendeslol	103
34	baxteerr	102
35	Frozil12	96
36	smogfrog	90
37	Moofyman	89
38	Blu3beast	79
39	YungMaki	75
40	Vellu21	74
41	Ajax6	72
42	chipklip	61
43	r123moore	60
44	Spacewardharpy7	58
44	h2p_emrld	58
46	TheSecondLord	57
46	Snowflowe	57
48	ThePoliteG	48
49	DennyKai	46
50	firesgal3116	45
51	xXTheWolfmanXx	44
51	Franco093	44
51	Soplight	44
51	YoshikageBites	44
55	Freak_Genius	42
56	Drawgirll	36
56	Enderslayerxz3	36
58	Megarboh	33
58	Lowjinx	33
60	IAmTheWalrus910	32
60	CoryJJ	32
62	kekhon	31
63	MeowMeowMcmuffin	30
64	xX_Stalin69_Xx	29
65	xxPipperDipperxx	28
65	FreddyFart	28
65	stellarjay	28
65	Sral7	28
69	himak1	27
70	Lord_Jord	26
71	HellsSponge	25
71	_beep_boop	25
71	underscore_2	25
74	joethahobo	24
74	EcksDofficial	24
76	Inchef	23
76	RedcatVII	23
76	TechnoNinja64	23
79	duqboy	22
79	Blaiku	22
81	Blackberry1310	21
81	AnnieBathory	21
81	mountaingirl311	21
84	victorLIE	20
85	Destroyer112221	18
85	Jiminie	18
85	Quaintster	18
85	geekbird	18
89	PlasticPrinter	16
89	DirtyBoar	16
89	EveryonesUncle	16
92	cum_chalice	15
92	SammiWolfGirl	15
94	Chuvacevedo	14
94	560cool	14
94	FelixPSY375	14
97	SellyZ	13
97	Kakolbus	13
97	MustardDrinker	13
97	Shogunite	13
101	Vizzoid	12
101	prizm_	12
101	C0oOK13M0N5T3R	12
104	SwooshBoi	11
104	PortlyPete69	11
106	Lez_	10
106	Rich_Kat	10
106	Kynigito	10
106	kinas45y5	10
110	Alexanderjac	9
110	PhantomsGhost_	9
110	spaece	9
110	sp00ky_ghost977	9
110	561cool	9
115	Barlycorn	8
116	BakersBanchOf	7
116	Merv__	7
116	SvenskaHugo	7
116	TheALV	7
120	500am	6
120	Poppycop	6
120	KillerNekoRain	6
120	TheSeismicDuck	6
120	fluddd	6
120	Toriankel	6
120	07shiny	6
120	MineMaster0012	6
128	Ilinca_Io	5
128	CoffeeNoir	5
128	Racengan	5
131	12Magner05	4
131	_Dean_123	4
131	ItsAki_	4
131	Maenara	4
131	lillips	4
136	Rox_The_Box	3
136	_Bguette_	3
138	gcaisawesome	2
138	noam464	2
138	ApophisNova	2
138	MinerDec	2
138	_Karmaa	2
138	Factoroni	2
138	Chayula	2
138	stahouo	2
138	KingMatthew506	2
138	MyNamaSheff	2
138	PlasticOtari	2
149	Hpdinosaur	1
149	Furiuosbeast0404	1
149	Incinere	1
149	eitanzaki	1
149	Swalt	1
149	rarrq	1
149	Euclidoris	1
149	Irko	1
149	Yuvl	1
149	Ecplosive	1
149	ChillenChiggen	1
149	RobotMinion101	1
149	cedric72	1
149	jewbacaman	1
149	Kim_Jong_eel	1
149	Hisiste	1
149	lcvezra	1
149	SunsetwolfGG	1
149	laron58	1
149	Ezekson	1
