rank	username	minecraft:used/minecraft:potato
1	PhantomsGhost_	20959
2	LordAurum	15601
3	Lez_	13500
4	eviltunix	10957
5	bloodbiter	7026
6	SpacesickPrism	6489
7	FreakGenius	6295
8	kekhon	6274
9	Di_infiri	6091
10	youhjjhhhjj	5906
11	TheShyPig	5176
12	TechnoNinja64	5042
13	thgrocks	4225
14	Snowflowe	4203
15	Racengan	4190
16	Mr_Byzantine	4094
17	Enderxz3	3958
18	Prodiginus	3933
19	Blackberry1310	3784
20	The11thDoctor	3533
21	EMC_	3227
22	pintsizedrogue	2991
23	Voxin2K	2981
24	thescout7	2854
25	AdmiralSmoke	2763
26	Manaateee	2696
27	beeperbeeper5	2568
28	fade_emerge78823	2547
29	HellsSponge	2493
30	Nicserso	2398
31	calamariclam_I	2227
32	Kim_Jong_eel	2213
33	CoffeeNoir	2203
34	UrbanPlanningEx	2198
35	Werbe	2196
36	thewindmillman	2148
37	Katsuragi0243218	2084
38	Groovy_MoonBird	2058
39	RadarHz	2022
40	luseis	2021
41	UMosDiesIrae	2002
42	Hiryu27	1955
43	MightyWertu	1946
44	theonlymagikarp	1936
45	wezzzi	1899
46	joethahobo	1889
47	Dakar_	1811
48	El_Jalapeno	1796
49	ProfessorBee	1772
50	noam464	1731
51	Soplight	1709
52	Airem_Core	1697
53	PigDab	1695
54	Akoot_	1681
55	MadmanRaven	1649
56	Skippeh	1645
57	ChampPog_	1583
58	JESS_THE_RERE	1581
59	Smashic	1573
60	NormanFetus	1563
61	ActualPatbaf	1556
62	PegLegPete93	1550
63	Merv__	1499
64	q_wq	1460
65	coobert42	1443
66	Huwulling	1381
67	Ezekson	1379
68	AstreaTSS	1351
69	livingdaydreams	1186
70	Powowowow	1166
71	Tolhart	1133
72	TooManyDuck	1111
73	eitanzaki	1098
74	Xalithia	1080
75	Kubeusz2010	1076
76	Steelynan	1074
77	Bumpy419	1071
78	SaucyDark	1032
79	Legendosh	1028
80	Blu3beast	1009
81	ooga47	1004
82	RebelAndroid	1001
83	benediktine1	997
84	Rumpletaezer	979
85	slkiey	966
86	Lord_Jord	964
87	ADEXTV	962
88	SammiWolfGirl	940
89	layabout100	915
90	dudcreeper	905
91	RefluxRatio	898
92	eiC_	866
93	himak1	854
93	Kakolbus	854
95	H72l9w	851
96	ApophisNova	844
96	MyNamaSheff	844
98	KarlKaek	810
99	Hyp3rion_	808
100	UncreativeArtist	803
101	Fullut	786
101	djancak	786
103	NebulousBadger	779
104	m_be9	769
105	ewsophie	767
105	diggydog67	767
107	erkada	749
108	Warlord324	735
109	Xclax101	734
110	RatatJuice	731
111	excelsionprime	712
112	dopplexd	710
113	ReflexCode	709
114	jnp_gaming	708
115	Bandito_Roamer	706
116	ItsMrRamen	697
117	kalzor	693
118	lorywithay	686
119	TheBananaKat	683
120	Kateesaur	681
121	legal_tax_evader	680
122	NYJ	674
