rank	username	minecraft:used/minecraft:orange_shulker_box
1	Blackberry1310	2246
2	TechnoNinja64	2156
3	YungMaki	708
4	Smoke____	676
5	Onennon	557
6	m_be9	543
7	lordpipe	410
8	Blaiku	405
9	pintsizedrogue	404
10	beeperbeeper5	314
11	Mahoose	247
12	Eraxa	243
13	Enderslayerxz3	220
14	HellsSponge	218
15	Rasmanden	213
16	Hyp3rion_	212
17	500am	191
18	Fullut	157
19	kekhon	150
20	claivin	145
21	12Magner05	133
22	yulgur1	129
23	Hoid_the_Roamer	126
24	TheSecondLord	122
25	jnp_gaming	121
26	FirsTimeGamingTV	106
26	mwrty	106
26	Snowflowe	106
29	Bumpy419	105
30	lillips	98
31	PhantomsGhost_	94
32	selectrix	92
33	Cowison	77
33	MightyWertu	77
35	ROY4LE	76
36	Zaridey	75
37	Myszoaz	72
37	Swexti	72
37	Dogcorn69420	72
40	Awyrlas	71
40	Rumpletaezer	71
42	set67	70
43	Akoot_	68
44	_Virify_	67
45	SteveCraftBlocks	66
46	Bandito_Roamer	63
46	jcool7	63
48	HesDemonPants	62
49	alderban107	61
49	oxfordschool	61
51	Barlycorn	60
51	sp00ky_ghost977	60
53	Ezekson	57
54	Winklepicker279	51
55	Jiminie	48
56	teslawolf38	45
57	chipklip	43
58	CoffeeNoir	42
59	rarrq	41
59	Segotep999	41
61	burbankbuilder28	39
61	Kowcio_	39
63	MattieHD	38
64	Luigipunch989	35
65	Miko_Fullbuster	33
66	SingedBread	31
66	Steelynan	31
66	EcksD	31
69	Strangemonkey71	30
70	gcaisawesome	29
70	Groundler	29
72	Merv__	27
72	SaucyDark	27
72	NameGenerat0r	27
75	Njensen7	26
76	KG1999	25
76	Spenduh	25
78	Deathkob	24
79	noam464	23
79	masskedman	23
81	SellyZ	22
81	Skylord_Luke	22
81	Sral7	22
84	Ecplosive	20
84	Chromary	20
84	Sky_light_KING	20
84	Karbl	20
84	Blu3beast	20
84	SkateboardR6	20
84	Spacewardharpy7	20
91	Euclidoris	19
91	PigDab	19
91	audiocracked	19
91	pixelviolin	19
95	hm947	18
95	Hpdinosaur	18
95	ApophisNova	18
95	MyNamaSheff	18
99	ImpavidArcher	17
99	TooManyDuck	17
101	Xclax101	16
102	Lord_Jord	15
102	mawileite	15
104	joethahobo	14
104	Di_infiri	14
104	Hisiste	14
104	Razzgriz	14
108	TheShyPig	13
109	jushykins	12
110	Drlzyy	11
110	Kouridragon	11
110	GlitchyPlate810	11
113	AuroraValkyrie	10
113	eitanzaki	10
113	Inchef	10
113	pappaberg	10
113	Nycteus_	10
118	diamondgolem35	9
118	Marbz_	9
118	gabriels543	9
118	Truckoss	9
122	EveryonesUncle	8
122	Soplight	8
122	FishisTTV	8
125	soundad	7
125	egglapras	7
125	SammiWolfGirl	7
125	obzii	7
125	Legendosh	7
130	Sleek_Storm_721	6
130	Kkanot	6
130	surfinggiraffejp	6
130	thewindmillman	6
130	Aezekial	6
130	ZeroKraken	6
130	Nicserso	6
137	MixerDixer	5
137	Jagyeol	5
137	Octatrack	5
137	_Karmaa	5
137	TheOuterCore	5
137	AltnumberF4	5
137	Powowowow	5
137	YoshikageBites	5
145	Iagoku	4
145	Dedalus36	4
145	Historical_Sand	4
145	SoftSix	4
145	Smashic	4
145	NomadicRobin_	4
145	EfficientC52	4
145	fluddd	4
145	SexcMf	4
154	ExtraDumb	3
154	Flapjacker687	3
154	thescout7	3
154	Xalithia	3
154	r123moore	3
154	Werbe	3
154	Shogunite	3
154	Freak_Genius	3
154	MakeHistory157	3
154	stellarjay	3
154	MilleGrug	3
154	Eczbek	3
166	RoskobiOne	2
166	xxPipperDipperxx	2
166	Covalents	2
166	MyNameIsJobo	2
166	SlayerCrypto	2
166	Zythose	2
166	King_Pancake1	2
166	shockdocta	2
166	Kynigito	2
166	Inbefour	2
166	Lord_Zacler	2
166	Deodorante	2
166	Frozil12	2
166	Kyrum2169	2
166	BlankityMcBlank	2
166	__tomato	2
166	PortlyPete69	2
166	fffMike	2
166	VentiHilton	2
166	FelixPSY375	2
166	2blox	2
187	AgressiveEggdog	1
187	Bad_At_Names_Guy	1
187	Tolhart	1
187	BoraMC	1
187	PhantomBionic	1
187	Butternutsquatch	1
187	YungJakobo	1
187	emrekn	1
187	theonlymagikarp	1
187	MangoTheFish	1
187	Capss	1
187	sammidk	1
187	Leyna3	1
187	JustOneQuery	1
187	wezzzi	1
187	fw3xywashere	1
187	Agent108	1
187	KSI	1
187	DarlaMeow	1
187	OG_Songsee	1
187	PlasticOtari	1
