rank	username	minecraft:used/minecraft:cobbled_deepslate_stairs
1	AltnumberF4	2267
2	joethahobo	1709
3	EMC_	290
4	thewindmillman	234
5	MinttyFressh	228
6	PlasticOtari	217
7	gcaisawesome	176
8	TheSecondLord	163
9	dartwaffle	123
10	Enderslayerxz3	117
11	Kubelz	105
12	BungalowBeet	97
13	Th6masss	79
14	Smoke____	72
15	SpicyDuckMan	62
16	Hylo482y	52
17	hm947	51
17	Megarboh	51
19	pintsizedrogue	49
20	CalebDHawk	41
21	WYFYoyo	38
22	tuckerdoodle	33
23	MAns_44	17
24	CoffeeNoir	15
25	Jackattack53	11
25	Rebytre	11
27	Patwannabegamer	9
27	Sepulcro	9
29	TJawesome09	6
29	fw3xywashere	6
29	UCP_TheKingK	6
29	mobunni	6
33	rarrq	5
34	RoskobiOne	4
34	ImpavidArcher	4
34	Blackberry1310	4
37	Spacewardharpy7	3
37	YungMaki	3
39	orxngejuice	2
39	Soplight	2
41	ATurtle4936	1
41	Weepingbiel	1
