rank	username	minecraft:used/minecraft:birch_planks
1	thewindmillman	12925
2	EveryonesUncle	12249
3	Lez_	7723
4	kekhon	6708
5	Kowcio_	6012
6	Simon_Lowell	5156
7	Zoeyfortnite	5126
8	Cowison	5076
9	beeperbeeper5	5065
10	nocturne78	4915
11	Jimb0nat0r	4882
12	pintsizedrogue	4080
13	Enderxz3	3938
14	Huwulling	3474
15	rarrq	3465
16	thescout7	3461
17	Yamdalorian	3285
18	BumbleBeever	3246
19	Kryktal	3219
20	SirPiccardo	3217
21	PazinGaming	2745
22	diggydog67	2704
23	DkansK	2636
24	EMC_	2626
25	CattSoup	2432
26	Manaateee	2409
27	FreakGenius	2390
28	The_Quack_Dealer	2298
29	ATrojansLegend	2145
30	MattieHD	2128
31	blackeemperor	2122
32	TheShyPig	2106
33	XboxPanda	2091
34	_Dean_123	2030
35	Rasmanden	2022
36	El_Jalapeno	1937
37	Mattesco	1824
38	Niklas20114552	1778
39	MelodyGaysharks	1734
40	IAmTheWalrus910	1726
41	joethahobo	1696
42	xxPipperDipperxx	1611
43	LeeMcGee30	1591
44	ProfessorBee	1556
45	PuFY	1543
46	LazySupport00	1531
47	NoChumpChange	1500
48	_Nuf	1472
49	xzvu	1439
50	Legendosh	1380
51	Eczbek	1372
52	DAD_1996	1362
53	Fuad_R	1347
54	Sabby65	1314
55	natajimi	1282
56	SkyHighSkier	1254
57	ROY4LE	1245
58	Eczbox	1231
59	TheWickedBird	1202
60	lordpipe	1172
61	YahooScreen9000	1163
62	Blackberry1310	1126
62	Di_infiri	1126
64	cichy096	1099
65	Optiprimus	1089
66	KlausVonStiglitz	1081
66	Ezekson	1081
68	ItzYaBoiPicard	1066
69	Blammm	1056
70	PizzaJake	1051
71	DiscardedCE	1043
72	jimintyy	1011
73	Spacewardharpy7	959
74	Austinizzle	934
75	AltnumberF4	932
76	Mahoose	924
76	titanlax	924
78	Frozil20	920
79	Shogunite	911
80	SoftSix	903
81	olliebollie48	897
82	Akoot_	889
83	SpacesickPrism	883
84	Stiar	878
85	Typadopoulos	872
86	ediballbearings	854
87	parodypatient	849
88	Dakar_	837
89	RebelAndroid	829
90	AlexxO_o	822
91	Snowflowe	798
92	Inbefour	795
93	Giannism	782
94	Mr_Byzantine	768
95	Nicky_H225	754
96	Onennon	739
97	Zythose	733
98	LilLizardWizard	713
99	DaviusMaximoose	708
100	ShedJr_	703
100	RebytreGT	703
100	skitzxo	703
103	MinttyFressh	701
104	teslawolf38	699
105	Wowful	698
106	BreadBacon	688
107	livingdaydreams	687
108	KarlKaek	680
109	tompup	659
110	SammiWolfGirl	648
111	catandmoose	646
112	miramyu	645
113	Hahaa_0	641
114	CoffeeNoir	630
115	little_dUki	623
116	Da_Boss_Rani	596
117	dendydoom	592
118	PlasticOtari	581
119	MAns_44	575
120	E775	569
121	500am	568
122	UncreativeArtist	567
123	Pumpkin_P_Patch	559
124	Blaiku	557
125	grislgrobl	555
126	Archsam	554
127	swag_bro2004	551
128	SKYPEX_	535
129	Arceus1975	524
130	Deathkob	521
131	yheece	518
131	MustardDrinker	518
133	dudcreeper	509
133	mwrty	509
135	hermmm_	507
136	KillerNekoRain	500
136	Deguns123	500
138	The11thDoctor	495
139	NameGenerat0r	494
140	Russiancat1	493
141	Nateman1000	490
142	Kijiki	489
143	sp00ky_ghost977	483
144	Y_A_N_N_I	472
144	YungMaki	472
144	Soplight	472
147	QuiCreans	468
148	Ryan_GEMS	449
149	smarticuno	447
150	SuperPooch06	442
151	Hoid_the_Roamer	435
152	stuy9	428
153	Krasnal1337	426
154	_Karmaa	422
155	Werbe	420
156	301851	419
157	_Huge_Male_	416
158	Truckoss	414
159	DBoydart303	412
160	gloominq	409
161	Jackster03	406
162	U_Mos_	404
163	ThePoliteG	403
164	crashomon	401
165	thechoosenone69	400
166	IWorkAtIkea	397
167	Pootis11	396
167	EcksD	396
169	420BreadLizard	390
170	Drewen24	389
171	eitanzaki	388
172	killerzant	386
172	PortlyPete69	386
174	Jackattack53	385
175	Bazongoman	382
176	ConnorDanky_	371
177	ashetrays	370
178	bigstankyy	367
178	Crowman1	367
180	Luminad3	364
180	ProfessorDiaper	364
182	angpony4267	356
183	ItsDeltaMC	353
184	Fuhrer_Teemo	351
185	Leyraxos	348
186	Natty	346
187	pr33tu	341
187	blimpeey	341
189	monky_irl	340
190	NYJ	335
191	EdGalbraith	334
192	Nicserso	332
193	HellsSponge	330
194	Segotep999	329
195	MyNameIsJobo	327
196	Nargotah	318
197	InfernalMound	316
198	Zielo2017PL	314
199	shdesolt	311
200	BlancoFlaco	310
201	6king6colt6	303
202	Skyler_Diablo	301
202	Kkanot	301
202	VentiHilton	301
205	Njensen7	298
206	fluddd	296
207	Btabtab	294
208	censorsheep	292
209	EtherealEspresso	281
210	burbankbuilder28	276
211	the_russell1611	268
211	BlankityMcBlank	268
213	DarlaMeow	257
214	Tersea_	256
215	skroobiez	249
216	Dali1465	248
217	lorpus	246
218	Merv__	245
219	Powowowow	241
220	ZeroAbyssTTV	238
221	SOA1RR	236
221	Hiryu27	236
223	CarltheCuck	231
224	SnowyAvi	230
225	HollieDaNugget	228
225	brycepants	228
