rank	username	minecraft:used/minecraft:obsidian
1	noam464	119776
2	thewindmillman	102360
3	joethahobo	47814
4	Hyp3rion_	42869
5	NatalieTW	34940
6	PigDab	26546
7	MilleGrug	25462
8	HellsSponge	24885
9	Blaiku	24234
10	Jackattack53	23934
11	Di_infiri	18476
12	Spacewardharpy7	17848
13	Frozil20	15587
14	Segotep999	13906
15	elliebelle107	12020
16	eitanzaki	10311
17	luseis	8747
18	Yamdalorian	6791
19	RebelAndroid	6679
20	Marbz_	6355
21	WET_WET_WET	6027
22	DanTheBuilderino	6023
23	Krowuss	5831
24	ECstardust	5210
25	stavgod	4734
26	beeperbeeper5	4680
27	mwrty	4288
28	doublemaki	3698
29	yulgur1	3663
30	Franco093	2956
31	EcksD	2701
32	Razzgriz	2691
33	fw3xy	2636
34	lordpipe	2576
35	Njensen7	2447
36	Bumpy419	2321
37	Werbe	2283
38	oscminus	2255
39	Enderxz3	1859
40	Winklepicker279	1798
41	TheSecondLord	1697
42	Manaateee	1651
43	wwwwinnebagoooo	1647
44	Soplight	1556
45	MyNameIsJobo	1475
46	claivin	1442
47	xzvu	1431
48	Kowcio_	1401
49	royal_2	1379
50	McCakeAh	1377
51	SkateboardR6	1367
52	k_ce	1362
53	Zythose	1356
54	rarrq	1311
55	mihimihimihi	1255
56	Mr_Byzantine	1208
57	Blu3beast	1135
58	pintsizedrogue	1080
59	Alteriity	1076
59	TheShyPig	1076
61	gcaisawesome	1065
62	_Virify_	959
63	MattieHD	944
64	lpinfinity	897
64	Arceus1975	897
66	DisgruntledKoala	892
67	FreakGenius	879
68	Secret_Canary	855
69	Lord_Jord	838
70	r123moore	836
71	Merv__	830
72	Tyrannosplart	815
73	Fullut	802
74	Ezekson	798
75	Racengan	772
76	hermmm_	733
77	Kakolbus	671
78	non089	670
79	PlasticOtari	642
80	12Magner05	638
81	TheEnderMan548	614
82	ShedJr_	613
83	ROY4LE	610
83	Pumpkin_P_Patch	610
85	Skylord_Luke	602
86	_witch_craft_	593
87	TechnoNinja64	556
88	Archsam	550
89	craaaash	547
90	Legendosh	531
91	cutelilreno	518
92	Mattesco	516
93	_3Stump_	514
94	Rasmanden	509
95	Mahoose	504
96	pixelviolin	503
97	trexgb	499
98	Sral7	498
99	Spaghettatron	494
100	MSK__	493
101	Jonafrog99	490
102	BartekB19	483
102	Jimb0nat0r	483
104	HesDemonPants	482
105	EMC_	474
106	Blackberry1310	473
107	blackeemperor	460
108	T045RTY	457
109	EveryonesUncle	439
110	Eraxa	430
111	Gus2005	429
112	Historical_Sand	428
112	MAns_44	428
114	Skippeh	421
115	IlkeCookes_	416
116	Eczbek	409
117	Kamflame	399
117	MightyWertu	399
119	Lez_	396
120	Apollo_993	381
121	DAD_1996	375
122	Spenduh	374
123	txxskx	367
124	diamondgolem35	358
125	ImpavidArcher	352
125	Inchef	352
125	_i_ERROR_i_	352
125	diggydog67	352
129	Groovy_MoonBird	350
130	audiocracked	336
131	Snowflowe	335
132	jnp_gaming	328
133	hanaryheatwave	325
134	500am	321
135	El_Jalapeno	320
136	Literally_Rat	318
137	m_be9	313
138	Boipl	310
139	thescout7	302
140	Cowison	292
141	fkGrim	290
142	EdGalbraith	289
143	kekhon	278
143	_Mythic____	278
145	ApophisNova	275
145	PortlyPete69	275
145	MyNamaSheff	275
148	Onennon	272
149	ConnorDanky_	268
150	Jovaphobic	267
151	Hisiste	264
152	PhantomsGhost_	263
153	BobDeBouwer1337	260
154	EngagedGrub41	250
155	Lazy_geniusig	248
156	Ryan_GEMS	245
156	NoChumpChange	245
158	HolyVenom	241
159	fffMike	239
160	Jakobo1337	238
161	wx4z	236
162	XxCookiequeenxX	234
163	Inbefour	229
163	Groundler	229
165	soundad	227
166	robertsnose	226
166	Niklas20114552	226
166	Shogunite	226
169	ssleepless	225
169	_Karmaa	225
171	NieToksikpl	222
172	Kubeusz2010	221
173	Euclidoris	218
174	PlzNoBM	216
175	jcool7	213
176	MinttyFressh	211
177	lunkuku	207
178	Dogcorn69420	205
179	benediktine1	203
179	XboxPanda	203
181	Huwulling	199
181	hydrothebot	199
183	miramyu	198
184	__tomato	195
185	censorsheep	193
186	WyngGoy	192
186	2a1169f5-2eaf-4ab7-adff-73315e7d9ddf	192
186	Iamthejo	192
189	Xalithia	183
189	Fuad_R	183
189	The_slideV3	183
192	obzii	181
193	Akoot_	179
194	SquadMonster	177
195	ItsDeltaMC	175
196	fr_ser	172
197	11Brewer	171
198	Rebytre	170
199	_flud	169
200	AstreaTSS	167
201	Vizzoid	166
201	noodlepack	166
201	Maenara	166
204	Samificator	165
205	MyMawgDonaldsGon	164
205	voiding_	164
207	RyuNeko932000	160
208	yheece	158
208	Hoid_the_Roamer	158
208	TwinTowerV2	158
211	ese_wn_po	157
212	YairZaki	155
213	_Duckery	154
214	CLG_Kata	149
215	xxPipperDipperxx	148
215	SvenskaHugo	148
217	tuckerdoodle	147
218	Buuck_	146
219	TheKingK_	145
220	Steelynan	144
221	TheSandwhich_	141
222	CoffeeNoir	136
223	301851	135
224	mariominejedi	134
224	Jekyll	134
226	powercas_gamer	133
227	CrateOfBoxes	131
228	hm947	130
228	ooga47	130
228	Strangemonkey71	130
231	es0th	129
232	Ssor69	128
232	AltnumberF4	128
234	__Auspicious	127
235	theonlymagikarp	125
236	Sheldor097	124
237	set67	123
238	Swexti	122
239	BPTY4618	121
240	SaucyDark	120
240	00000000-0000-0000-0009-01fe065167f0	120
242	cedric72	119
243	SuperPooch06	117
243	FishyBoy3811	117
243	CacheOut	117
246	IAmTheWalrus910	116
247	h2p_emrld	115
248	TooManyDuck	113
248	NATE_the_HALO	113
250	Rani_R	112
251	PazinGaming	111
251	groofles	111
251	iSammael	111
254	Julmish	110
255	Deodorante	109
255	Deguns123	109
257	_Razaria	108
257	eviltunix	108
259	Moofyman	107
259	Mr_Froxy	107
261	TheSeismicDuck	106
262	Nicserso	104
263	teslawolf38	102
264	Deathkob	101
264	DarkS0L	101
266	Cocoamallows	100
266	TheWickedBird	100
268	SpacesickPrism	99
269	pappaberg	97
269	MakeHistory157	97
271	lizardfightclub	96
271	ayamefag	96
271	JayToe	96
274	seanitoo	94
275	Awyrlas	93
275	Gzrdy	93
277	JESS_THE_RERE	92
277	Druid95	92
279	Covalents	91
279	imcombxt	91
281	Jindong	90
282	Rumpletaezer	88
282	ClemenPine	88
284	RadarHz	87
285	Lutres_	86
286	ebanana	85
287	picardred	83
287	ibarker21	83
287	Vetomo8000	83
290	hcb238	82
290	RefluxRatio	82
290	ougstur	82
290	little_dUki	82
294	lorywithay	81
294	knarian	81
294	shrimp_flips	81
297	Veillax135	80
297	stellarjay	80
299	SellyZ	79
299	_8man	79
