rank	username	minecraft:used/minecraft:acacia_log
1	Smoke____	12778
2	r123moore	4961
3	Mahoose	4502
4	beeperbeeper5	3962
5	eiC_	3501
6	ApophisNova	1657
6	MyNamaSheff	1657
8	Meatlaugh	1539
9	Winklepicker279	1258
10	xzvu	1149
11	KarlKaek	1072
12	joethahobo	1021
13	Werbe	1012
14	jushykins	985
15	Steelynan	909
16	TheShyPig	825
17	Groovy_MoonBird	817
18	Spacewardharpy7	759
19	xolstoi	681
20	RebelAndroid	665
21	mawileite	574
22	Enderxz3	512
23	Soul_Atreus	500
24	gcaisawesome	443
25	mihimihimihi	441
26	Franco093	421
27	ImpavidArcher	384
28	kekhon	330
29	fkGrim	307
30	Blackberry1310	295
31	Legendosh	288
32	luseis	285
33	YungMaki	283
34	Kim_Jong_eel	276
35	ratglock	263
36	PortlyPete69	237
37	Fractured_	232
38	Hiryu27	222
39	eitanzaki	215
40	Di_infiri	211
41	pappaberg	209
42	EveryonesUncle	202
43	Zedducius	196
44	AnnieBathory	193
45	Hoid_the_Roamer	187
46	noam464	185
47	SuperPooch06	180
48	Frozil20	168
49	PlasticOtari	165
50	dudcreeper	154
51	Myrosia	153
51	Jackattack53	153
53	Soplight	150
54	xXTheWolfmanXx	146
55	MyNameIsJobo	141
56	Blaiku	135
57	Ezekson	133
58	Merv__	126
58	andy_rex	126
60	Akoot_	124
61	Zaridey	123
62	ProfessorBee	120
63	AgressiveEggdog	117
64	paranoid_plant	113
65	peach0s	105
66	smogfrog	104
67	RatatJuice	97
67	Onennon	97
67	Nicserso	97
70	FelixPSY375	94
71	Mowelan	89
72	pintsizedrogue	86
72	DemTechAlpha	86
74	ChillenChiggen	85
74	Vellu21	85
76	CEOofSHINS	81
77	tartanboy	79
78	FreddyFart	77
79	mariominejedi	72
79	DarlaMeow	72
81	starbits140	69
82	lordpipe	68
83	JESS_THE_RERE	66
84	pr33tu	64
85	planc_	63
85	ConnorDanky_	63
87	CattSoup	60
88	Snowflowe	59
88	potatocan	59
90	funeralhome	57
90	ItsDeltaMC	57
92	jimintyy	55
92	_Karmaa	55
94	Mr_Byzantine	53
95	Moofyman	52
96	ShedJr_	50
97	Hyugo	49
97	Crumbls	49
97	Eraxa	49
100	m_be9	48
101	spaece	46
101	marumochis	46
103	NomadicRobin_	45
103	Sral7	45
105	Bandito_Roamer	44
106	set67	42
106	MakeHistory157	42
108	lilsay	41
108	El_Jalapeno	41
110	CueMix	38
110	Tyrannosplart	38
112	Healthing	37
112	500am	37
114	legal_tax_evader	36
114	Babushka0430	36
116	Megarboh	34
117	olliebollie48	33
117	stellarjay	33
117	MelodyGaysharks	33
120	Hpdinosaur	32
120	ooga47	32
120	TJawesome09	32
120	Kubeusz2010	32
124	FreakGenius	31
124	anbbang	31
126	Quotary	28
127	SaucyDark	27
127	Lez_	27
127	thewindmillman	27
127	Sheellky	27
131	Ecplosive	25
131	Zythose	25
133	Notta	23
133	MovingFish7	23
135	Chayula	22
136	PigDab	21
136	Optiprimus	21
136	xX_Stalin69_Xx	21
139	BlancoFlaco	20
139	Incinere	20
139	youhjjhhhjj	20
139	Karetoko	20
139	KartivGal	20
144	Wooptey	19
144	fw3xywashere	19
144	EcksD	19
147	Toowny	18
147	MAns_44	18
149	2Stout	17
149	cum_chalice	17
151	abramgray	16
151	FujiBS	16
151	slkiey	16
154	BigBootyHudge	15
154	ImNotYuqii	15
154	Cellcorgi649	15
154	Doom_melon	15
