rank	username	minecraft:used/minecraft:cherry_boat
1	cuddlyMonster	547
2	MattieHD	157
3	Dynamic_wolf_1	124
4	Cache3	55
5	craaaash	52
5	robonya_	52
7	Lorcout	40
8	bl1ss0	37
8	Enderxz3	37
10	Alteriity	35
11	MrShojo	33
12	WET_WET_WET	29
13	mymayowasgone	23
14	Buuck_	22
15	Gus2005	20
16	_witch_craft_	18
16	_Duckery	18
18	LuvLuvLove	17
19	royal_2	16
19	LovableFemboy	16
19	That_tech_head	16
22	pintsizedrogue	15
22	BubblyPrototype_	15
24	Yamdalorian	14
25	TheInfernoPup	13
26	TipDuy3010	12
26	Thunder_bird4337	12
28	hanaryheatwave	11
29	Gelberkodo	9
29	UnContemporary	9
29	FiguraDei	9
32	AstreaTSS	8
32	DairyNickel756	8
34	Kowcio_	7
35	net_flex	6
35	albus0x	6
37	Apollo_993	5
37	ECstardust	5
37	philandr	5
37	Taco_Cat898	5
37	Mr_Froxy	5
37	creatineshakes	5
37	StarCookiees_	5
44	Lazy_geniusig	4
44	danotz	4
44	Jackattack53	4
44	0xharshv	4
48	powercas_gamer	3
48	EMC_	3
48	Lez_	3
48	beeperbeeper5	3
48	TheSecondLord	3
48	oscminus	3
48	Werbe	3
48	Mattesco	3
48	lordpipe	3
48	CalvinCandie17	3
58	Mr_Byzantine	2
58	Mekahsvu	2
58	frizzbees	2
58	Hashises	2
58	Pumpkin_P_Patch	2
58	EcksD	2
58	Corkchef	2
65	YATO202010	1
65	Poliitikko	1
65	_stets	1
65	AmmiDesu	1
65	shineh10	1
65	KarlKaek	1
65	gren_ben	1
65	DinoDoctor_	1
65	ImpavidArcher	1
65	Huwulling	1
65	akap47	1
65	gabukun_	1
65	HUNTERmaun	1
65	SteveCraftBlocks	1
65	Smashic	1
65	Torwynd	1
65	noam464	1
65	Hyp3rion_	1
65	DackBools	1
65	Krowuss	1
65	Galactic_Badger	1
65	oVanityYT	1
65	AkiDev	1
65	DJzombiehunter	1
65	thatsjustfrankie	1
65	Synthoum	1
65	Moss_2006	1
65	TheKingK_	1
65	00000000-0000-0000-0009-01fe065167f0	1
