rank	username	minecraft:used/minecraft:rooted_dirt
1	Manaateee	1872
2	Yamdalorian	484
3	j5ylim	402
4	Enderxz3	354
5	luseis	352
6	SpacesickPrism	350
7	Hyp3rion_	187
8	PlasticOtari	158
9	AlexxO_o	154
10	pintsizedrogue	142
11	Alteriity	139
12	thewindmillman	117
12	RebytreGT	117
14	EMC_	99
15	Mr_Byzantine	85
15	Jackattack53	85
17	Merv__	84
18	Legendosh	81
19	Kowcio_	78
20	hanaryheatwave	76
21	Samificator	75
22	thebaddruid	70
23	Marbz_	56
24	00000000-0000-0000-0009-01ff0c3e5e4f	55
25	k_ce	50
26	Segotep999	47
27	Dakar_	44
28	Nicserso	32
29	Blackberry1310	31
29	TheSecondLord	31
29	mihimihimihi	31
32	_i_ERROR_i_	29
33	Pumpkin_P_Patch	28
34	fragrantmonke444	27
34	pixelviolin	27
36	Elastiq	25
37	_Dri_	23
38	RebelAndroid	22
38	500am	22
40	Avocadogerms	21
41	H0UNDFRMH3LL	20
41	Sleepy_Time_	20
43	Klerick	19
44	Yahir091	11
45	TooPure2	10
45	Kakolbus	10
45	Lutres_	10
48	LeEricc	9
49	2extreeme	8
49	Mattesco	8
49	TheALV	8
49	Jimb0nat0r	8
53	corpsecity	6
53	Reneedium	6
53	Skippeh	6
56	CoffeeNoir	5
56	EveryonesUncle	5
58	Frozil20	4
58	Olib3ar	4
60	ImpavidArcher	3
60	SyntheticSurgeon	3
60	MSK__	3
60	12Magner05	3
60	ARandomHedge	3
60	Boipl	3
60	PortlyPete69	3
60	Steelynan	3
68	UniverseBrewer	2
68	Arceus1975	2
68	AuroraSkies	2
68	pretty_pink_reno	2
68	Gus2005	2
68	Thunder_bird4337	2
74	hm947	1
74	lorywithay	1
74	Huwulling	1
74	rarrq	1
74	Crizma_	1
74	Inchef	1
74	LeauVox4921	1
74	shadowthemonkey	1
74	Krowuss	1
74	oscminus	1
74	Mr_Sun15	1
74	GooseWithin	1
74	DarkS0L	1
74	StinkyDiplomat	1
74	FreakGenius	1
74	fluddd	1
74	Spacewardharpy7	1
74	Soplight	1
74	SammiWolfGirl	1
74	2blox_	1
74	TheWickedBird	1
