rank	username	minecraft:used/minecraft:dark_oak_fence_gate
1	Snowflowe	2176
2	Groundler	1324
3	HellsSponge	973
4	Paintz	889
5	thewindmillman	854
6	beeperbeeper5	536
7	luseis	360
8	Elastiq	321
9	Powowowow	282
10	Merv__	264
11	wezzzi	246
12	M_Patata	243
13	MasterNueve	241
14	pintsizedrogue	237
14	Winklepicker279	237
16	Historical_Sand	224
17	Manaateee	205
18	TheShyPig	199
19	Mahoose	152
20	groofles	149
21	Frozil20	148
22	Notta	139
23	audiocracked	133
24	joethahobo	132
25	TheSecondLord	131
26	500am	130
27	Hisiste	123
28	Fullut	119
28	xzvu	119
30	ZoomieZoomie	114
31	MattieHD	112
32	Di_infiri	108
32	PigDab	108
32	FishyBoy3811	108
35	noam464	103
36	PlasticOtari	100
37	Sral7	95
38	XxCookiequeenxX	93
39	m_be9	83
40	Lez_	82
40	rarrq	82
40	Stiar	82
40	Soplight	82
44	Biites	80
45	Wowful	78
46	SpacesickPrism	73
47	ImpavidArcher	71
48	Jakobo1337	69
48	pixelviolin	69
50	Werbe	67
51	Skippeh	62
52	Shogunite	57
53	xolstoi	55
54	Leyna3	54
55	NieToksikpl	53
56	_Huge_Male_	47
57	Huwulling	43
58	Sorry_Arey	37
59	rachcl	36
60	Jackattack53	35
60	ConnorDanky_	35
62	SmashingPump	34
63	diamondgolem35	33
63	Mattesco	33
65	Dakar_	32
66	Blackberry1310	31
66	SingedBread	31
68	eitanzaki	29
68	Skylord_Luke	29
68	FreakGenius	29
68	jnp_gaming	29
72	Sleek_Storm_721	25
72	I_Am_Mushkin	25
74	SaucyDark	24
74	AdmiralSmoke	24
76	Tyrannosplart	23
76	anbbang	23
78	Rebytre	22
78	Y_A_N_N_I	22
78	EcksD	22
81	burbankbuilder28	21
81	Felenov	21
81	RobotMinion101	21
81	Druid95	21
85	6king6colt6	20
85	Onennon	20
85	Fizznut909	20
88	Rumpletaezer	19
89	xxPipperDipperxx	18
89	dartwaffle	18
91	FirsTimeGamingTV	17
91	CattSoup	17
93	titanlax	16
94	Ryker	15
94	SyntheticSurgeon	15
94	Deguns123	15
97	Alteriity	14
97	thescout7	14
97	censorsheep	14
97	smogfrog	14
101	teslawolf38	13
101	kekhon	13
101	intropass	13
104	CLG_Kata	12
104	GingerNeutron	12
104	brycepants	12
104	Steelynan	12
108	r123moore	11
108	Kynigito	11
108	LordSpeed37	11
111	EMC_	10
111	Ssor69	10
111	TheDankPlatypus	10
111	BlankityMcBlank	10
111	lcvezra	10
116	RatatJuice	9
116	Incinere	9
116	Prismyst	9
116	Marbz_	9
116	NormanFetus	9
116	Eraxa	9
116	Ezekson	9
123	Apollo_993	8
123	Motsaro	8
123	bearlystraight	8
123	YungMaki	8
123	mountaingirl311	8
123	Legendosh	8
129	Swexti	7
129	orxngejuice	7
129	PaperCanvas	7
129	Russiancat1	7
129	Enderxz3	7
134	Cortexia	6
134	KeruNatsema	6
134	SammiWolfGirl	6
134	PortlyPete69	6
138	RosaDoesMC	5
138	bruh072	5
138	LeeMcGee30	5
141	Yatitay	4
141	peach0s	4
141	Pofen	4
141	heckface	4
141	ARandomHedge	4
141	AMOTOS_LASODEMIA	4
141	RohnJosin	4
141	AlphaWolfPlaysMC	4
141	Fuhrer_Teemo	4
141	ReflexCode	4
141	Barlycorn	4
141	Kowcio_	4
141	Jimb0nat0r	4
141	JayToe	4
155	Ryan_GEMS	3
155	DinoDoctor_	3
155	ITDV	3
155	featherflyy	3
155	BobDeBouwer1337	3
155	MindyDooWho	3
155	eviltunix	3
155	Ecplosive	3
155	Jimi7hits	3
155	Inbefour	3
155	DTwenty	3
155	BumbleBeever	3
155	Warlord324	3
155	CalebDHawk	3
155	KingMatthew506	3
155	TheOnlyRake	3
155	cichy096	3
155	TechnoNinja64	3
173	livingdaydreams	2
173	Sebaschan__	2
173	SquadMonster	2
173	Atroxes	2
173	Crowman1	2
173	Ravenbie	2
173	MrExplorer	2
173	minersam1	2
173	Smashic	2
173	benediktine1	2
173	Kakolbus	2
173	Chromary	2
173	Hyp3rion_	2
173	oscminus	2
173	DebbieBrunswick	2
173	theofiel	2
173	Joestra	2
173	JoeSaysBingBong	2
173	avalan64	2
173	Lutres_	2
173	The_slideV3	2
173	Dooinfe	2
173	claivin	2
173	Travka100	2
173	Nycteus_	2
173	MightyWertu	2
173	yoyoYoloMonke	2
173	UCP_TheKingK	2
173	fffMike	2
173	potatocan	2
203	Jovaphobic	1
203	Mr_Byzantine	1
203	dabloons	1
203	Foof13	1
203	C0by3llis	1
203	Nicky_H225	1
203	ProfessorBee	1
203	Secret_Canary	1
203	slkiey	1
203	fade_emerge78823	1
203	olliebollie48	1
203	Bucscw24	1
203	SuperPooch06	1
203	AnnieBathory	1
203	selectrix	1
203	Mr_Sun15	1
203	HolyVenom	1
203	parodypatient	1
203	Lord_Jord	1
203	AuroraSkies	1
203	420BreadLizard	1
203	bpmm	1
203	EveryonesUncle	1
203	carpet4_69	1
203	GeromeMerris	1
203	fluddd	1
203	Spacewardharpy7	1
203	monky_irl	1
203	voiding_	1
203	ImagineRamen	1
203	djancak	1
203	LeEricc	1
203	ImWhiteJesus	1
203	Hermanni__	1
203	Rainaldus	1
203	Kubeusz2010	1
203	TheOuterCore	1
