rank	username	minecraft:used/minecraft:diamond_leggings
1	Hyp3rion_	56
2	Mattesco	16
3	luseis	15
4	Kowcio_	14
5	DairyNickel756	11
6	TheSecondLord	10
6	robonya_	10
8	DinoDoctor_	8
8	Mahoose	8
10	Luminad3	7
10	00000000-0000-0000-0009-01f3e0064b49	7
12	myaccountwasgone	6
12	skitzxo	6
14	CLG_Kata	5
14	Gryglu583	5
14	00000000-0000-0000-0009-01f9013b764e	5
17	BPTY4618	4
17	cichy096	4
17	00000000-0000-0000-0009-01ff0c3e5e4f	4
20	lcn	3
20	Zxhir	3
20	Auseawesome	3
20	Jackattack53	3
20	Strats__	3
20	Lo_zio_Diego	3
20	SvenskaHugo	3
20	SpacesickPrism	3
28	Lorcout	2
28	RoskobiOne	2
28	CloroxBleach385	2
28	Niklas20114552	2
28	77Holly7	2
28	lorywithay	2
28	YairZaki	2
28	rarrq	2
28	Hydro___________	2
28	12Magner05	2
28	xxPipperDipperxx	2
28	crashomon	2
28	shadowthemonkey	2
28	RebytreGT	2
28	TheWildMateo	2
28	HyperCave	2
28	Fuad_R	2
28	Yahir091	2
28	sp00ky_ghost977	2
28	FadedSpade82	2
28	NATE_the_HALO	2
28	Yamdalorian	2
50	xvphmura	1
50	Krasnal1337	1
50	H0UNDFRMH3LL	1
50	Groovy_MoonBird	1
50	k_ce	1
50	SpartanNamor	1
50	Deu_Stew	1
50	ganyuganyu	1
50	_stets	1
50	Haficzeq6984	1
50	PazinGaming	1
50	vanabell06	1
50	Frozil20	1
50	Flex_Tape_Phil	1
50	Jindong	1
50	eitanzaki	1
50	C0by3llis	1
50	Lazy_geniusig	1
50	R0cketmanstan	1
50	kerryfull1	1
50	Lez_	1
50	Myszoaz	1
50	skroobiez	1
50	blevster	1
50	royal_2	1
50	_Destina_	1
50	Tino666	1
50	Malorn_Aetherius	1
50	Blackberry1310	1
50	SnowyAvi	1
50	Crowman1	1
50	_Z3RIX_	1
50	Jakobo1337	1
50	MattieHD	1
50	cubecutter124	1
50	Secret_Canary	1
50	Jrar_	1
50	Kkanot	1
50	pluhsia	1
50	Nach0Bear	1
50	KGTV	1
50	Juansinmiedo18	1
50	imcombxt	1
50	MiamiFights	1
50	loydaf124	1
50	Touched_Bread	1
50	gamerlord1324	1
50	ARandomHedge	1
50	noam464	1
50	Dynamic_wolf_1	1
50	GOOBERGABE04	1
50	Pandarus_	1
50	SlayerCrypto	1
50	PosPsycher	1
50	hanaryheatwave	1
50	corpsecity	1
50	Arceus1975	1
50	Cjay925	1
50	Boipl	1
50	BronkerBrum	1
50	oscminus	1
50	NotHimMC	1
50	CowOfTheNile	1
50	HFSC	1
50	ScootOfBoot	1
50	KartivGal	1
50	Zielo2017PL	1
50	groofles	1
50	Akoot_	1
50	Hahaa_0	1
50	Tiktola01	1
50	NumbaOneMunch	1
50	autisticcupcake	1
50	Dakar_	1
50	cokcandbals	1
50	Walter___White__	1
50	Ooosa	1
50	ATurtle4936	1
50	Blu3beast	1
50	AnArtisticDud	1
50	3_Solar_3	1
50	THEKINGLyric10	1
50	ChiefThrock	1
50	trashmammals	1
50	technic_squirrel	1
50	Vicemaniac	1
50	lordpipe	1
50	Jjackoe	1
50	EredMithrin	1
50	TheAnonymousHobo	1
50	Moss_2006	1
50	Photosynthesis_s	1
50	pixelviolin	1
50	Doorknob0101	1
50	Pumpkin_P_Patch	1
50	Soplight	1
50	brofrickcheaters	1
50	Mairyu_	1
50	VittoValenttino	1
50	BungalowBeet	1
50	Myrulfan3	1
50	BurgerKnight	1
50	88Hazza88	1
50	ZoomieZoomie	1
50	TheOuterCore	1
50	TheBananaKat	1
50	Iamthejo	1
50	EcksD	1
50	Crimsongale	1
50	Kowcinka	1
50	Jimb0nat0r	1
50	calamariclam_I	1
50	WYFYoyo	1
50	IsoldeB	1
50	FishisTTV	1
50	00000000-0000-0000-0009-01fec705f83f	1
50	00000000-0000-0000-0009-01fc3bb26159	1
50	00000000-0000-0000-0009-01f7965f8059	1
50	00000000-0000-0000-0009-01f36f79dcc7	1
50	00000000-0000-0000-0009-01f26dd426cb	1
