rank	username	minecraft:used/minecraft:gilded_blackstone
1	500am	1249
2	Legendosh	296
3	ApophisNova	142
3	MyNamaSheff	142
5	Frozil20	137
6	Fullut	109
7	joethahobo	101
8	Cowison	83
9	Blaiku	75
10	Marbz_	74
11	TheSecondLord	65
12	wwwwinnebagoooo	61
13	r123moore	56
14	noam464	49
15	Crowman1	48
16	ImpavidArcher	43
17	diggydog67	40
18	Teebone15	34
19	lizardfightclub	31
20	Manaateee	30
21	Awyrlas	29
22	AdmiralSmoke	27
23	pintsizedrogue	23
23	k_ce	23
25	ooga47	18
25	Lord_Jord	18
25	FreakGenius	18
28	Mahoose	15
28	excelsionprime	15
28	thewindmillman	15
31	EMC_	14
31	Cyntrical	14
33	T045RTY	13
33	titanlax	13
35	iSammael	11
36	Apollo_993	10
37	mwrty	9
37	Snowflowe	9
39	set67	8
39	Arceus1975	8
39	Kubeusz2010	8
42	MAns_44	7
43	beeperbeeper5	6
43	kekhon	6
43	himak1	6
43	pumpfonzo	6
43	ConnorDanky_	6
48	diamondgolem35	5
48	eitanzaki	5
48	monky_irl	5
48	Druid95	5
48	RadarHz	5
53	Kowcio_	4
53	PlasticOtari	4
55	YungMaki	3
55	WYFYoyo	3
57	Historical_Sand	2
57	TheShyPig	2
57	HellsSponge	2
57	Hisiste	2
57	Spacewardharpy7	2
57	ItsDeltaMC	2
57	IvarEXE	2
57	djancak	2
57	Luigipunch989	2
57	xolstoi	2
67	ItsGrayWolf	1
67	livingdaydreams	1
67	ShedJr_	1
67	ITDV	1
67	Blackberry1310	1
67	jacxhadow	1
67	_Magdo_	1
67	mariominejedi	1
67	Hyp3rion_	1
67	Moofyman	1
67	NomadicRobin_	1
67	EveryonesUncle	1
67	luseis	1
67	DarlaMeow	1
67	lordpipe	1
67	anbbang	1
67	FelixPSY375	1
67	Enderxz3	1
