rank	username	minecraft:used/minecraft:crimson_hyphae
1	YungMaki	4077
2	Huwulling	2641
3	Crowman1	1548
4	joethahobo	1372
5	Smoke____	1156
6	Kowcio_	580
7	thewindmillman	553
8	ZoomieZoomie	324
9	beeperbeeper5	272
10	Hermanni__	269
11	xxPipperDipperxx	142
12	mwrty	92
13	CliffEmAll	85
13	olliebollie48	85
15	soundad	68
15	Marbz_	68
17	r123moore	58
18	Cowison	22
19	Kubelz	20
20	Steelynan	16
21	FreakGenius	15
22	PlasticOtari	14
23	500am	8
24	BobDeBouwer1337	7
25	kekhon	5
26	SuperPooch06	4
27	Blackberry1310	3
27	LazySupport00	3
29	12Magner05	2
29	Zythose	2
31	noam464	1
31	burbankbuilder28	1
31	Skylord_Luke	1
31	ConnorDanky_	1
31	Legendosh	1
31	00000000-0000-0000-0009-01ff0c3e5e4f	1
