rank	username	minecraft:used/minecraft:cooked_porkchop
1	Spacewardharpy7	19493
2	beeperbeeper5	19037
3	noam464	16660
4	thewindmillman	15963
5	joethahobo	12717
6	lordpipe	10224
7	EveryonesUncle	9519
8	Eraxa	9207
9	Frozil12	9205
10	EcksD	8656
11	SteveCraftBlocks	7534
12	Smoke____	7295
13	Mahoose	7123
14	PigDab	6918
15	TheSecondLord	5001
16	PlasticOtari	4664
17	YungMaki	4476
18	12Magner05	3737
19	kekhon	3478
20	Historical_Sand	3229
21	Inchef	3179
22	rarrq	3141
23	Soplight	3094
24	Enderslayerxz3	2950
25	Winklepicker279	2899
26	gcaisawesome	2794
27	Rebytre	2685
28	MilleGrug	2639
29	Steelynan	2384
30	Chromary	2284
31	eitanzaki	2257
32	KG1999	2063
33	CoffeeNoir	2041
34	egglapras	1991
35	SkateboardR6	1947
36	Nycteus_	1915
37	Merv__	1874
38	Xalithia	1826
39	bloodbiter	1747
40	Akoot_	1727
41	Zythose	1673
42	Quotary	1622
43	lillips	1575
44	obzii	1546
45	masskedman	1532
46	Dedalus36	1515
47	Freak_Genius	1316
48	Hisiste	1293
49	Blackberry1310	1291
50	claivin	1218
51	Eczbek	1201
52	Awyrlas	1183
53	chipklip	1135
54	set67	1103
55	Legendosh	1064
56	MeetTheWollo	1053
57	burbankbuilder28	1026
58	Skylord_Luke	990
59	Myszoaz	977
60	HolyVenom	958
61	trexgb	935
62	Jackattack53	920
63	Nicky_H225	916
64	benediktine1	886
65	himak1	854
66	BobDeBouwer1337	788
67	FelixPSY375	783
68	SvenskaHugo	747
69	Mattesco	738
70	MangoTheFish	726
71	YoshikageBites	719
72	AuroraSkies	714
73	M_Patata	701
74	Kkanot	684
75	pixelviolin	683
76	Wowful	674
77	ROY4LE	673
78	MSK__	664
79	fluddd	636
80	Shogunite	620
81	NomadicRobin_	617
82	EMC_	602
83	ImpavidArcher	593
84	HyperCave	575
85	2blox	568
86	BlancoFlaco	567
87	ExtraDumb	562
88	tartanboy	559
89	Rumpletaezer	549
90	nataliecool	540
91	T045RTY	534
92	MasterNueve	532
93	Werbe	526
94	RoskobiOne	524
95	00000000-0000-0000-0009-01f898304150	517
96	Segotep999	508
97	ItsDeltaMC	493
98	MissCeleste7	489
99	_Dean_123	486
100	jcool7	484
101	RebelAndroid	480
102	Deathkob	469
103	fffMike	468
104	ooga47	464
105	Swexti	463
106	KartivGal	460
