rank	username	minecraft:used/minecraft:dragon_egg
1	Akoot_	6
2	oscminus	5
3	TheShyPig	3
4	eitanzaki	2
4	Lez_	2
4	MattieHD	2
4	Kowcio_	2
4	ProbsNotNova	2
4	TechnoNinja64	2
10	DAD_1996	1
10	ApophisNova	1
10	GoofyBread	1
10	Racengan	1
10	Spacewardharpy7	1
10	Professor_x8	1
10	MyNamaSheff	1
