rank	username	minecraft:used/minecraft:netherite_hoe
1	Blackberry1310	96354
2	beeperbeeper5	71592
3	TheBananaKat	66415
4	Snowflowe	55683
5	Ezekson	51730
6	thewindmillman	50580
7	noam464	49934
8	Alteriity	36442
9	pintsizedrogue	34056
10	SpacesickPrism	32274
11	EveryonesUncle	31985
12	Marbz_	31720
13	joethahobo	31184
14	hanaryheatwave	30505
15	Hyp3rion_	26330
16	Enderxz3	26210
17	Manaateee	25185
18	Apollo_993	23579
19	k_ce	21017
20	oscminus	20714
21	luseis	19424
22	PlasticOtari	18253
23	TheKingK_	15281
24	Pumpkin_P_Patch	13272
25	FreakGenius	12621
26	Touched_Bread	12204
27	Kowcio_	12203
28	Spacewardharpy7	11367
29	Krowuss	10869
30	Mahoose	10152
31	PigDab	9993
32	TheSecondLord	9901
33	Merv__	9547
34	Lutres_	9336
35	Yamdalorian	8682
36	Segotep999	8103
37	Kakolbus	7793
38	j5ylim	7434
39	ShedJr_	7366
40	q_wq	6496
41	Fuad_R	5786
42	NomadicRobin_	5418
43	AstreaTSS	5390
44	YungMaki	5159
45	MilleGrug	5075
46	pixelviolin	5032
47	SvenskaHugo	4755
48	HesDemonPants	4535
49	Steelynan	4012
50	Akoot_	3992
51	RebelAndroid	3784
52	12Magner05	3075
53	shadowthemonkey	3049
54	MattieHD	3019
55	Jimb0nat0r	3016
56	ConnorDanky_	2991
57	Fullut	2989
58	blackeemperor	2887
59	4774	2796
60	Lez_	2715
61	set67	2604
62	_Huge_Male_	2326
63	500am	2279
64	gren_ben	2252
65	Historical_Sand	2182
66	Racengan	2081
67	zToasty69z	1930
68	Cowison	1855
69	djancak	1854
70	fade_emerge78823	1749
71	Secret_Canary	1652
72	Luigipunch989	1576
73	CarryLine	1498
74	ARandomHedge	1411
75	Vicemaniac	1391
76	Smashic	1332
77	Sheldor097	1303
78	M_Patata	1280
79	MasterNueve	1171
80	Jackattack53	1152
81	_Virify_	1123
82	QuiCreans	1073
83	Kubeusz2010	1054
84	nattybears	982
85	livingdaydreams	981
86	Megarboh	900
87	SingedBread	862
88	MrKrabOnCoke	785
89	H0UNDFRMH3LL	771
90	NieToksikpl	760
91	masskedman	707
92	r123moore	607
93	MrShojo	600
94	T045RTY	556
95	ECstardust	555
96	HellsSponge	550
97	Blaiku	497
98	calamariclam_I	482
99	Da_Boss_Rani	454
100	fw3xy74	449
101	kekhon	442
102	Hpdinosaur	432
103	_i_ERROR_i_	426
104	Eczbek	424
105	Wowful	396
106	Crowman1	366
107	diggydog67	363
108	excelsionprime	329
109	rarrq	328
110	Mattesco	327
111	2blox_	319
112	NatalieTW	304
113	mwrty	302
114	Ryan_GEMS	262
115	MSK__	241
116	rachcl	231
117	SoftSix	225
117	_Mythic____	225
119	Iamthejo	179
120	00000000-0000-0000-0009-01ff0c3e5e4f	163
121	jnp_gaming	149
122	annebolyn	141
123	Huwulling	138
124	CLG_Kata	127
125	Creativebuilder2	122
126	HolyVenom	112
127	Myszoaz	96
128	TheTommyGun63	87
129	EdGalbraith	79
130	Doorknob0101	77
131	TheWickedBird	75
132	LexMakesHistory	63
133	corvidpartyfor6	58
134	myaccountwasgone	53
135	PhantomsGhost_	43
136	Shortest_Man	32
137	Werbe	31
138	bloodbiter	23
139	Quaintster	22
140	U_Mos_	18
141	DarkS0L	17
142	Afinnity	8
143	emreknugrlu	6
143	Myntsys	6
145	lorywithay	5
146	KarlKaek	3
146	SquadMonster	3
148	RoskobiOne	2
148	eitanzaki	2
148	censorsheep	2
151	SpaceGrenadier	1
151	bl1ss0	1
151	corpsecity	1
151	xzvu	1
