rank	username	minecraft:used/minecraft:purple_glazed_terracotta
1	lordpipe	714
2	YungMaki	159
3	beeperbeeper5	140
4	PortlyPete69	136
5	Jiminie	80
6	EcksD	74
7	thewindmillman	73
8	Werbe	42
9	Bumpy419	32
10	Soplight	31
11	SaucyDark	25
12	monky_irl	23
13	RobotMinion101	18
14	Bandito_Roamer	16
15	Inbefour	14
16	obzii	7
17	Mahoose	6
17	QueenShuvi	6
19	Fullut	5
19	TheShyPig	5
19	chipklip	5
19	Smoke____	5
23	StinkyDiplomat	4
23	Spacewardharpy7	4
25	joethahobo	3
25	Njensen7	3
27	noam464	2
27	Rumpletaezer	2
27	El_Jalapeno	2
27	Nycteus_	2
27	__tomato	2
27	sea_otter_h	2
33	NotP0tato	1
33	ImpavidArcher	1
33	boog4loo	1
33	Zaridey	1
33	bean__salad	1
33	RodSerlingCringe	1
33	ItsDeltaMC	1
33	pixelviolin	1
