rank	username	minecraft:used/minecraft:barrier
1	Arceus1975	245
2	MattieHD	76
3	Shogunite	60
4	kekhon	42
5	Akoot_	27
6	Eraxa	24
7	beeperbeeper5	12
8	Blu3beast	6
