rank	username	minecraft:used/minecraft:tube_coral_block
1	Hyp3rion_	361
2	_Dean_123	264
3	mihimihimihi	255
4	YungMaki	169
5	h2p_emrld	135
6	pintsizedrogue	127
7	Di_infiri	110
8	Merv__	109
9	ImpavidArcher	100
10	AuroraValkyrie	95
11	Cryptacity	79
12	Xalithia	77
13	skroobiez	70
14	12Magner05	68
15	Kouridragon	66
16	Blackberry1310	64
17	Lez_	63
18	500am	62
18	r123moore	62
20	HellsSponge	60
20	TheWickedBird	60
22	Fullut	58
23	Marbz_	57
24	lordpipe	55
25	myaccountwasgone	50
26	Powowowow	48
27	TheDankPlatypus	40
28	Groovy_MoonBird	38
29	kekhon	36
30	Inchef	33
30	ApophisNova	33
30	MyNamaSheff	33
33	diamondgolem35	32
33	Ssor69	32
35	thewindmillman	31
35	Xclax101	31
37	_witch_craft_	27
37	Rumpletaezer	27
39	MattieHD	26
40	TheShyPig	25
40	stellarjay	25
42	excelsionprime	22
42	Maenara	22
42	Ezekson	22
45	Bandito_Roamer	20
45	KingMatthew506	20
47	KeruNatsema	19
47	GooseWithin	19
49	Skylord_Luke	18
49	Druid95	18
51	hm947	17
51	hanaryheatwave	17
51	Arceus1975	17
51	Skippeh	17
55	Onennon	16
56	_Karmaa	14
56	PlasticOtari	14
58	Archsam	13
59	ConnorDanky_	11
60	SaucyDark	10
61	RebytreGT	9
62	titanlax	8
62	aec9	8
62	diggydog67	8
65	BodaciousCake	7
65	joethahobo	7
65	Blaiku	7
65	miramyu	7
65	SpacesickPrism	7
70	Bumpy419	6
70	The_slideV3	6
70	NameGenerat0r	6
70	Blu3beast	6
70	Typadopoulos	6
70	TechnoNinja64	6
76	beeperbeeper5	5
76	Voxin2K	5
76	StinkyDiplomat	5
76	LordSpeed37	5
76	Enderxz3	5
81	TheSecondLord	4
81	noam464	4
81	F_Uhre	4
81	XxCookiequeenxX	4
85	abramgray	3
85	Jackattack53	3
85	SuperPooch06	3
85	Fizznut909	3
85	Jimb0nat0r	3
90	FreakGenius	2
90	pixelviolin	2
92	KarlKaek	1
92	tsohomie	1
92	Hydro___________	1
92	Winklepicker279	1
92	Cruncy_	1
92	audiocracked	1
92	Quaintster	1
92	fluddd	1
92	MovingFish7	1
92	ItsDeltaMC	1
92	Soplight	1
92	_i_ERROR_i_	1
92	Legendosh	1
92	skitzxo	1
