rank	username	minecraft:used/minecraft:deepslate_tile_slab
1	Hyp3rion_	16354
2	beeperbeeper5	10563
3	hanaryheatwave	10362
4	Jackattack53	7466
5	TheSecondLord	3385
6	Ezekson	3234
7	Krowuss	3083
8	Lez_	2941
9	LeauVox4921	2488
10	thewindmillman	2218
11	Smashic	2135
12	mihimihimihi	2061
13	pintsizedrogue	1968
14	Sleepy_Evelyn	1730
15	500am	1652
16	12Magner05	1582
17	TheWickedBird	1512
18	FishisTTV	1386
19	rarrq	1228
20	TheKingK_	1191
21	ImpavidArcher	1143
22	Megarboh	1010
23	k_ce	964
24	EMC_	906
25	Winklepicker279	905
26	iSammael	854
27	Jimb0nat0r	830
28	Huwulling	795
29	Yamdalorian	715
30	YungMaki	590
31	Solar_Power	554
32	Marbz_	537
33	SvenskaHugo	488
34	skitzxo	485
35	Ryker	477
36	Mattesco	437
37	Fuad_R	426
38	RebelAndroid	372
39	oscminus	343
40	groofles	330
41	_Huge_Male_	292
42	T045RTY	282
43	Lord_Doob	274
44	TAKrules	271
45	myaccountwasgone	241
46	MattieHD	238
46	Jimi7hits	238
48	Steelynan	220
49	HUNTERmaun	218
50	MAns_44	211
51	00000000-0000-0000-0009-01ff0c3e5e4f	188
52	The_Fulgurator	181
53	joethahobo	179
54	hermmm_	169
55	Kowcio_	165
56	Pumpkin_P_Patch	156
57	N00bula	148
58	benediktine1	132
59	Tersea_	127
60	_i_ERROR_i_	120
61	PigDab	118
62	Mr_Sun15	116
63	non089	113
63	Nicserso	113
65	Mahoose	110
66	Gzrdy	109
67	bl1ss0	108
68	Pofen	105
68	PlasticOtari	105
70	skroobiez	98
71	Kakolbus	97
72	hm947	93
73	Olib3ar	90
74	Manaateee	84
75	excelsionprime	75
76	Galactic_Badger	72
77	SquadMonster	69
78	Dblikstad	64
78	Wowful	64
80	RadarHz	60
81	Touched_Bread	58
82	Elastiq	57
82	pixelviolin	57
84	fragrantmonke444	54
85	PazinGaming	35
86	kyouma777	33
86	Soplight	33
88	ZoomieZoomie	31
89	Ma_name_alex	28
90	sp00ky_ghost977	25
91	Blackberry1310	22
91	Werbe	22
93	Pineapplesugr	20
93	breadbowlgamer	20
95	SOA1RR	15
96	CaracolCxnt	14
96	91stCataclysm	14
98	Mr_Byzantine	13
98	Spacewardharpy7	13
100	PaperCanvas	12
100	fluddd	12
100	CalebDHawk	12
103	RoskobiOne	10
104	Segotep999	9
104	LeEricc	9
106	luseis	8
107	Inchef	7
108	TooPure2	6
108	olliebollie48	6
108	Boipl	6
111	NATE_the_HALO	5
112	GooseWithin	3
113	xxPipperDipperxx	2
113	aldplaysmc	2
113	lordpipe	2
116	thatbeanyboi	1
116	Moofyman	1
116	mobunni	1
