rank	username	minecraft:used/minecraft:golden_hoe
1	Smoke____	152
2	monky_irl	130
3	iElijah	99
4	Fuad_R	64
5	Shogunite	62
6	Jackattack53	61
7	fanofbands101	41
8	eitanzaki	36
9	diggydog67	35
10	SugarMyNuggets	34
11	Fullut	33
12	Merv__	32
12	Frozt99	32
12	rarrq	32
12	firesgal3116	32
12	ProfessorBee	32
12	CharlieButt	32
12	Qorbyn	32
12	SUN_DREAM	32
12	djancak	32
12	MilleGrug	32
12	MeetTheWollo	32
23	Dyosy	30
23	mihimihimihi	30
25	Zoeyfortnite	26
26	Shazzyling	22
27	Akoot_	16
28	coobert42	15
29	corvidpartyfor6	11
30	tsitrawhy	10
31	Silvo614	9
31	NomadicRobin_	9
33	killmeiamtraitor	8
34	fred870d	3
34	Spacewardharpy7	3
36	Drlzyy	2
36	Bumpy419	2
38	RoskobiOne	1
38	gcaisawesome	1
38	mariominejedi	1
38	SuperPooch06	1
38	Synnlux	1
