rank	username	minecraft:used/minecraft:cobblestone_stairs
1	Frozil12	9539
2	Shogunite	6543
3	Cowison	6257
4	ApophisNova	5982
4	MyNamaSheff	5982
6	TheShyPig	5132
7	Legendosh	3540
8	burbankbuilder28	3326
9	Ezekson	2622
10	Blackberry1310	2287
11	kekhon	2061
12	rarrq	1977
13	beeperbeeper5	1916
14	Smoke____	1562
15	Racengan	1438
16	StinkyDiplomat	1353
17	slkiey	1276
18	DAD_1996	1263
19	Cocoamallows	1194
20	MightyWertu	1175
21	Cortexia	1055
22	thewindmillman	1022
23	Jeteight	1012
24	Skylord_Luke	1006
25	Akoot_	998
26	Louiis123	991
27	EMC_	978
28	__tomato	966
29	Di_infiri	946
30	Spacewardharpy7	928
31	wezzzi	900
32	MattieHD	857
32	LordSpeed37	857
34	Malorn_Aetherius	842
35	_Karmaa	840
36	Groundler	797
37	impossibleteapot	781
38	CharlieButt	779
39	thescout7	778
40	jushykins	767
41	jcool7	761
42	jacxhadow	759
43	Werbe	748
44	RefluxRatio	736
45	6king6colt6	725
46	MissCeleste7	714
47	lcvezra	711
48	Deguns123	692
49	m_be9	678
50	XeroByMyth	665
51	soundad	664
52	pintsizedrogue	657
53	_Bguette_	656
54	HellsSponge	655
55	GoofyBread	642
55	El_Jalapeno	642
57	joethahobo	636
58	Quincannon	626
59	CalebDHawk	573
60	Deathkob	565
61	TheSecondLord	564
62	q_wq	552
63	yoyoYoloMonke	539
64	Winklepicker279	517
64	Skippeh	517
66	JustAWill_	504
67	TooManyDuck	496
68	Hermanni__	492
69	Smiguli_	488
70	Mahoose	458
71	a_smol_bean	442
72	radioactv_jelly	436
73	Blu3beast	434
74	Lord_Jord	431
75	Wolverine4302	430
76	Merv__	429
77	lordpipe	426
78	Mr_Byzantine	423
79	Auseawesome	422
79	Megarboh	422
81	DanTheBuilderino	419
82	Dusk_95	415
83	_Dean_123	413
84	AlazelTheReal	407
85	MovingFish7	401
86	Sral7	400
87	Seindi	395
88	bruh072	392
89	fffMike	388
90	Smaldo	384
91	privatemeekly	381
92	ssleepless	369
93	RobotMinion101	353
93	Freak_Genius	353
95	MakeHistory157	352
96	Groovy_MoonBird	349
97	Sloths_Ender	346
98	Lukeee33	344
99	awesomeweasel	342
99	xxPipperDipperxx	342
101	djancak	338
102	Mowelan	329
103	fred870d	325
104	Onennon	319
105	Natty	311
105	YungMaki	311
107	PlasticOtari	310
108	PigDab	309
109	Jiminie	306
109	NotMeowMix	306
111	Fuhrer_Teemo	303
111	MentheMan09	303
111	Eraxa	303
114	Historical_Sand	299
114	TechnoNinja64	299
116	redikul	294
117	SpicyMeatballs	292
117	GravitySaint	292
117	Typadopoulos	292
117	vandmanden	292
121	censorsheep	283
122	Negriuke	282
122	Toiton	282
122	00000000-0000-0000-0009-01f898304150	282
125	AuroraSkies	281
126	Chayula	280
127	madderfall	275
128	AlphaWolfPlaysMC	274
129	Soap_Bender	268
130	EcksDofficial	267
131	Frozt99	266
132	dedgt	257
133	ShedJr_	255
134	n0qtrnL	252
135	tartanboy	250
136	Fullut	247
136	stahouo	247
138	EveryonesUncle	246
139	TildaAndrea	244
139	TheMilkerOfCats	244
139	Matorz	244
142	KarlKaek	243
143	Stiar	241
143	Airem_Core	241
145	Warlord324	238
146	shineh10	236
147	heysushii	234
148	iHuntWeeaboos	230
149	Factoroni	228
150	roxycherry	227
151	youhjjhhhjj	225
152	KevinLikesPie	224
152	Soul_Atreus	224
154	FlashMigma	223
155	Awyrlas	221
155	DSYisDizzy	221
155	BlueZabu	221
158	Notta	216
158	dendydoom	216
160	SLASHZEERA	213
160	Jackattack53	213
162	Orcus113	211
163	Froste131	210
164	Austinizzle	209
165	Kegradigm	205
166	Dragonlfw	204
167	Frxnkz	199
168	kinas45y5	198
169	jessemgaming	195
170	BasedEphex	193
171	Bloo2406	192
172	SharpDev	190
172	gabriels543	190
174	Purplehere	189
175	VanJosh	188
175	xyfrs	188
177	ImpavidArcher	187
177	RyuNeko932000	187
177	CarryLine	187
180	_k2x	182
181	CarbonatedCola	181
182	Meatlaugh	180
182	PortlyPete69	180
184	Comma__	179
184	epiksk8erduck	179
184	ProbsNotNova	179
187	rotten_mango	178
188	NoChumpChange	177
188	OfficerAnvil	177
190	tortillatitan	176
191	THExMuffinx	174
192	richerbat	173
193	fluddd	172
193	diggydog67	172
195	Snowflowe	171
195	Kryktal	171
195	Luigipunch989	171
198	Enigma0251	170
199	MyNameIsJobo	169
200	Fildyr	167
201	560cool	166
201	JohnPrice	166
203	Russiancat1	165
204	C0oOK13M0N5T3R	164
204	BlankityMcBlank	164
206	cytotoxaint	163
207	MixerDixer	161
207	HollieDaNugget	161
207	CrateOfBoxes	161
207	Invisie	161
211	MinerDec	160
211	ewpunk	160
211	wwwwinnebagoooo	160
214	sammidk	159
214	NebulousBadger	159
216	Ev0luti0nz	158
216	Enderslayerxz3	158
218	ThatBurritoTh0	157
219	awesomeoneme	154
219	ElectricDragon81	154
221	RodSerlingCringe	152
222	bloodbiter	151
222	Ze_BaronKrigler	151
224	LikeableSausage	149
225	Prodiginus	146
225	CaptainSteve345	146
227	whoaluv	145
227	CTH_98	145
227	CSG_Haru	145
227	jaimshae	145
231	301851	144
231	Njensen7	144
233	bitsplease	143
234	starbits140	142
235	OreoPenguin_	141
235	Weepingbiel	141
237	MinttyFressh	140
237	Katsuragi0243218	140
239	stickwhiskers	139
240	Kakolbus	137
240	andy_rex	137
240	monolu	137
243	numbra	136
244	eitanzaki	134
244	Avermu	134
244	Barlycorn	134
244	Pickel_Lord	134
244	jnp_gaming	134
249	killmeiamtraitor	133
250	oreee	132
250	breadbowlgamer	132
250	curterr	132
253	gloryoftherain	131
254	BreadBacon	130
255	H72l9w	129
256	AngalexikCZ	128
256	CruncyIsTaken	128
256	wirelesstree	128
259	Apicomplexa	126
259	KASAN420	126
261	jiggywraps	125
261	nitram49b	125
261	Rebytre	125
261	Quotary	125
265	rats_life	123
265	DemTechAlpha	123
267	SpouHn	120
268	ThePoliteG	119
269	JohnnyMines	118
269	pokemonfreak45	118
269	Ajax6	118
272	Ripzch	117
273	RustyKedel	116
274	Alphanzt99	115
274	Ssor69	115
274	KeruNatsema	115
277	seramalen	114
277	SingedBread	114
279	BlossomOwO	113
280	ROY4LE	112
280	Vetral1	112
280	Lord_Zacler	112
280	Juh1s	112
280	BurgerKnight	112
285	CoffeeNoir	111
286	Kubelz	110
286	SamZombie	110
288	_stets	109
288	maliraspberry	109
288	Covalents	109
291	falcn15	108
291	Dabatha	108
291	Chaotic1s	108
291	Segotep999	108
291	EcksD	108
296	Mouse74	107
296	Bazongoman	107
298	TerraVl	106
298	Rasmanden	106
300	NanoShot	104
