rank	username	minecraft:used/minecraft:horn_coral_block
1	_Dean_123	363
2	Hyp3rion_	349
3	YungMaki	227
4	HellsSponge	203
5	TheSecondLord	129
6	Merv__	90
7	Xalithia	80
8	ImpavidArcher	77
9	Eerini	74
10	Ssor69	69
11	Di_infiri	68
12	500am	59
13	pintsizedrogue	54
14	Marbz_	49
15	fkGrim	47
16	r123moore	46
17	AuroraValkyrie	45
18	TheShyPig	37
19	Rumpletaezer	35
20	Smoke____	34
21	ApophisNova	32
21	MyNamaSheff	32
23	Fullut	31
24	Bandito_Roamer	30
25	lordpipe	28
26	Groovy_MoonBird	26
27	thewindmillman	23
28	Skylord_Luke	22
29	Dusk_95	21
30	diamondgolem35	20
30	CoffeeNoir	20
30	Xclax101	20
30	stellarjay	20
34	kekhon	18
34	Rebytre	18
36	PortlyPete69	16
36	KingMatthew506	16
38	Maenara	15
39	Skippeh	14
40	aec9	13
40	PlasticOtari	13
42	12Magner05	12
42	Onennon	12
42	Inbefour	12
42	Powowowow	12
46	Inchef	11
47	emrekn	10
47	_Karmaa	10
49	Arceus1975	8
49	Voxin2K	8
49	El_Jalapeno	8
49	Blaiku	8
53	Gryglu583	7
54	MattieHD	6
54	The_slideV3	6
54	TechnoNinja64	6
57	BodaciousCake	5
57	KeruNatsema	5
57	Fizznut909	5
60	SaucyDark	4
60	eitanzaki	4
60	joethahobo	4
60	XboxPanda	4
60	EveryonesUncle	4
60	NameGenerat0r	4
60	Typadopoulos	4
60	LordSpeed37	4
60	diggydog67	4
69	Mahoose	3
69	Bumpy419	3
69	Kouridragon	3
69	fred870d	3
69	Ezekson	3
69	Legendosh	3
75	abramgray	2
75	bloodbiter	2
75	TheDankPlatypus	2
75	IAmTheWalrus910	2
79	Historical_Sand	1
79	SellyZ	1
79	noam464	1
79	CruncyIsTaken	1
79	Quaintster	1
79	__tomato	1
79	Nicserso	1
79	jnp_gaming	1
