rank	username	minecraft:used/minecraft:brown_bed
1	Chromary	206
2	eitanzaki	86
3	obzii	78
4	Deathkob	54
5	MeetTheWollo	52
6	Shogunite	46
7	YoshikageBites	32
8	Dedalus36	27
9	Onennon	19
10	EcksD	9
11	RebelAndroid	7
11	Hyp3rion_	7
11	Kynigito	7
11	Leyna3	7
15	Spenduh	6
15	fffMike	6
17	Soul_Atreus	5
18	kekhon	4
18	MyNameIsJobo	4
20	Mahoose	3
20	MattieHD	3
20	Werbe	3
20	Hisiste	3
24	teslawolf38	2
24	joethahobo	2
24	beeperbeeper5	2
24	Cryptacity	2
24	500am	2
24	TableTim	2
24	BronkerBrum	2
24	560cool	2
24	IdeallyGrey	2
24	oxfordschool	2
34	peachfuzz1267	1
34	ThatStupidSheep	1
34	Blackberry1310	1
34	Fullut	1
34	r123moore	1
34	noam464	1
34	XboxPanda	1
34	BlossomOwO	1
34	selectrix	1
34	RohnJosin	1
34	fred870d	1
34	tyraxxx	1
34	NomadicRobin_	1
34	the_russell1611	1
34	FishisTTV	1
