rank	username	minecraft:used/minecraft:polished_blackstone
1	500am	10519
2	Smoke____	10452
3	beeperbeeper5	5589
4	lizardfightclub	5125
5	Lutres_Torane	5109
6	pintsizedrogue	5068
7	Cowison	4427
8	rarrq	4246
9	Lord_Jord	3592
10	Mattesco	2896
11	lillips	2435
12	Snowflowe	2383
13	TheSecondLord	2307
14	ApophisNova	1747
14	MyNamaSheff	1747
16	XboxPanda	1605
17	NameGenerat0r	1552
18	EveryonesUncle	1407
19	SkateboardR6	1110
20	RebelAndroid	926
21	PlasticOtari	855
22	Nycteus_	817
23	Fuad_R	811
24	iHuntWeeaboos	804
25	Hyp3rion_	793
26	Legendosh	747
27	TheShyPig	681
28	Awyrlas	674
29	IvarEXE	642
30	Rebytre	626
31	_Boipl_	576
32	Freak_Genius	530
33	RoskobiOne	504
34	Ze_BaronKrigler	502
35	Shogunite	477
36	set67	434
37	EcksD	429
38	Werbe	411
39	Optiprimus	392
40	YoshikageBites	366
41	KliBeast21	339
42	Racengan	307
43	teslawolf38	303
44	Fullut	294
45	eitanzaki	288
46	Spenduh	287
47	FishyBoy3811	256
48	Spacewardharpy7	238
49	King_Pancake1	235
50	ShedJr_	204
51	oxfordschool	200
52	HyperCave	177
53	Jiminie	169
54	Billious	162
55	fffMike	130
56	ProfessorDiaper	127
57	benediktine1	99
58	BobDeBouwer1337	92
59	Alteriity	90
59	NotTrixi	90
59	MAns_44	90
62	_Razar	89
62	Mahoose	89
64	egglapras	87
64	DarkS0L	87
66	Dusk_95	81
67	Smashic	78
68	djancak	74
69	YungMaki	72
70	Steelynan	70
71	eclipseboi	65
72	NieToksikpl	62
73	kekhon	60
74	HolyVenom	59
75	PortlyPete69	56
76	CliffEmAll	46
77	YungJakobo	42
77	Kakolbus	42
79	DanTheBuilderino	40
80	Solar_Power	35
81	burbankbuilder28	32
81	GravitySaint	32
83	thewindmillman	31
84	nataliecool	27
85	MinttyFressh	25
86	brofrickcheaters	24
87	anbbang	23
88	noam464	22
89	Eraxa	21
90	titanlax	16
90	EcksDofficial	16
92	Myrlewen	14
93	Merv__	13
93	ImpavidArcher	13
95	Deathkob	12
96	KarlKaek	11
96	_Karmaa	11
96	Enderslayerxz3	11
99	ogoa	9
100	m_be9	8
101	Jackattack53	7
101	Vorlice	7
103	livingdaydreams	6
103	MSK__	6
103	LittleIan365	6
103	sp00ky_ghost977	6
103	Kubeusz2010	6
108	Blaiku	5
109	Dedalus36	4
109	ExtraDumb	4
109	joethahobo	4
109	Blackberry1310	4
109	The_Fulgurator	4
109	masskedman	4
109	wwwwinnebagoooo	4
109	TheTommyGun63	4
109	mobunni	4
118	hm947	3
118	12Magner05	3
118	r123moore	3
118	ooga47	3
118	fw3xywashere	3
118	Soplight	3
118	CalebDHawk	3
118	FishisTTV	3
126	Gundam_Steven	2
126	SteveCraftBlocks	2
126	himak1	2
126	CarltheCuck	2
126	TinyTheMelon	2
131	AuroraValkyrie	1
131	q_wq	1
131	Flores991	1
131	NinjaKnifeKill	1
131	ROY4LE	1
131	pumpfonzo	1
131	ReverendSmith	1
131	Winklepicker279	1
131	Di_infiri	1
131	whoaluv	1
131	cwartzo	1
131	seramalen	1
131	NomadicRobin_	1
131	StinkyDiplomat	1
131	ItsDeltaMC	1
131	UCP_TheKingK	1
131	GlitchyPlate810	1
131	Njensen7	1
131	Hermanni__	1
131	00000000-0000-0000-0009-01f898304150	1
