rank	username	minecraft:used/minecraft:black_concrete
1	noam464	27035
2	Hyp3rion_	24426
3	mihimihimihi	18514
4	Marbz_	15041
5	emreknugrlu	10369
6	joethahobo	9984
7	beeperbeeper5	9828
8	Werbe	9516
9	thescout7	8628
10	EcksD	7703
11	YungMaki	6330
12	Iamthejo	5950
13	Di_infiri	5653
14	Spacewardharpy7	5011
15	jnp_gaming	4914
16	PigDab	4867
17	12Magner05	4539
18	Lez_	4169
19	TheSecondLord	4027
20	teslawolf38	3652
21	PaperCanvas	3225
22	thewindmillman	2785
23	LordSpeed37	1739
24	k_ce	1693
25	TheBiggestFeller	1647
26	6king6colt6	1521
27	The_slideV3	1465
28	Mr_Byzantine	1424
29	Rumpletaezer	1399
30	skitzxo	1284
31	SSytex_X	1274
32	NameGenerat0r	1264
33	Nicserso	1170
34	TheShyPig	1156
35	MilleGrug	1064
36	lordpipe	1046
37	Pumpkin_P_Patch	1021
38	Powowowow	1010
39	1442	997
39	_Karmaa	997
41	Yamdalorian	993
42	Mahoose	858
43	ConnorDanky_	847
44	h2p_emrld	838
45	NieToksikpl	834
46	SammiWolfGirl	808
47	Eraxa	768
48	eitanzaki	745
49	Kowcio_	744
50	Blaiku	719
51	Manaateee	705
52	hanaryheatwave	691
53	xxPipperDipperxx	625
54	Jimb0nat0r	604
55	TheEnderMan548	595
56	skroobiez	594
57	KamFurnace	549
58	Groundler	547
59	Winklepicker279	540
60	iSammael	539
61	pixelviolin	522
62	titanlax	511
63	Soplight	505
64	Franco093	497
65	SvenskaHugo	494
66	SnowyAvi	486
67	burbankbuilder28	474
68	Ssor69	456
69	Dan_Scha	453
70	Akoot_	440
71	ogoa	433
72	Mattesco	423
73	Iagoku	402
73	ssleepless	402
75	OreTheBear	393
76	Napoleonpancake	385
77	QuiCreans	384
78	I_Am_Mushkin	383
79	Merv__	376
80	himak1	374
81	500am	373
82	Blackberry1310	370
83	Skylord_Luke	368
84	Warlord324	342
85	Deathkob	334
86	Inchef	333
87	audiocracked	328
88	kekhon	324
89	crashomon	320
90	ROY4LE	309
91	oreee	300
92	Ze_BaronKrigler	283
93	ElectricDragon81	257
94	_Huge_Male_	246
95	emrekn	243
95	oscminus	243
97	claivin	242
98	ImpavidArcher	220
99	Onennon	219
100	Blammm	215
101	Snowflowe	211
102	Segotep999	200
103	King_Pancake1	183
104	Archsam	180
105	Frozil20	174
106	Elastiq	170
107	Arceus1975	163
108	Fullut	156
109	Incinere	154
110	EdGalbraith	153
111	ooga47	150
112	rarrq	149
113	Jackster03	148
114	fluddd	147
115	Leyna3	146
115	Njensen7	146
117	Hoid_the_Roamer	133
118	MakeHistory157	132
119	epiksk8erduck	127
120	Olib3ar	121
120	stellarjay	121
122	yheece	118
123	Motsaro	115
124	hermmm_	110
125	pintsizedrogue	102
126	starbits140	100
127	KingMatthew506	96
128	_Mythic____	95
129	AJplaysMC_	88
130	M_Patata	85
130	MasterNueve	85
132	TheDankPlatypus	83
133	TeenMomTom	81
134	Jackattack53	74
134	FreakGenius	74
136	Tyrannosplart	72
137	Huwulling	65
137	SingedBread	65
139	HellsSponge	63
139	PortlyPete69	63
141	diamondgolem35	60
141	AssFullaCum	60
143	SkateboardR6	58
144	Swexti	56
145	xzvu	55
146	PlzNoBM	52
146	Enderxz3	52
148	Secret_Canary	50
148	EveryonesUncle	50
150	ibarker21	48
151	CoffeeNoir	42
152	seramalen	40
153	chipklip	38
153	AspenLightVT	38
155	SyK7	36
155	Xalithia	36
157	WyngGoy	33
157	sp00ky_ghost977	33
159	LexMakesHistory	32
160	lorpus	31
161	r123moore	30
161	Winston_Ingram	30
163	Elprone266	29
164	Rich_Kat	28
164	olliebollie48	28
166	Inbefour	27
167	Jackywho	25
167	TheKingK_	25
169	NatalieTW	24
170	EMC_	23
170	PlasticOtari	23
172	Hiryu27	22
173	CollinMH06	21
174	m_be9	19
175	PazinGaming	17
175	ShedJr_	17
175	MattieHD	17
178	RebytreGT	16
178	El_Jalapeno	16
180	BobDeBouwer1337	15
180	DAD_1996	15
180	Truckoss	15
183	Krowuss	12
183	RedcatVII	12
185	Ezekson	11
185	TechnoNinja64	11
185	annebolyn	11
188	RoskobiOne	10
188	heckface	10
188	Kamflame	10
188	Luminad3	10
188	luseis	10
188	miramyu	10
194	CLG_Kata	8
194	jimintyy	8
194	Alteriity	8
194	JayToe	8
198	NotMeanttoChange	7
199	Smashic	6
199	Shogunite	6
199	Sral7	6
199	diggydog67	6
203	Sabby65	5
203	lunkuku	5
203	Spenduh	5
206	Groovy_MoonBird	4
206	seanitoo	4
206	PhantomsGhost_	4
206	catandmoose	4
206	SteveCraftBlocks	4
206	The11thDoctor	4
206	masskedman	4
206	Jiminbub	4
206	Benzito07	4
206	The_SlideV5	4
216	The_Thund	3
216	SmashingPump	3
216	_Razaria	3
216	Kynigito	3
216	ese_wn_po	3
216	blackeemperor	3
216	Legendosh	3
223	ECstardust	2
223	Tommhh	2
223	lotarp	2
223	Masssonnn	2
223	mwrty	2
223	gcaisawesome	2
223	SuperPooch06	2
223	tobinwilliams	2
223	Maenara	2
223	IamCL4SSY	2
223	Nicky19	2
223	fw3xy74	2
223	NomadicRobin_	2
223	carpet4_69	2
223	QuesoCrusaderIII	2
223	Toriankel	2
223	CornOnTheCobalt	2
223	Optiprimus	2
223	FelixPSY375	2
242	MuffinManzz	1
242	elicobnoah	1
242	natasha_blush	1
242	xXTheWolfmanXx	1
242	NinjaKnifeKill	1
242	YairZaki	1
242	stevewithclout	1
242	Crowman1	1
242	Crizma_	1
242	a24680	1
242	Covalents	1
242	0nly_sn1per	1
242	CaptainSteve345	1
242	BeastyBoi954911	1
242	Armattillo	1
242	Boipl	1
242	Afinnity	1
242	HyperCave	1
242	BRRRN179	1
242	HolyVenom	1
242	Cordicus	1
242	PartyPhoenix	1
242	OtherAnimus	1
242	C0oOK13M0N5T3R	1
242	Xclax101	1
242	OG_Songsee	1
242	Kura2218	1
242	stavgod	1
242	_i_ERROR_i_	1
242	jcool7	1
242	ZoomieZoomie	1
242	laron58	1
242	Skippeh	1
242	Zoeyfortnite	1
