rank	username	minecraft:used/minecraft:horse_spawn_egg
1	Shogunite	16
2	TheShyPig	12
2	Skippeh	12
4	MattieHD	7
5	DAD_1996	6
6	Legendosh	4
7	pintsizedrogue	2
8	Fuhrer_Teemo	1
