rank	username	minecraft:used/minecraft:crimson_nylium
1	YungMaki	23783
2	gustarbite	1983
3	joethahobo	745
4	thewindmillman	727
5	noam464	422
6	mwrty	377
7	CoffeeNoir	367
8	HellsSponge	334
9	TheSecondLord	331
10	Blackberry1310	252
11	beeperbeeper5	178
12	Enderslayerxz3	168
13	Billious	165
14	Werbe	158
14	AssEatrAndLicker	158
16	Freak_Genius	133
17	ShedJr_	112
18	crying_wolf_13	91
19	pintsizedrogue	85
20	RebelAndroid	83
21	Winklepicker279	76
22	12Magner05	74
23	_NieToksikpl_	73
24	BobDeBouwer1337	69
25	CliffEmAll	67
26	Kakolbus	66
26	SammiWolfGirl	66
28	Smoke____	59
29	Snowflowe	58
30	TheEnderman548	55
31	MSK__	51
32	Deathkob	49
33	djancak	47
34	Kubeusz2010	44
35	Ezekson	40
36	Lord_Jord	38
37	lizardfightclub	35
38	Inchef	34
39	Fullut	31
40	Arceus1975	30
41	gcaisawesome	27
42	lordpipe	26
43	jacxhadow	25
44	anbbang	24
45	CruncyIsTaken	23
46	Historical_Sand	22
46	Chromary	22
46	brofrickcheaters	22
49	kekhon	21
49	oxfordschool	21
51	Hermanni__	17
52	eitanzaki	14
52	rarrq	14
52	Blaiku	14
55	Cowison	13
56	NomadicRobin_	12
57	_Virify_	11
57	livingdaydreams	11
59	titanlax	10
59	OtariCharlie	10
59	jnp_gaming	10
62	teslawolf38	9
62	Akoot_	9
64	hm947	8
64	NoChumpChange	8
66	EMC_	7
66	Kowcio_	7
66	2blox	7
69	Lil_Breadboy	6
69	MyNameIsDakar	6
71	Hpdinosaur	5
71	Spacewardharpy7	5
73	whoaluv	4
73	MightyWertu	4
73	Hisiste	4
73	Dusk_95	4
73	Eraxa	4
73	pixelviolin	4
73	Erased_Identity	4
80	Myszoaz	3
80	500am	3
80	pappaberg	3
80	ogoa	3
80	EveryonesUncle	3
80	Soplight	3
80	CalebDHawk	3
80	EcksDofficial	3
88	Yatitay	2
88	bloodbiter	2
88	eclipseboi	2
88	set67	2
88	tartanboy	2
88	Legendosh	2
94	Swexti	1
94	4383	1
94	M_Patata	1
94	Hyp3rion_	1
94	Zythose	1
94	BronkerBrum	1
94	Skylord_Luke	1
94	TheShyPig	1
94	KnightmareD	1
94	Quaintster	1
94	WyngGoy	1
94	MakeHistory157	1
94	IvarEXE	1
94	diggydog67	1
