rank	username	minecraft:used/minecraft:cobbled_deepslate
1	non089	36819
2	k_ce	31782
3	ChronoSounds	27751
4	Galactic_Badger	14701
5	Mattesco	13854
6	Yamdalorian	13803
7	PazinGaming	11793
8	Kowcio_	11715
9	thewindmillman	8261
10	fade_emerge78823	7260
11	Manaateee	6401
12	TheDankPlatypus	5885
13	corvidpartyfor6	5477
14	MuffinManzz	5097
15	Mr_Byzantine	4544
16	tuckerdoodle	3869
17	doublemaki	3776
18	11Brewer	3647
19	12Magner05	3620
20	shineh10	3436
21	MAns_44	3409
22	Rebytre	3395
23	Jackattack53	3306
24	beeperbeeper5	3167
25	Alteriity	3055
26	Buuck_	2995
27	hydrothebot	2921
28	pintsizedrogue	2901
29	xPixelRainx	2809
30	prizm_	2691
31	kalzor	2656
32	zToasty69z	2632
33	500am	2469
34	00000000-0000-0000-0009-01ff0c3e5e4f	2388
35	ECstardust	2369
36	Weepingbiel	2290
37	royal_2	2245
38	LuvLuvLove	2149
39	PlasticOtari	2116
40	NATE_the_HALO	2104
41	U_Mos_	2074
42	Enderxz3	2055
43	Nicserso	2002
44	_Huge_Male_	1998
45	TheSecondLord	1900
46	milltesco	1796
47	Silvo614	1718
48	luseis	1695
49	AstreaTSS	1645
50	gamerlord1324	1635
51	powercas_gamer	1574
52	TJawesome09	1561
53	ItsDeltaMC	1530
54	EMC_	1499
55	Touched_Bread	1466
55	cuddlyMonster	1466
57	Krowuss	1430
58	Rani_R	1416
59	Huwulling	1410
60	mihimihimihi	1402
61	Moofyman	1388
62	AlexxO_o	1371
63	groofles	1264
64	TheKingK_	1242
65	Sleepy_Time_	1220
65	Hetti301	1220
67	MC_Gamer_Geek	1214
68	Elastiq	1192
69	BPTY4618	1162
70	TheALV	1149
71	craaaash	1132
72	Hyp3rion_	1114
73	SpacesickPrism	1097
74	Spenduh	1080
75	Apollo_993	1066
76	CattSoup	1059
77	ee_echo_oo	1054
78	hanaryheatwave	1043
79	Winklepicker279	1036
80	LagVibes	1021
81	TheWickedBird	1014
82	HUNTERmaun	1011
83	QuiCreans	1007
84	AltnumberF4	990
85	philandr	984
86	SvenskaHugo	971
87	DairyNickel756	919
88	Wowful	906
89	rarrq	893
90	FormulaNewt3627	890
91	Samificator	879
92	Prismyst	871
93	theonlymagikarp	854
94	PaperCanvas	852
95	EveryonesUncle	849
96	Iamthejo	837
97	MrKrabOnCoke	836
98	NLKBuilder	779
99	CalvinCandie17	771
100	ZaneABrain	736
100	FadedSpade82	736
102	_witch_craft_	733
103	Shortest_	715
104	skroobiez	702
105	icim	693
106	PigDab	689
107	Cache3	688
108	OreTheBear	651
109	MinttyFressh	649
110	fw3xy	647
111	Moss_2006	639
112	Crowman1	635
113	Jimb0nat0r	614
114	Tersea_	608
115	Fuad_R	591
116	Njensen7	590
117	StarCookiees_	583
118	mymayowasgone	573
119	dartwaffle	572
120	Hahaa_0	558
121	Lord_Doob	548
122	bobbydoodledot	537
123	StinkyDiplomat	533
124	Mr_Froxy	526
125	crying_wolf_13	515
126	Sleepy_Evelyn	493
127	Smashic	491
128	kyouma777	477
129	Morgf	461
129	Olib3ar	461
131	shrimp_flips	453
132	Pumpkin_P_Patch	450
133	Merv__	448
134	Lez_	422
135	Paguz01	421
136	Jekyll	407
136	IdeallyGrey	407
138	MC_Skribble	398
138	WYFYoyo	398
140	Dynamic_wolf_1	393
141	alanbleachdemon	390
142	Niklas20114552	380
142	ZoomieZoomie	380
144	GooseWithin	377
145	LordZacler	375
145	Lord_Zacler	375
147	TheWildMateo	360
148	teslawolf38	358
149	Lazy_geniusig	355
150	hermmm_	345
151	Mahoose	335
152	Soplight	326
153	fffMike	325
154	Archsam	322
155	Frigzy_	321
155	Valoth	321
157	albus0x	317
158	SBean737	316
159	PhantomBionic	312
160	Kronos42	306
160	MisfitsMike	306
162	RebelAndroid	304
163	Reneedium	299
163	LugusMcGrugus	299
163	LeEricc	299
166	Penguinllama517	294
167	Gzrdy	292
168	JitteryJared2	289
168	Segotep999	289
170	TheBananaKat	285
171	noam464	283
172	SnowyAvi	281
172	Admiral_Fizzy	281
174	DracZz	279
175	Legendosh	271
176	MoonWatcher19	270
177	Lorcout	268
177	Pearlescents	268
179	gabukun_	266
180	Moham	262
181	ScootOfBoot	258
181	Invintic	258
183	DarkS0L	257
184	RoskobiOne	256
185	gcaisawesome	249
186	Sorry_Arey07	246
187	RoBe__	245
188	Mookle96	232
189	bl1ss0	231
189	2blox_	231
191	That_tech_head	230
192	BeardBois	229
193	goldyx	228
194	ActualPatbaf	225
195	_flud	221
196	JuuustYeet	220
197	Groovy_MoonBird	216
198	lorywithay	215
199	Lo_zio_Diego	214
199	zOnlyKroks	214
201	calamariclam_I	213
202	coobert42	212
203	olliebollie48	210
203	infiniteQuery	210
203	SpicyDuckMan	210
206	Kakolbus	206
206	EtherealSilveon	206
208	H0UNDFRMH3LL	204
209	Koalander	199
210	The_Fulgurator	198
211	nopekk	191
211	excelsionprime	191
211	thebaddruid	191
214	Btabtab	188
215	MattieHD	186
216	KGTV	184
217	Raspberry_Sodas	182
217	Heisenbberrg	182
219	MogusBussy69	181
220	Kubelz	180
221	Jimi7hits	174
221	MrShojo	174
223	robonya_	171
224	_i_ERROR_i_	168
225	benediktine1	167
226	EmrotoL	164
227	TAKrules	162
228	Hisidae	159
229	wwwwinnebagoooo	158
230	kidel03	155
230	SingedBread	155
232	weabis	147
233	Bonzwoeri	145
234	ccwildfire1	143
235	AppleJacks	142
236	hm947	140
236	_Duckery	140
238	LeauVox4921	139
239	Sandiotchi	138
239	_Nat666	138
241	ItsDed	136
241	mobunni	136
243	ATurtle4936	135
244	Yahir091	134
245	QuesoCrusaderIII	132
245	Khoaducquan1234	132
247	DJzombiehunter	129
248	Kekoo	127
249	lpinfinity	126
250	nattybears	122
250	Spankathor	122
252	CloroxBleach385	121
253	I_Moose	119
254	Cavetorch	118
254	Toriankel	118
256	77Holly7	117
257	NieToksikpl	116
258	Secret_Canary	114
258	Aakvaa	114
260	Jonafrog99	112
260	Finside	112
262	Creativebuilder2	111
263	Synthoum	110
264	xKool	109
265	Nach0Bear	108
265	AuroraSkies	108
265	WigglyMustard	108
268	orxngejuice	107
268	Methalox1	107
270	GustavoMatheus	105
271	Vol_Rod33	104
272	RatatJuice	103
272	Vicemaniac	103
272	Vetomo8000	103
275	Eraxa	100
