rank	username	minecraft:used/minecraft:deepslate_brick_stairs
1	iHuntWeeaboos	4828
2	Skylord_Luke	1985
3	ZoomieZoomie	1321
4	CuzIm2Kev	1030
5	RoskobiOne	1000
6	beeperbeeper5	869
7	thewindmillman	739
8	Jiminie	614
9	pintsizedrogue	424
10	shrimp_flips	410
11	mihimihimihi	352
12	Mattesco	331
13	CattSoup	322
14	YungMaki	246
15	jessewegottacook	241
16	ImpavidArcher	204
17	EngagedGrub41	198
18	Fuad_R	167
19	PlasticOtari	164
20	TheSecondLord	158
21	breadbowlgamer	150
22	Ezekson	145
23	Touched_Bread	138
24	91stCataclysm	133
25	Winklepicker279	131
26	Megarboh	107
27	SquadMonster	96
28	Methalox1	88
29	Lez_	71
30	PazinGaming	61
31	benediktine1	60
31	sp00ky_ghost977	60
33	KGTV	54
33	Marbz_	54
35	Jimi7hits	51
36	rarrq	50
37	00000000-0000-0000-0009-01ff0c3e5e4f	47
38	Huwulling	44
39	lordpipe	41
39	SvenskaHugo	41
41	tsitrawhy	34
42	LeauVox4921	26
43	HoltGrim	22
44	UCP_TheKingK	20
45	MAns_44	19
46	CoffeeNoir	18
47	lizardfightclub	17
48	Solar_Power	15
48	StinkyDiplomat	15
50	Lord_Doob	14
51	groofles	13
51	Wowful	13
53	pixelviolin	12
54	Jeteight	7
54	Enderslayerxz3	7
56	Blackberry1310	6
56	Hyp3rion_	6
56	Lord_Jord	6
59	Smashic	5
59	microcrisp	5
61	500am	4
62	Ryker	3
62	binman420	3
62	CalebDHawk	3
65	DinoDoctor_	1
65	MogusBussy69	1
65	12Magner05	1
65	kekhon	1
65	Spacewardharpy7	1
