rank	username	minecraft:used/minecraft:purple_concrete
1	thewindmillman	6281
2	Spacewardharpy7	5270
3	YungMaki	3738
4	lordpipe	3029
5	MakeHistory157	2372
6	TheSecondLord	747
7	beeperbeeper5	676
8	Shogunite	638
9	jnp_gaming	599
10	Ezekson	481
11	ROY4LE	475
12	Pumpkin_P_Patch	356
13	TechnoNinja64	290
14	PigDab	260
15	Kowcio_	214
16	6king6colt6	211
17	TheShyPig	165
18	mobunni	155
19	set67	154
20	ConnorDanky_	149
21	EMC_	137
22	Notta	124
23	CornOnTheCobalt	111
24	joethahobo	95
25	PortlyPete69	78
26	Fullut	67
27	_Huge_Male_	66
28	Nicserso	65
29	AssFullaCum	59
30	HellsSponge	37
31	Soap_Bender	36
32	Lez_	34
33	TheKingK_	30
34	SvenskaHugo	27
35	burbankbuilder28	25
35	Manaateee	25
37	mihimihimihi	20
38	Frozil20	18
39	Dakar_	16
40	lunkuku	13
41	starbits140	12
42	Yamdalorian	11
43	luseis	9
43	LexMakesHistory	9
45	Incinere	8
45	Cyntrical	8
45	Blaiku	8
45	Legendosh	8
49	ColeSnyder	7
49	EcksD	7
51	Arceus1975	6
51	oscminus	6
51	claivin	6
54	Napoleonpancake	5
54	Nateman1000	5
56	500am	4
57	Mahoose	3
57	MattieHD	3
57	WyngGoy	3
60	rarrq	2
60	gcaisawesome	2
60	sp00ky_ghost977	2
60	annebolyn	2
60	skitzxo	2
65	pintsizedrogue	1
65	T045RTY	1
65	Septemb3r	1
65	noam464	1
65	Di_infiri	1
65	Jackattack53	1
65	Hyp3rion_	1
65	Werbe	1
65	Mattesco	1
65	Tyrannosplart	1
65	Blu3beast	1
65	Eraxa	1
65	xzvu	1
65	Enderxz3	1
65	Jimb0nat0r	1
