rank	username	minecraft:used/minecraft:green_stained_glass
1	beeperbeeper5	12054
2	Hyp3rion_	3138
3	Snowflowe	1653
4	Lez_	1442
5	Werbe	1386
6	Spacewardharpy7	1280
7	lorywithay	1100
8	2blox_	816
9	El_Jalapeno	772
10	noam464	648
11	NameGenerat0r	562
12	TechnoNinja64	506
13	Quotary	469
14	Mattesco	460
15	ImpavidArcher	442
16	Mr_Byzantine	363
17	TheShyPig	338
18	pintsizedrogue	329
19	oreee	304
20	Steelynan	285
21	Kowcio_	279
22	mwrty	216
23	lordpipe	185
24	luseis	139
25	SolicitedPuma101	135
26	Kakolbus	134
27	EMC_	124
28	Jackattack53	117
29	skitzxo	113
30	Freedrik	97
31	Manaateee	96
32	EcksD	87
33	MattieHD	86
34	eitanzaki	84
34	_Nuf	84
36	blackeemperor	72
37	heckface	69
38	PazinGaming	65
38	IamCL4SSY	65
40	ROY4LE	60
41	Wooptey	57
42	Groundler	49
43	fragrantmonke444	48
44	BadenStayFly	45
45	fluddd	40
46	Enderxz3	37
47	Inbefour	36
48	Blackberry1310	35
48	_Dean_123	35
50	SammiWolfGirl	34
51	Comma__	33
51	Sral7	33
53	GooseWithin	31
53	Jimb0nat0r	31
55	xxPipperDipperxx	28
56	EveryonesUncle	25
56	TheWickedBird	25
58	TheSecondLord	23
59	hanaryheatwave	22
59	halfbakedlasagna	22
59	Druid95	22
62	WET_WET_WET	21
63	rarrq	19
63	Maenara	19
65	joethahobo	18
65	Touched_Bread	18
67	kekhon	15
67	okCrypto	15
67	thewindmillman	15
67	ApophisNova	15
67	MyNamaSheff	15
72	Merv__	14
73	Huwulling	13
74	Fullut	12
74	pretty_pink_reno	12
76	Kubeusz2010	10
76	Yamdalorian	10
78	MAns_44	8
79	AuroraValkyrie	7
80	Incinere	6
80	Shogunite	6
80	miramyu	6
83	CLG_Kata	5
83	Mahoose	5
83	Prismyst	5
83	Saucepeh	5
83	HellsSponge	5
83	Barlycorn	5
89	Hpdinosaur	4
89	Onennon	4
89	Soplight	4
92	MoistMicrowave	3
92	titanlax	3
92	Di_infiri	3
92	stavgod	3
92	yatsuta	3
92	xzvu	3
92	Ezekson	3
92	Legendosh	3
92	jnp_gaming	3
101	Groovy_MoonBird	2
101	RoskobiOne	2
101	MSK__	2
101	Eraxa	2
101	Kyrum2169	2
101	KingMatthew506	2
107	k_ce	1
107	6king6colt6	1
107	SaucyDark	1
107	ShedJr_	1
107	Historical_Sand	1
107	Pofen	1
107	jacxhadow	1
107	Secret_Canary	1
107	MyNameIsJobo	1
107	Arceus1975	1
107	RobotMinion101	1
107	Akoot_	1
107	emreknugrlu	1
107	Nicserso	1
