rank	username	minecraft:used/minecraft:shears
1	thewindmillman	81865
2	beeperbeeper5	40124
3	Hyp3rion_	38076
4	pintsizedrogue	29741
5	CoffeeNoir	29696
6	Jackattack53	25687
7	EveryonesUncle	20212
8	Di_infiri	20113
9	Smoke____	19499
10	Legendosh	19433
11	500am	19251
12	PigDab	17044
13	Jiminie	16541
14	eitanzaki	15704
15	lordpipe	15096
16	mwrty	14934
17	Merv__	14656
18	joethahobo	14502
19	cedric72	14323
20	XxCookiequeenxX	12383
21	rarrq	11758
22	corvidpartyfor6	10702
23	Skippeh	10605
24	Snowflowe	10423
25	WET_WET_WET	10079
26	Blackberry1310	10011
27	binman420	9211
28	Spacewardharpy7	9197
29	Mahoose	8972
30	Zythose	8968
31	Steelynan	8869
32	Werbe	8795
33	TheShyPig	8443
34	Freak_Genius	8295
35	_Dean_123	8192
36	Eraxa	7994
37	kekhon	7813
38	m_be9	7795
39	Ezekson	7523
40	claivin	7422
41	oxfordschool	6620
42	vandmanden	6567
43	Enderslayerxz3	6549
44	ROY4LE	6099
45	YungMaki	6094
46	titanlax	5838
47	TheSecondLord	5610
48	TechnoNinja64	5423
49	Fullut	5377
50	EcksDofficial	5301
51	noam464	5271
52	HellsSponge	5140
53	El_Jalapeno	4917
54	SpacesickPrism	4907
55	Frozil20	4845
56	Soplight	4770
57	ApophisNova	4756
57	MyNamaSheff	4756
59	Onennon	4527
60	EcksD	4508
61	Cowison	4468
62	burbankbuilder28	4439
63	mihimihimihi	4358
64	wezzzi	4287
65	Skylord_Luke	4244
66	Kakolbus	4235
67	Miko_Fullbuster	4157
68	Marbz_	4129
69	Awyrlas	4070
70	ToastedGamingYT	4063
71	EMC_	3916
72	Kouridragon	3899
73	xxPipperDipperxx	3607
74	Mistruth	3573
75	Cryptacity	3538
76	MyNameIsJobo	3456
77	Kubelz	3443
78	TheThomas69	3328
79	Factoroni	3323
80	2blox	3291
81	kyouma777	3284
82	fred870d	3273
83	gcaisawesome	3272
84	KarlKaek	3190
85	Sral7	3097
86	hcb238	2937
87	Arceus1975	2921
88	kinas45y5	2871
89	Ssor69	2867
90	Xclax101	2809
91	TheBiggestFeller	2781
92	wwwwinnebagoooo	2729
93	Groovy_MoonBird	2720
94	audiocracked	2624
95	ImpavidArcher	2623
96	PlasticOtari	2596
97	lcvezra	2560
98	SammiWolfGirl	2549
99	master9067	2540
100	NameGenerat0r	2533
101	Gamergirl420628	2502
102	LeauVox4921	2494
103	Inchef	2474
103	PeteO1995	2474
105	Rumpletaezer	2471
106	Kowcio_	2429
107	ssleepless	2379
108	TheDankPlatypus	2268
109	r123moore	2267
110	Hermanni__	2259
111	_Bguette_	2224
112	Dogcorn69420	2212
113	The_slideV3	2200
114	soundad	2169
115	fffMike	2147
116	Akoot_	2138
117	Darkgon	2135
118	Blu3beast	2116
119	CollinMH06	2016
120	ShedJr_	1979
121	Smashic	1970
122	BronkerBrum	1934
123	layabout100	1914
124	Blaiku	1900
125	Deguns123	1891
126	Maenara	1875
127	IWorkAtIkea	1866
128	Tommhh	1862
129	Lez_	1861
130	SuperPooch06	1854
131	CarltheCuck	1836
132	Groundler	1823
133	stahouo	1774
134	Meatlaugh	1759
135	Nycteus_	1704
136	fkGrim	1703
137	SvenskaHugo	1679
138	chipklip	1667
139	__tomato	1655
140	PortlyPete69	1651
141	Quaintster	1628
142	ogoa	1611
143	peachfuzz1267	1579
144	ese_wn_po	1550
145	heckface	1543
146	DemTechAlpha	1537
147	cog	1532
148	123louis456	1522
149	Optiprimus	1494
150	CSG_Haru	1477
151	Scathra	1450
151	PegLegPete93	1450
153	Segotep999	1444
154	Fuhrer_Teemo	1423
155	set67	1409
156	Racengan	1391
157	Negriuke	1387
158	Wooptey	1379
159	Nicserso	1373
160	Winklepicker279	1319
161	StinkyDiplomat	1314
162	MattieHD	1308
163	Crowman1	1278
164	T045RTY	1267
165	anbbang	1266
166	calamariclam_I	1262
167	PlzNoBM	1259
168	platinumzero	1257
169	Luigipunch989	1255
170	pixelviolin	1243
171	RebelAndroid	1228
172	Xalithia	1220
173	Hoid_the_Roamer	1209
174	UCP_TheKingK	1199
175	Deathkob	1196
176	PuFY	1190
177	Dusk_95	1187
178	itburb	1181
179	thescout7	1177
180	Notta	1170
181	00000000-0000-0000-0009-01ff0c3e5e4f	1164
182	The11thDoctor	1134
183	iHuntWeeaboos	1121
184	toj__	1119
185	Inbefour	1107
186	Bandito_Roamer	1098
187	RodSerlingCringe	1090
188	valkam13	1087
189	Chromary	1085
190	Jonte0599	1068
191	PhantomsGhost_	1059
192	lillips	999
193	ZoomieZoomie	994
194	RoskobiOne	993
195	Rebytre	982
196	Soap_Bender	980
197	2Stout	971
198	KeruNatsema	969
198	Sheldor097	969
200	KingMatthew506	966
201	Killercatty78	962
202	Lord_Jord	937
203	RatatJuice	917
204	sp00ky_ghost977	916
205	diamondgolem35	898
206	iSammael	895
207	GLLogan2	892
208	KnightmareD	886
209	YoshikageBites	868
210	Deerfoot	866
211	H72l9w	858
212	_stets	853
213	I_Am_Mushkin	852
214	featherflyy	845
215	M_Patata	838
215	MasterNueve	838
217	nitram49b	837
218	Historical_Sand	825
219	TheSeismicDuck	814
220	MelodyGaysharks	809
221	epiksk8erduck	804
222	AustinAuranymph	800
223	NebulousBadger	798
224	JoCoLi	790
225	_Karmaa	787
226	jnp_gaming	744
227	stavgod	742
228	SaltineDream	730
229	Bumpy419	729
230	SoftSix	716
231	MineMaster0012	703
232	wobn	701
233	FroggoTheDoggo	700
234	Mr_Byzantine	687
235	seanitoo	685
236	_Boipl_	680
237	crying_wolf_13	674
237	djancak	674
239	__hinterland__	672
240	Jeteight	669
241	SyK7	666
242	Oxygen16	659
243	CaptainDeadBread	658
244	VentiHilton	650
245	seramalen	648
246	GoofyBread	643
247	ayqq	636
248	UrbanPlanner1978	634
249	UncleDanDan	633
250	Malorn_Aetherius	609
251	Hiryu27	599
252	CruncyIsTaken	590
253	Mattesco	571
254	himak1	569
255	tsitrawhy	568
256	SaucyDark	565
257	Barlycorn	556
257	Yahrto	556
259	bloodbiter	554
259	intropass	554
261	Auseawesome	553
262	Cocoamallows	548
263	TheMilkerOfCats	539
264	Matyyy15	523
265	AlexxO_o	521
266	Touched_Bread	520
267	Swexti	517
268	impossibleteapot	515
269	Myszoaz	513
270	_TCARREIRA_	508
271	Russiancat1	507
272	07shiny	506
273	awesomeoneme	503
274	DarlaMeow	502
275	obzii	491
276	Spenduh	487
276	MissCeleste7	487
278	Kamflame10	484
278	__Fanda__	484
280	KlausVonStiglitz	482
281	CalebDHawk	481
282	AlphaWolfPlaysMC	477
282	SSytex_X	477
284	DarkFisto	476
284	ElderRifken	476
284	MightyWertu	476
287	Drewen24	472
288	Fildyr	471
289	CookTheChef3	467
290	Natty	464
291	MangoTheFish	463
291	Eczbek	463
293	ewpunk	462
294	bigstankyy	461
295	beeleg	460
296	SlayerCrypto	455
297	rpmm	454
297	groofles	454
299	rotten_mango	452
300	LeGold	451
