rank	username	minecraft:used/minecraft:heavy_weighted_pressure_plate
1	YungMaki	10029
2	joethahobo	1971
3	Rumpletaezer	917
4	Huwulling	354
5	Crowman1	182
6	TheSecondLord	155
7	Lez_	140
8	mihimihimihi	132
9	Alteriity	111
10	thescout7	71
11	pintsizedrogue	69
12	Groundler	57
13	Jackattack53	53
14	Manaateee	43
15	Onennon	35
16	ConnorDanky_	34
17	Hyp3rion_	32
18	Mahoose	31
18	beeperbeeper5	31
20	Werbe	30
21	AdmiralSmoke	28
22	Arceus1975	27
22	TheShyPig	27
24	DanTheBuilderino	26
25	Steelynan	24
26	PlasticOtari	22
27	Spacewardharpy7	21
28	500am	20
28	fluddd	20
28	Factoroni	20
31	RobotMinion101	19
32	hm947	18
32	kekhon	18
32	Winklepicker279	18
32	lillips	18
36	BlankityMcBlank	17
37	Kakolbus	14
37	Jaka_Saurus_715	14
37	EcksD	14
37	Biites	14
41	Mr_Sun15	13
41	EveryonesUncle	13
41	AssFullaCum	13
44	Bandito_Roamer	12
44	eitanzaki	12
44	Akoot_	12
44	ogoa	12
44	KingMatthew506	12
44	AltnumberF4	12
50	ThePoliteG	11
50	noam464	11
50	wezzzi	11
50	__tomato	11
54	jspwn	10
54	Fullut	10
54	Hoid_the_Roamer	10
54	pixelviolin	10
58	Mr_Byzantine	9
59	ImpavidArcher	8
59	Mattesco	8
59	Inbefour	8
59	WyngGoy	8
63	Prismyst	7
63	Cryptacity	7
63	redikul	7
63	TheSeismicDuck	7
63	Racengan	7
63	Kura2218	7
63	Jimb0nat0r	7
70	T045RTY	6
70	AlazelTheReal	6
70	Comma__	6
70	bloodbiter	6
70	12Magner05	6
70	DermeinUser	6
70	MyNameIsJobo	6
70	thewindmillman	6
70	F_Uhre	6
70	censorsheep	6
70	Sral7	6
81	PazinGaming	5
81	jimintyy	5
81	eviltunix	5
81	ROY4LE	5
81	fkGrim	5
81	luseis	5
81	RedcatVII	5
81	Blaiku	5
81	Kyrum2169	5
81	Soplight	5
81	obzii	5
81	FelixPSY375	5
81	00000000-0000-0000-0009-01ff0c3e5e4f	5
94	KingFaenor	4
94	Ssor69	4
94	Sparky_KT	4
94	MattieHD	4
94	PegLegPete93	4
94	M_Patata	4
94	ApophisNova	4
94	PigDab	4
94	Shogunite	4
94	FreakGenius	4
94	Fildyr	4
94	wwwwinnebagoooo	4
94	MasterNueve	4
94	ReyTheLegend	4
94	PlzNoBM	4
94	ProbsNotNova	4
94	Nargotah	4
94	Hermanni__	4
94	MyNamaSheff	4
94	Enderxz3	4
114	CLG_Kata	3
114	EkkoTraveler	3
114	ssleepless	3
114	Rox_The_Box	3
114	NanoShot	3
114	Vizzoid	3
114	Frxnkz	3
114	TheThomas69	3
114	r123moore	3
114	Noah_Bez	3
114	CaptainSteve345	3
114	Chromary	3
114	Nyxiom_	3
114	selectrix	3
114	PaperCanvas	3
114	NYJ	3
114	balin55	3
114	Quaintster	3
114	Blu3beast	3
114	Barlycorn	3
114	Ir0npack	3
114	_AAZAR	3
114	JayToe	3
137	RoskobiOne	2
137	Sleek_Storm_721	2
137	HollieDaNugget	2
137	301851	2
137	Historical_Sand	2
137	FirsTimeGamingTV	2
137	Blackberry1310	2
137	Megarboh	2
137	_Nuf	2
137	slkiey	2
137	Nach0Bear	2
137	emrekn	2
137	Inchef	2
137	Xalithia	2
137	Covalents	2
137	Paintz	2
137	Purplehere	2
137	yheece	2
137	SuperPooch06	2
137	AJplaysMC_	2
137	domagawha	2
137	aec9	2
137	Rasmanden	2
137	Jimi7hits	2
137	Leyna3	2
137	Syropatathe	2
137	Captain_Nasty	2
137	Tyrannosplart	2
137	FlashMigma	2
137	MustaLoordi	2
137	lordpipe	2
137	Optiprimus	2
137	Shin69	2
137	SvenskaHugo	2
137	lcvezra	2
137	mawileite	2
137	EngagedGrub41	2
137	Ezekson	2
137	MrMeisterProper	2
137	TechnoNinja64	2
137	skrongus	2
137	trexgb	2
137	diggydog67	2
180	Froste131	1
180	Napoleonpancake	1
180	Merv__	1
180	teslawolf38	1
180	DepressedCubic	1
180	Iagoku	1
180	Hyugo	1
180	lazioglug	1
180	H72l9w	1
180	featherflyy	1
180	Nicky_H225	1
180	boog4loo	1
180	Smashic	1
180	AngalexikCZ	1
180	Kamflame10	1
180	himak1	1
180	Irko	1
180	SellyZ	1
180	xxPipperDipperxx	1
180	theonlymagikarp	1
180	eiC_	1
180	benediktine1	1
180	Zaridey	1
180	Marbz_	1
180	fr_ser	1
180	Charmyboi	1
180	The_Fulgurator	1
180	oscminus	1
180	epiksk8erduck	1
180	cedric72	1
180	GooseWithin	1
180	TheTrueClipse	1
180	Lord_Jord	1
180	_Crimson_Legate	1
180	rotten_mango	1
180	JESS_THE_RERE	1
180	Quincannon	1
180	DASH_X7	1
180	claivin	1
180	weabis	1
180	MAns_44	1
180	ReflexCode	1
180	SwooshBoi	1
180	Typadopoulos	1
180	Warlord324	1
180	Airem_Core	1
180	geekbird	1
180	sp00ky_ghost977	1
180	legoclone09	1
180	Eraxa	1
180	Kowcio_	1
180	Segotep999	1
180	_i_ERROR_i_	1
180	jcool7	1
180	ZoomieZoomie	1
180	Skippeh	1
180	CattSoup	1
180	Nicserso	1
180	Yahrto	1
180	h2p_emrld	1
