rank	username	minecraft:used/minecraft:big_dripleaf
1	12Magner05	1336
2	thewindmillman	452
3	Smoke____	203
4	pintsizedrogue	145
5	Ryker	60
6	Mahoose	55
6	beeperbeeper5	55
8	Enderslayerxz3	44
9	Steelynan	39
10	lillips	36
11	_Boipl_	26
11	pixelviolin	26
13	eitanzaki	24
13	TheSecondLord	24
15	SvenskaHugo	22
16	CoffeeNoir	12
17	Spacewardharpy7	9
17	lordpipe	9
19	AuroraSkies	8
20	cwartzo	7
21	Smashic	6
21	Legendosh	6
23	Human_Resource	5
23	YungMaki	5
25	Ezekson	4
26	Inchef	3
26	Jackattack53	3
26	Segotep999	3
29	Merv__	2
29	Mattesco	2
29	GlitchyPlate810	2
29	PlasticOtari	2
33	RoskobiOne	1
33	Blackberry1310	1
33	DarlaMeow	1
33	Toriankel	1
33	UCP_TheKingK	1
33	CrazyPotater	1
33	_Dri_	1
