rank	username	minecraft:used/minecraft:brick_slab
1	Steelynan	11282
2	Di_infiri	6357
3	Merv__	5578
4	xolstoi	3439
5	NameGenerat0r	1898
6	Mr_Byzantine	1799
7	Saucepeh	1424
8	Mahoose	1230
9	MadmanRaven	1203
10	Soplight	1101
11	Dakar_	1055
12	Shogunite	999
13	PlasticOtari	996
14	k_ce	891
15	kekhon	856
16	TheShyPig	821
17	Frozil20	797
18	ImpavidArcher	722
19	MinttyFressh	719
20	Spacewardharpy7	702
21	Manaateee	619
22	_stets	600
23	ReyTheLegend	554
24	KarlKaek	535
25	__tomato	531
26	beeperbeeper5	467
27	Kowcio_	463
28	SaucyDark	458
29	luseis	430
30	RebelAndroid	428
31	Crizma_	426
32	burbankbuilder28	422
33	thewindmillman	376
34	Enderxz3	374
35	_3Stump_	354
36	YungMaki	347
37	_Bguette_	337
38	Fullut	317
39	peach0s	308
40	epiksk8erduck	294
41	Onennon	276
42	Eraxa	252
43	Nicserso	243
44	SexcMf	236
45	NotMeanttoChange	200
46	MineMaster0012	188
47	tuckerdoodle	182
48	oscminus	178
49	El_Jalapeno	177
50	Jackattack53	163
51	Diavri	159
51	Shin69	159
53	Felenov	158
54	erkada	157
55	EveryonesUncle	150
56	AgressiveEggdog	145
56	Kakolbus	145
56	NNikitas	145
59	PigDab	135
60	xzvu	129
61	AdmiralSmoke	116
62	SkateboardR6	98
63	Groovy_MoonBird	92
63	rarrq	92
65	500am	89
66	Hpdinosaur	86
67	StarCookiees_	85
68	John6970	83
68	NomadicRobin_	83
70	SingedBread	73
71	Nekomin0	72
72	Deathkob	70
73	420BreadLizard	67
74	2Stout	65
75	wobn	62
76	ShedJr_	57
77	wickedword	49
77	ConnorDanky_	49
79	FGamerJ	47
80	Eraza	43
81	Doom_melon	42
82	Lez_	40
83	cheerytomato	37
84	Inchef	33
85	Quotary	32
86	Akoot_	30
87	Barlycorn	29
88	intropass	28
89	fkGrim	26
90	Mattesco	25
91	Jiminbub	24
92	UCP_TheKingK	23
93	Pineapplesugr	21
93	FreakGenius	21
95	Raltemoxitonica	19
95	Historical_Sand	19
95	BilboBaggins23	19
98	Ezekson	14
99	NieToksikpl	11
100	joethahobo	10
100	titanlax	10
100	ABUSNA1996	10
100	SteveCraftBlocks	10
100	TechnoNinja64	10
105	SpaceGrenadier	9
106	_Huge_Male_	8
106	Antek_Kicek	8
106	ougstur	8
106	groofles	8
110	eitanzaki	7
110	TheSecondLord	7
110	Groundler	7
113	TheDiamondCG	6
113	theonlymagikarp	6
113	Wowful	6
113	Njensen7	6
117	EMC_	5
117	Dblikstad	5
117	roxycherry	5
117	noam464	5
117	SpacesickPrism	5
122	PazinGaming	4
122	Sleek_Storm_721	4
122	Blackberry1310	4
122	12Magner05	4
122	R1CHY2K	4
122	ogoa	4
122	DemTechAlpha	4
122	Steve897	4
122	Jordan_R	4
131	pintsizedrogue	3
131	SlowMoNinja1994	3
131	Incinere	3
131	melono_o	3
131	xxPipperDipperxx	3
131	Werbe	3
131	MangoSalad316	3
131	lordpipe	3
131	Deguns123	3
140	Ryan_GEMS	2
140	TheThomas69	2
140	Inbefour	2
140	MAns_44	2
140	cytotoxaint	2
140	Hermanni__	2
146	DAD_1996	1
146	RobotMinion101	1
146	thgrocks	1
146	Tyrannosplart	1
146	HellsSponge	1
146	_Mythic____	1
146	EcksD	1
146	00000000-0000-0000-0009-01f16526f034	1
