rank	username	minecraft:used/minecraft:oxidized_cut_copper_slab
1	pintsizedrogue	628
2	Apollo_993	423
3	Mattesco	195
4	Mr_Byzantine	191
5	Marbz_	189
6	Kowcio_	112
7	luseis	76
8	ImpavidArcher	25
9	skroobiez	23
10	SpacesickPrism	22
11	Manaateee	21
12	Hyp3rion_	16
12	EcksD	16
14	weabis	12
15	thewindmillman	10
16	EMC_	8
16	pixelviolin	8
18	PlasticOtari	7
19	_Huge_Male_	5
20	TheSecondLord	3
21	12Magner05	2
21	Jackattack53	2
21	Fuad_R	2
21	Jimb0nat0r	2
25	NameGenerat0r	1
25	tsitrawhy	1
25	ZoomieZoomie	1
