rank	username	minecraft:used/minecraft:light_blue_carpet
1	Rumpletaezer	1945
2	heckface	1344
3	Smoke____	1130
4	joethahobo	900
5	Akoot_	807
6	HellsSponge	791
7	RebelAndroid	549
8	Ezekson	496
9	TheSecondLord	461
10	YungMaki	346
11	r123moore	308
12	beeperbeeper5	302
12	SoftSix	302
14	12Magner05	229
15	ayamefag	226
16	Inbefour	203
17	mwrty	197
18	noam464	178
19	Swexti	173
20	eitanzaki	169
21	oxfordschool	124
22	kekhon	118
23	Mahoose	116
24	EcksD	108
25	Blackberry1310	107
26	Lord_Jord	105
27	TheShyPig	89
28	500am	73
28	xxPipperDipperxx	73
30	Kowcio_	62
31	pintsizedrogue	59
32	Spacewardharpy7	57
33	Di_infiri	54
34	Groovy_MoonBird	43
35	Merv__	39
36	lcvezra	35
37	Negriuke	31
38	2blox	30
39	Blaiku	27
40	Fullut	26
40	TechnoNinja64	26
42	pappaberg	23
42	OtariCharlie	23
42	LilLizardWizard	23
45	_Dean_123	20
45	stahouo	20
47	slkiey	17
48	Eraxa	16
48	Legendosh	16
50	Reamdin	15
50	nocturne78	15
50	Sral7	15
53	Myszoaz	14
53	InfernalMound	14
53	FishyBoy3811	14
53	Frozil12	14
57	MattieHD	12
57	NomadicRobin_	12
57	fluddd	12
60	burbankbuilder28	10
61	ShedJr_	9
62	titanlax	8
63	ImpavidArcher	7
63	hm947	7
63	thewindmillman	7
63	Hiryu27	7
63	lordpipe	7
63	erkada	7
63	Dr0xzy	7
70	audiocracked	6
71	Sleek_Storm_721	5
71	rarrq	5
73	0nly_sn1per	4
73	PeteO1995	4
73	djancak	4
73	SSytex_X	4
77	SaucyDark	3
77	T045RTY	3
77	WarHammer3	3
77	Voxin2K	3
77	LeeMcGee30	3
82	numbra	2
82	Kokeech	2
82	Racengan	2
82	KG1999	2
82	EcksDofficial	2
87	Drlzyy	1
87	hzs91	1
87	Historical_Sand	1
87	eclipseboi	1
87	Awyrlas	1
87	Jackattack53	1
87	Werbe	1
87	PigDab	1
87	HolyVenom	1
87	AssEatrAndLicker	1
87	monky_irl	1
87	_Yonk_	1
87	Kubeusz2010	1
87	MelodyGaysharks	1
