rank	username	minecraft:used/minecraft:oxidized_cut_copper_stairs
1	pintsizedrogue	337
2	Mattesco	186
3	Marbz_	144
4	Apollo_993	93
5	Juansinmiedo18	92
6	luseis	83
7	_Huge_Male_	38
8	EMC_	34
9	PlasticOtari	29
10	weabis	25
11	beeperbeeper5	20
12	Kowcio_	19
13	MattieHD	18
14	Mr_Byzantine	14
15	Enderxz3	13
16	Manaateee	12
16	Steelynan	12
18	skitzxo	10
19	skroobiez	9
20	ImpavidArcher	7
21	pixelviolin	6
22	TheSecondLord	5
23	Jimb0nat0r	4
24	SuperPooch06	1
24	JETrotter	1
24	PaperCanvas	1
24	fluddd	1
24	TheWickedBird	1
