rank	username	minecraft:used/minecraft:black_shulker_box
270	CattSoup	2
270	AltnumberF4	2
292	PazinGaming	1
292	diamondgolem35	1
292	Creativebuilder2	1
292	ExtraDumb	1
292	Flores991	1
292	faulkyou_	1
292	Euclidoris	1
292	Jakobo1337	1
292	eclipseboi	1
