rank	username	minecraft:used/minecraft:light_blue_shulker_box
1	Hyp3rion_	2733
2	pintsizedrogue	1438
3	stahouo	1027
4	PlasticOtari	993
5	noam464	881
6	YungMaki	846
7	Ezekson	518
8	beeperbeeper5	509
9	Blaiku	483
10	12Magner05	425
11	RadarHz	362
12	Enderslayerxz3	320
13	HellsSponge	280
14	MightyWertu	267
14	Groundler	267
16	Xalithia	264
17	jnp_gaming	256
18	NameGenerat0r	245
19	r123moore	237
20	Eraxa	231
21	Sral7	219
22	Smoke____	206
23	Deathkob	193
24	Akoot_	188
25	thewindmillman	183
26	Chromary	177
27	Megarboh	176
28	TheSecondLord	175
29	500am	173
30	Fullut	172
31	FishyBoy3811	166
32	censorsheep	156
33	mwrty	155
34	Xclax101	151
35	rarrq	142
36	lcvezra	141
37	Spacewardharpy7	134
38	SingedBread	129
38	KG1999	129
40	MattieHD	128
41	sp00ky_ghost977	126
42	MOSS000	125
42	TheSeismicDuck	125
44	lordpipe	124
45	djancak	123
46	oxfordschool	119
47	Drlzyy	118
48	RebelAndroid	117
49	Mahoose	116
49	fluddd	116
51	Myszoaz	115
52	lillips	113
53	Bumpy419	110
54	Snowflowe	109
55	xxPipperDipperxx	108
56	eitanzaki	96
57	TheTrueClipse	93
58	TheShyPig	92
59	Miko_Fullbuster	90
60	m_be9	89
60	_TCARREIRA_	89
62	Jiminie	88
63	kekhon	87
64	Hisiste	83
65	Zythose	79
66	pixelviolin	75
67	shyshyannne	74
67	Di_infiri	74
69	Spenduh	72
70	chipklip	71
71	KartivGal	69
72	SpaceGrenadier	67
72	jushykins	67
74	titanlax	65
74	groofles	65
74	Optiprimus	65
77	emrekn	60
78	El_Jalapeno	59
79	masskedman	56
80	6king6colt6	52
80	diamondgolem35	52
82	_Virify_	51
82	burbankbuilder28	51
84	Steelynan	49
85	ImpavidArcher	48
85	Arceus1975	48
87	Jackattack53	47
88	PhantomsGhost_	45
88	WyngGoy	45
90	Marbz_	43
90	PortlyPete69	43
90	jcool7	43
93	audiocracked	42
94	Awyrlas	39
95	Dreamdbr14	38
96	Zaridey	37
96	Karbl	37
96	EcksD	37
99	CoffeeNoir	34
100	fffMike	33
101	Werbe	31
101	Kouridragon	31
103	MinttyFressh	30
104	ProfessorBee	29
104	BungalowBeet	29
106	Maenara	28
107	Inchef	27
107	cedric72	27
107	SexcMf	27
110	ssleepless	26
111	Quincannon	25
111	little_dUki	25
113	AuroraValkyrie	24
113	eviltunix	24
115	_Bguette_	23
115	stellarjay	23
117	__tomato	22
118	Hiryu27	19
119	RoskobiOne	17
119	joethahobo	17
119	PigDab	17
119	Th6masss	17
123	Soplight	16
124	Yatitay	15
124	oreee	15
124	alderban107	15
124	BreadBacon	15
128	Sky_light_KING	14
129	CollinMH06	13
129	TheEnderman548	13
131	CyrusIsTired	12
131	set67	12
131	Skylord_Luke	12
131	Razzgriz	12
135	Bandito_Roamer	11
135	NotKaden_	11
137	fade_emerge78823	10
137	King_Pancake1	10
137	Donutt	10
137	Shogunite	10
137	Blu3beast	10
142	nataliecool	9
142	SuperPooch06	9
142	_Karmaa	9
142	Testificate_517	9
142	diggydog67	9
147	Groovy_MoonBird	8
147	Blackberry1310	8
147	Afinnity	8
147	QueenShuvi	8
147	Kowcio_	8
152	H72l9w	7
152	egglapras	7
152	KGTV	7
152	Dan_Scha	7
152	Frozil12	7
152	07shiny	7
158	bigstankyy	6
158	TAKrules	6
158	peach0s	6
158	LitoDelvito	6
158	HolyVenom	6
158	Dogcorn69420	6
164	Merv__	5
164	awesomeoneme	5
164	Ecplosive	5
164	wezzzi	5
164	EveryonesUncle	5
169	MixerDixer	4
169	dabloons	4
169	teslawolf38	4
169	ExtraDumb	4
169	Alfred603	4
169	Rumpletaezer	4
169	Deodorante	4
169	LexMakesHistory	4
169	Freak_Genius	4
169	FelixPSY375	4
179	_NieToksikpl_	3
179	SoftSix	3
179	TheDiamondCG	3
179	DAD_1996	3
179	fred870d	3
179	MovingFish7	3
179	Nicserso	3
179	kinas45y5	3
179	EcksDofficial	3
188	Houstonion	2
188	Octatrack	2
188	MSK__	2
188	Historical_Sand	2
188	thescout7	2
188	moderncraft	2
188	loveseeker	2
188	SlayerCrypto	2
188	Hoid_the_Roamer	2
188	Lord_Jord	2
188	OG_Songsee	2
188	Jij0	2
188	obzii	2
188	TechnoNinja64	2
188	Dank_Substance	2
188	Kateesaur	2
204	AgressiveEggdog	1
204	EMC_	1
204	KarlKaek	1
204	Wolf_Mauler_73	1
204	SaucyDark	1
204	jimintyy	1
204	Huwulling	1
204	Malorn_Aetherius	1
204	eclipseboi	1
204	_Dean_123	1
204	Jaseisverycool	1
204	zylanzagreat	1
204	drompje	1
204	BronkerBrum	1
204	Loraxonlyfans	1
204	OtariCharlie	1
204	Gab4101	1
204	CrumplyBanjo_	1
204	NomadicRobin_	1
204	AgentMeatCandy	1
204	MakeHistory157	1
204	Segotep999	1
204	Professor_x8	1
204	Sheldor097	1
204	Njensen7	1
204	_3Stump_	1
204	ZoomieZoomie	1
204	The_SlideV5	1
204	h2p_emrld	1
