rank	username	minecraft:used/minecraft:orange_stained_glass
1	joethahobo	11805
2	beeperbeeper5	8888
3	Smoke____	5773
4	Spacewardharpy7	4330
5	_Virify_	1547
6	Winklepicker279	1088
7	SkateboardR6	622
8	AltnumberF4	609
9	lordpipe	356
10	EcksD	338
11	PigDab	313
12	sebastiensaborio	280
13	walll	269
14	pintsizedrogue	228
15	Hoid_the_Roamer	216
16	The_slideV3	207
17	TheSecondLord	139
18	TechnoNinja64	111
19	pixelviolin	96
20	theonlymagikarp	77
21	VentiHilton	76
22	r123moore	68
23	DarlaMeow	65
24	ROY4LE	64
24	tobinwilliams	64
26	Groundler	57
27	titanlax	47
28	DAD_1996	44
29	Bumpy419	40
29	Inbefour	40
29	oxfordschool	40
32	The_SlideV5	36
33	Comma__	35
34	Notta	33
35	xXTheWolfmanXx	32
36	xxPipperDipperxx	28
37	Jamstroxian	27
37	KingMatthew506	27
39	mwrty	22
40	Inchef	21
40	Xalithia	21
42	Wooptey	16
43	AuroraValkyrie	15
44	Mahoose	14
44	m_be9	14
46	Onennon	11
47	RebelAndroid	10
47	jnp_gaming	10
49	Werbe	9
49	TheShyPig	9
49	AssEatrAndLicker	9
52	Groovy_MoonBird	8
52	PlasticPrinter	8
54	Arteriana	7
55	Maenara	6
55	HellsSponge	6
55	Soplight	6
55	Quotary	6
59	Merv__	5
59	BobDeBouwer1337	5
61	Blackberry1310	4
61	RodSerlingCringe	4
63	noam464	3
63	SuperPooch06	3
63	Arceus1975	3
63	Akoot_	3
63	wezzzi	3
63	Kowcio_	3
63	lcvezra	3
70	gabriels543	2
70	thewindmillman	2
70	Wowful	2
73	Cowison	1
73	eitanzaki	1
73	_Dean_123	1
73	Snowflowe	1
73	RobotMinion101	1
73	Kynigito	1
73	Blu3beast	1
73	fluddd	1
73	Spenduh	1
73	Dogcorn69420	1
73	fffMike	1
73	Nicserso	1
73	Enderslayerxz3	1
