rank	username	minecraft:used/minecraft:pointed_dripstone
1	noam464	9279
2	EcksD	4434
3	Krowuss	3163
4	AlexxO_o	2460
5	Huwulling	1156
6	lillips	1060
7	beeperbeeper5	1038
8	AdmiralSmoke	453
9	Fuad_R	405
10	PlasticOtari	358
11	Hyp3rion_	315
12	mihimihimihi	182
13	calamariclam_I	134
14	non089	103
15	Manaateee	102
16	Lez_	99
17	pintsizedrogue	84
18	Enderxz3	80
19	Nicserso	71
20	Mahoose	61
21	SaphLaseer	56
22	prizm_	49
23	jessewegottacook	48
24	00000000-0000-0000-0009-01ff0c3e5e4f	42
25	Kakolbus	40
25	Mattesco	40
27	StinkyDiplomat	38
27	Steelynan	38
29	SlayerCrypto	34
30	Ezekson	32
31	Alteriity	30
32	TheSecondLord	29
33	Kubelz	26
33	Luminad3	26
35	Segotep999	25
36	thewindmillman	24
37	diamondgolem35	23
38	500am	21
38	bearlystraight	21
38	groofles	21
41	Papudron	19
42	Enigma0251	17
42	LeonelSalamanca	17
44	EveryonesUncle	16
44	athereall	16
46	SammiWolfGirl	15
46	Sheldor097	15
48	Mr_Byzantine	14
48	Jackattack53	14
50	pixelviolin	13
51	DinoDoctor_	12
51	Silvo614	12
53	_Huge_Male_	11
54	_stets	10
54	Merv__	10
54	TheEnderMan548	10
57	JitteryJared2	9
58	xfemboyx	7
58	RatatJuice	7
58	joethahobo	7
58	hanaryheatwave	7
58	MineMaster0012	7
63	The_Fulgurator	6
63	Akoot_	6
63	lordpipe	6
63	LeEricc	6
63	Jimb0nat0r	6
68	RebelAndroid	5
68	PhantomBionic	5
68	pascalbex	5
68	luseis	5
68	Vicemaniac	5
68	YungMaki	5
74	excelsionprime	4
74	Rebytre	4
74	ApophisNova	4
74	MyNamaSheff	4
78	SmashingPump	3
78	EMC_	3
78	Chickenchaser2	3
78	crying_wolf_13	3
78	Inchef	3
78	Winklepicker279	3
78	SuperPooch06	3
78	thebaddruid	3
86	shineh10	2
86	12Magner05	2
86	breadbowlgamer	2
86	Snowflowe	2
86	Solar_Power	2
86	Skylord_Luke	2
86	SingedBread	2
86	OffWithTheirHead	2
86	Spenduh	2
86	00000000-0000-0000-0009-01fc3bb26159	2
96	ECstardust	1
96	Frozil20	1
96	Ryker	1
96	SquadMonster	1
96	corvidpartyfor6	1
96	KGTV	1
96	xxPipperDipperxx	1
96	XboxPanda	1
96	shadowthemonkey	1
96	Deathkob	1
96	Kowcio_	1
96	pablopickle	1
96	UCP_TheKingK	1
96	Skippeh	1
96	Legendosh	1
