rank	username	minecraft:used/minecraft:jungle_leaves
1	Marbz_	8131
2	Hyp3rion_	4402
3	lordpipe	2995
4	Steelynan	2643
5	Kubelz	2322
6	Blackberry1310	1929
7	Jackattack53	1668
8	Merv__	1620
9	Xclax101	1265
10	_Dean_123	1247
11	HellsSponge	967
12	beeperbeeper5	925
13	Soplight	911
14	Xalithia	871
15	PlasticOtari	841
16	MyNameIsJobo	833
17	Mahoose	808
18	hanaryheatwave	765
19	Fullut	683
20	FreakGenius	653
21	Onennon	637
22	TheShyPig	572
23	BronkerBrum	557
24	TheSecondLord	527
25	lillips	493
26	Lez_	460
27	H72l9w	454
28	Frozil20	436
29	ROY4LE	418
30	Cryptacity	414
31	Winklepicker279	335
32	Spacewardharpy7	292
33	ShedJr_	291
34	ImpavidArcher	274
35	500am	232
35	Kowcio_	232
37	Jonte0599	227
38	CollinMH06	212
39	Di_infiri	210
40	KarlKaek	209
41	Smoke____	192
42	ese_wn_po	164
43	IWorkAtIkea	154
44	Skylord_Luke	149
45	luseis	146
46	MineMaster0012	143
47	Incinere	142
48	Arceus1975	139
49	Lekol	137
50	Meatlaugh	132
51	epiksk8erduck	124
52	PegLegPete93	120
53	PigDab	112
54	_Bguette_	108
55	mwrty	100
56	titanlax	95
56	noam464	95
58	The_slideV3	94
59	Bandito_Roamer	88
60	DemTechAlpha	86
61	MixerDixer	79
62	fluddd	78
62	ConnorDanky_	78
64	PeteO1995	69
65	I_Am_Mushkin	64
66	TechnoNinja64	59
67	MelodyGaysharks	58
68	rarrq	57
69	breadbowlgamer	55
69	Deathkob	55
71	YungMaki	51
72	Shogunite	50
73	EveryonesUncle	48
74	__tomato	45
74	KingMatthew506	45
76	pintsizedrogue	44
77	himak1	43
78	Werbe	40
79	Historical_Sand	36
79	Swexti	36
79	kekhon	36
82	HesDemonPants	35
83	JMK208	34
83	bladeefan2009	34
85	Rumpletaezer	31
86	EcksD	30
87	LexMakesHistory	28
87	DarlaMeow	28
89	SaintJosie	22
90	Aangezet	20
91	KlausVonStiglitz	19
92	RoofTyler	18
93	2Stout	17
93	Mattesco	17
93	mihimihimihi	17
96	El_Jalapeno	15
97	RefluxRatio	14
97	Blaiku	14
99	Cocoamallows	13
100	Scathra	11
100	Zythose	11
102	Prodiginus	10
102	set67	10
104	Kyrum2169	8
104	_TCARREIRA_	8
104	Ezekson	8
107	Deerfoot	7
108	burbankbuilder28	6
108	MakeHistory157	6
110	eitanzaki	5
110	Hoid_the_Roamer	5
110	Blu3beast	5
113	SaucyDark	4
113	legal_tax_evader	4
113	Leyna3	4
116	pr33tu	3
116	Bumpy419	3
116	WyngGoy	3
119	Mr_Byzantine	2
119	Ailmast	2
119	Awyrlas	2
119	Snowflowe	2
119	Rebytre	2
119	claivin	2
119	Nycteus_	2
119	SvenskaHugo	2
119	Dogcorn69420	2
119	Skippeh	2
119	Enderxz3	2
119	Sral7	2
131	PhantomsGhost_	1
131	_stets	1
131	T045RTY	1
131	SteveCraftBlocks	1
131	thewindmillman	1
131	d4mndaniel2	1
131	cedric72	1
131	JESS_THE_RERE	1
131	MAns_44	1
131	Factoroni	1
131	RealGroot	1
131	SpacesickPrism	1
131	jnp_gaming	1
131	Jimb0nat0r	1
