rank	username	minecraft:used/minecraft:dead_brain_coral_fan
1	noam464	17
2	eitanzaki	10
2	Spacewardharpy7	10
4	thewindmillman	7
4	PigDab	7
6	KG1999	5
7	joethahobo	4
8	Freak_Genius	3
9	Di_infiri	2
9	HellsSponge	2
9	WyngGoy	2
9	FishisTTV	2
13	Mahoose	1
13	Factoroni	1
