rank	username	minecraft:used/minecraft:bamboo_slab
1	lpinfinity	3354
2	_Duckery	1850
3	_witch_craft_	1709
4	Cache3	1334
5	Mr_Byzantine	1204
6	Yamdalorian	746
7	akap47	560
8	k_ce	405
9	Fullbit_	315
10	Mr_Sun15	277
11	Napoleonpancake	178
12	SpacesickPrism	166
13	kalzor	165
14	Buuck_	164
15	Merv__	147
16	KamFurnace	118
17	Mattesco	110
18	Werbe	106
19	LuvLuvLove	100
20	Bambuino	94
21	Hoid_the_Roamer	75
22	Synthoum	72
23	Dark_Crusader21	63
24	PazinGaming	34
25	pintsizedrogue	33
26	Steelynan	24
27	Kowcio_	6
28	Mr_Froxy	4
29	Lez_	2
30	TheSecondLord	1
30	craaaash	1
