rank	username	minecraft:used/minecraft:magenta_concrete
1	lordpipe	6646
2	Spacewardharpy7	6042
3	Ezekson	2968
4	YungMaki	2761
5	beeperbeeper5	1635
6	ROY4LE	1243
7	PigDab	870
8	MakeHistory157	807
9	LordSpeed37	282
10	xzvu	251
11	Shogunite	197
12	thewindmillman	176
13	CornOnTheCobalt	159
14	sp00ky_ghost977	143
15	TheSecondLord	118
16	Zedducius	106
17	_Boipl_	71
18	Arceus1975	63
19	jnp_gaming	53
20	pr33tu	49
21	WyngGoy	33
22	xxPipperDipperxx	30
23	Merv__	18
23	Soplight	18
25	HellsSponge	17
26	T045RTY	16
27	joethahobo	15
27	Swexti	15
29	Smoke____	13
30	ColeSnyder	8
31	Blaiku	5
32	Incinere	4
32	Mahoose	4
32	500am	4
32	noam464	4
32	NameGenerat0r	4
37	ShedJr_	3
37	mwrty	3
37	VentiHilton	3
40	Groovy_MoonBird	2
40	rarrq	2
40	MilleGrug	2
40	Legendosh	2
44	Hpdinosaur	1
44	gcaisawesome	1
44	mariominejedi	1
44	FishyBoy3811	1
44	binman420	1
44	RealGroot	1
44	jcool7	1
44	EcksD	1
44	RoboTramp7865	1
44	Nicserso	1
