rank	username	minecraft:used/minecraft:activator_rail
1	noam464	2140
2	Di_infiri	1023
3	eitanzaki	528
4	Spacewardharpy7	443
5	vandmanden	370
6	El_Jalapeno	286
7	PigDab	164
8	pintsizedrogue	162
9	ProfessorBee	129
10	Hyp3rion_	90
11	thewindmillman	89
12	gcaisawesome	81
13	beeperbeeper5	69
14	pixelviolin	64
15	EcksD	57
16	Historical_Sand	54
17	BumbleBeever	49
18	Werbe	48
19	Groundler	46
20	kekhon	37
21	NotMeanttoChange	36
22	SteveCraftBlocks	34
23	Blaiku	30
24	12Magner05	25
25	jnp_gaming	24
26	EMC_	20
26	Rumpletaezer	20
26	Sky_light_KING	20
29	HellsSponge	19
29	Nicserso	19
31	Smoke____	18
32	Mahoose	16
33	ivorico	15
34	Fuad_R	12
35	ImpavidArcher	11
35	JESS_THE_RERE	11
35	MightyWertu	11
38	bloodbiter	9
38	K_a__a_n	9
38	MeetTheWollo	9
41	Lord_Jord	8
41	WyngGoy	8
41	non089	8
44	Freak_Genius	7
45	RoskobiOne	6
45	ShedJr_	6
45	eviltunix	6
45	Soplight	6
49	_Virify_	5
49	Jackattack53	5
49	TheSeismicDuck	5
49	lillips	5
49	censorsheep	5
54	T045RTY	4
54	MattieHD	4
54	SullivanNephew	4
54	ClemenPine	4
54	MinuteMira	4
54	LexMakesHistory	4
54	The_slideV3	4
54	claivin	4
54	anbbang	4
54	TechnoNinja64	4
64	Jovaphobic	3
64	awesomeoneme	3
64	Blu3beast	3
64	Spenduh	3
64	mawileite	3
64	The_SlideV5	3
64	FishisTTV	3
71	Bandito_Roamer	2
71	soundad	2
71	thescout7	2
71	PegLegPete93	2
71	Inchef	2
71	SharpDev	2
71	M_Patata	2
71	Snowflowe	2
71	Inbefour	2
71	MAns_44	2
71	stavgod	2
71	RadarHz	2
83	Merv__	1
83	MinttyFressh	1
83	MyNameIsJobo	1
83	CaptainAvenger7	1
83	Leyna3	1
83	AuroraSkies	1
83	sufjanlover	1
83	chipklip	1
83	Quincannon	1
83	Hisiste	1
83	YungMaki	1
83	Kijiki	1
83	UCP_TheKingK	1
83	ProbsNotNova	1
