rank	username	minecraft:used/minecraft:raw_iron_block
1	joethahobo	988
2	thewindmillman	634
3	_i_ERROR_i_	412
4	Enderxz3	317
5	PlasticOtari	272
6	Mattesco	197
7	diamondgolem35	45
7	Kowcio_	45
7	Jimb0nat0r	45
10	jessewegottacook	30
11	Kakolbus	10
12	lordpipe	8
13	q_wq	5
13	AlexxO_o	5
15	Mahoose	4
16	pintsizedrogue	3
17	chipklip	2
17	EMC_	2
17	Arceus1975	2
17	pixelviolin	2
21	Krasnal1337	1
21	Secret_Canary	1
21	LeauVox4921	1
21	shadowthemonkey	1
21	groofles	1
21	TJawesome09	1
21	GooseWithin	1
21	ItsDeltaMC	1
21	Segotep999	1
21	tsitrawhy	1
21	AdmiralSmoke	1
