rank	username	minecraft:used/minecraft:glow_berries
1	Hyp3rion_	1186
2	Lez_	842
3	_Dean_123	775
4	pintsizedrogue	743
5	wwwwinnebagoooo	645
6	Yamdalorian	582
7	luseis	576
8	Merv__	564
9	Spaghettatron	522
10	DJzombiehunter	487
11	Alteriity	470
12	Enderxz3	354
13	beeperbeeper5	312
14	Steelynan	308
15	Pumpkin_P_Patch	300
16	thewindmillman	280
17	xxPipperDipperxx	274
18	skroobiez	252
19	Buuck_	238
20	Jimb0nat0r	222
21	SvenskaHugo	218
22	lorywithay	189
23	PlasticOtari	184
24	AlexxO_o	163
25	Legendosh	148
26	Sorry_Arey07	144
27	TheSecondLord	141
28	Marbz_	130
29	SammiWolfGirl	129
30	EMC_	123
31	PigDab	122
32	Rebytre	119
33	Kowcio_	118
34	U_Mos_	117
35	ECstardust	115
35	Manaateee	115
37	Soplight	109
38	AuroraSkies	106
39	Jackattack53	101
40	blackeemperor	91
41	Silvo614	90
42	Inchef	89
43	500am	84
44	eitanzaki	82
45	dartwaffle	81
46	_Huge_Male_	80
47	_i_ERROR_i_	77
48	CattSoup	75
49	craaaash	74
49	Krowuss	74
51	pixelviolin	72
52	SpacesickPrism	66
53	TheWickedBird	61
54	Ryker	59
54	cutelilreno	59
56	Ezekson	56
57	doublemaki	54
58	ApophisNova	50
58	PaperCanvas	50
58	MyNamaSheff	50
61	GooseWithin	47
61	WYFYoyo	47
63	BPTY4618	46
64	Blackberry1310	45
65	podduszenie	43
66	DinoDoctor_	42
66	Reneedium	42
68	Mahoose	41
68	Felenov	41
68	NomadicRobin_	41
71	Caribouse	38
72	_stets	36
72	Auseawesome	36
72	EnigmaTheYeen	36
72	Kakolbus	36
72	Dakar_	36
72	ItsDeltaMC	36
78	k_ce	35
78	thebaddruid	35
78	00000000-0000-0000-0009-01ff0c3e5e4f	35
81	Akoot_	32
82	Tommhh	31
82	Deathkob	31
84	RadarHz	28
85	robonya_	26
86	XxCookiequeenxX	25
86	mihimihimihi	25
86	Khoaducquan1234	25
86	Kekoo	25
90	Segotep999	23
91	Mr_Sun15	22
91	zToasty69z	22
93	MinttyFressh	21
93	Umprella	21
93	ThatMan_Dave	21
96	FadedSpade82	20
96	EtherealEspresso	20
98	Killercatty78	19
98	Werbe	19
100	QuiCreans	18
100	Wilzax	18
100	2blox_	18
103	diamondgolem35	17
