rank	username	minecraft:used/minecraft:jungle_sapling
1	Spacewardharpy7	16356
2	Hyp3rion_	14894
3	Yamdalorian	9156
4	thewindmillman	7290
5	Blackberry1310	1413
6	Di_infiri	511
7	eitanzaki	506
8	titanlax	352
9	EMC_	337
10	Historical_Sand	278
11	Steelynan	272
12	PigDab	268
13	noam464	258
14	Marbz_	223
15	beeperbeeper5	207
16	Snowflowe	187
17	HellsSponge	186
18	Mr_Byzantine	182
19	Xalithia	181
20	PeteO1995	159
21	Bandito_Roamer	158
22	HesDemonPants	145
23	Tersea_	139
24	TechnoNinja64	136
25	luseis	130
26	DemTechAlpha	128
27	El_Jalapeno	122
28	Prodiginus	110
29	eiC_	108
30	MyNameIsJobo	102
31	cedric72	93
32	TheShyPig	87
33	eviltunix	80
33	KingMatthew506	80
35	EveryonesUncle	78
36	Lez_	73
37	Manaateee	71
38	tuckerdoodle	70
39	Groundler	68
40	Blaiku	66
41	Pumpkin_P_Patch	65
42	Soplight	63
43	pixelviolin	61
44	EngagedGrub41	56
45	himak1	53
46	FreakGenius	52
46	MilleGrug	52
48	kekhon	51
49	Thaumatarge	50
50	yheece	49
51	SpacesickPrism	47
52	Comma__	46
52	Kamflame	46
52	Lord_Jord	46
55	ImpavidArcher	45
56	Windo_licker	41
57	QuiCreans	39
58	RoskobiOne	38
59	_Virify_	37
60	Toiton	36
61	Hoid_the_Roamer	35
62	BronkerBrum	34
63	SaucyDark	33
63	DAD_1996	33
65	Apollo_993	32
65	12Magner05	32
67	Groovy_MoonBird	31
68	Merv__	30
69	Enderxz3	29
70	hanaryheatwave	28
71	Drawgirl	27
72	excelsionprime	26
72	Airem_Core	26
74	Frozil20	25
74	Onennon	25
76	Caribouse	24
76	PegLegPete93	24
78	ConnorDanky_	23
79	jessemgaming	21
79	Swexti	21
79	royal_2	21
79	ROY4LE	21
79	Bumpy419	21
79	Akoot_	21
85	lordpipe	20
86	hollowww	19
86	TAKrules	19
88	Fullbit_	18
88	Arceus1975	18
88	PlasticOtari	18
91	Xclax101	17
91	07shiny	17
93	Saucepeh	16
93	Cryptacity	16
93	Barlycorn	16
93	sp00ky_ghost977	16
93	Kowcio_	16
93	doublemaki	16
93	LeeMcGee30	16
100	pintsizedrogue	15
100	Dblikstad	15
100	CacheOut	15
103	_witch_craft_	14
103	Shogunite	14
105	_Mythic____	13
105	MisfitsMike	13
105	Nicserso	13
108	Gregward_Smith	12
108	Stiar	12
108	Sophia_Irene	12
108	ooga47	12
108	Deerfoot	12
108	taengoos	12
114	robertsnose	11
114	Fullut	11
114	ApophisNova	11
114	MAns_44	11
114	MyNamaSheff	11
119	Bambuino	10
119	SvenskaHugo	10
119	jnp_gaming	10
122	Malware_Mara	9
122	JESS_THE_RERE	9
124	joethahobo	8
124	nocturne78	8
124	TheSecondLord	8
124	Studio4x32	8
124	SirPiccardo	8
124	ThePurpleFire	8
124	Moofyman	8
124	AlphaWolfPlaysMC	8
124	Deathkob	8
124	calamariclam_I	8
124	TheWickedBird	8
135	T045RTY	7
135	Tongon	7
135	Legendosh	7
138	Kubelz	6
138	Mattesco	6
138	Fuad_R	6
138	StinkyDiplomat	6
142	_Nuf	5
142	knarian	5
142	thescout7	5
142	Bazongoman	5
142	Felenov	5
142	SolarKar	5
142	PaperCanvas	5
142	LilLizardWizard	5
142	Dabatha	5
142	natajimi	5
142	fkGrim	5
142	Blu3beast	5
142	Optiprimus	5
142	SammiWolfGirl	5
142	Ezekson	5
157	Harotio	4
157	dudcreeper	4
157	AuroraValkyrie	4
157	EKUG	4
157	Niklas20114552	4
157	Azorathum	4
157	KingFaenor	4
157	powercas_gamer	4
157	Lukeee33	4
157	livingdaydreams	4
157	MattieHD	4
157	M_Patata	4
157	Winklepicker279	4
157	CollinMH06	4
157	legal_tax_evader	4
157	Gzrdy	4
157	Mr_Sun15	4
157	Mr_Froxy	4
157	KeruNatsema	4
157	CarryLine	4
157	Kim_Jong_eel	4
157	WhyTho_1	4
157	MasterNueve	4
157	Moss_2006	4
157	ItsJunoIGuess	4
157	OfficerAnvil	4
157	coobert42	4
184	_Huge_Male_	3
184	Killercatty78	3
184	Cats_Fly	3
184	skroobiez	3
184	mwrty	3
184	Touched_Bread	3
184	Lutres_	3
184	LordSpeed37	3
184	MustardSquid	3
193	Incinere	2
193	IWorkAtIkea	2
193	Sleepy_Time_	2
193	jacxhadow	2
193	falcon244	2
193	TylerDupree	2
193	0nly_sn1per	2
193	SuperPooch06	2
193	Russiancat1	2
193	_Karmaa	2
193	splatterhawk	2
193	Druid95	2
193	Colmer94	2
193	TheKingK_	2
193	miramyu	2
193	FormulaNewt3627	2
193	IronicUwU1	2
210	horrayhorray123	1
210	Hpdinosaur	1
210	Ryker	1
210	Alteriity	1
210	Rani_R	1
210	Ssor69	1
210	FirsTimeGamingTV	1
210	bloodbiter	1
210	Jakobo1337	1
210	DSYisDizzy	1
210	bl1ss0	1
210	CarltheCuck	1
210	Skylord_Luke	1
210	Werbe	1
210	AncientShards	1
210	Tyrannosplart	1
210	NameGenerat0r	1
210	creatineshakes	1
210	Gus2005	1
210	nagyvad	1
210	NiveauSubmarine	1
210	Razzgriz	1
210	Soul_Atreus	1
210	Eraxa	1
210	NamelessGG	1
210	zOnlyKroks	1
210	KASAN420	1
210	MelodyGaysharks	1
