rank	username	minecraft:used/minecraft:bamboo_fence_gate
1	Mr_Byzantine	34
2	Merv__	29
3	robonya_	18
4	SpacesickPrism	8
5	Enderxz3	4
6	Steelynan	2
6	Jimb0nat0r	2
8	TheSecondLord	1
8	LuvLuvLove	1
