rank	username	minecraft:used/minecraft:golden_sword
1	Akoot_	1950
2	Yahrto	789
3	M_Patata	724
3	MasterNueve	724
5	numbra	335
6	xXxSebastianLxXx	96
7	sufjanlover	92
8	33sudo	87
9	bloodbiter	83
10	Stewart32547	78
11	YungMaki	75
12	Lowjinx	73
13	Poppy235	65
14	Ilinca_Io	61
14	Cryptacity	61
16	NotMeowMix	53
17	Cambo5000	51
18	Elprone266	50
19	Winklepicker279	49
20	_Crimson_Legate	42
21	GingerNeutron	38
21	SuperPooch06	38
21	Toriankel	38
24	Ronce_Mormel	36
24	Meepcraft	36
26	Jackywho	34
26	platinumzero	34
26	halfbakedlasagna	34
29	Voltique69	33
29	jedi_george	33
29	aec9	33
29	djancak	33
33	lewieinnit	32
33	Kamflame10	32
33	intropass	32
33	SeverianTheLame	32
33	El_Jalapeno	32
33	Razzgriz	32
33	_AAZAR	32
40	censorsheep	31
41	eitanzaki	30
42	himak1	29
42	SevenMELIODAS	29
44	YahooScreen9000	26
44	NomadicRobin_	26
44	HAruSAme14	26
47	SomeWanderer	25
47	MakeHistory157	25
49	zMarciano	24
50	claivin	23
51	Quinasin	22
51	CookTheChef3	22
51	JasmineGK	22
54	Historical_Sand	21
55	noam464	20
56	DarlaMeow	19
56	Smoke____	19
58	mimbo1211	18
58	wezzzi	18
58	EcksD	18
61	shyshyannne	17
62	AshleeCW	15
62	Legendosh	15
62	vandmanden	15
65	jimintyy	13
65	UrbanPlanner1978	13
67	Groovy_MoonBird	12
67	featherflyy	12
67	420BreadLizard	12
70	kekhon	11
71	happy_mileo	10
72	Nucket	9
72	_ritter	9
72	a_smol_bean	9
75	AlejandroPH1	8
75	Arceus1975	8
75	cwartzo	8
75	AlexChristian	8
75	Nictoon	8
80	JEWISHBadenBeele	7
80	ROY4LE	7
80	Hyp3rion_	7
80	Leyna3	7
80	DolphinLaugh	7
85	TheSecondLord	6
85	Jackattack53	6
85	MyNameIsDakar	6
85	CalebDHawk	6
89	SirMinza	5
89	dream_mist	5
89	TTNG	5
89	KnightmareD	5
89	SkateboardR6	5
89	NebulousBadger	5
89	stijnbro	5
96	jushykins	4
96	Kkanot	4
96	set67	4
96	Queen_Jalapeno	4
96	Kynigito	4
96	Inbefour	4
96	_Memento_Mori	4
96	Powowowow	4
104	Ninzyyy	3
104	beeperbeeper5	3
104	ketaminmann	3
104	PigDab	3
104	aa2x_	3
104	NameGenerat0r	3
104	Groundler	3
104	Spacewardharpy7	3
104	sebastiensaborio	3
113	gcaisawesome	2
113	MiningPie	2
113	Infernowithazero	2
113	Sqwishy	2
113	XxCookiequeenxX	2
113	HellsSponge	2
113	Frozil12	2
113	Bloo2406	2
113	Blaiku	2
113	DarkLawD	2
113	stereotypical_	2
113	stavgod	2
113	ProbsNotNova	2
113	Ezekson	2
113	Zoeyfortnite	2
128	pintsizedrogue	1
128	King_Wars125	1
128	SirUnderpants	1
128	Hyugo	1
128	JapansDragon	1
128	Rasaq	1
128	rarrq	1
128	chlorinex	1
128	4383	1
128	Kimmureil	1
128	Xalithia	1
128	SlayerCrypto	1
128	Di_infiri	1
128	thewindmillman	1
128	MooxPlaysRust	1
128	Freak_Genius	1
128	TheDumbHuman	1
128	Eraxa	1
128	pixelviolin	1
128	Kowcio_	1
128	starbits140	1
128	PortlyPete69	1
128	alderban107	1
