rank	username	minecraft:used/minecraft:polished_granite_slab
1	joethahobo	30165
2	beeperbeeper5	4628
3	Smoke____	3372
4	Steelynan	2413
5	DanTheBuilderino	2209
6	Merv__	1563
7	Touched_Bread	1084
8	YungMaki	969
9	Mahoose	844
10	AlphaWolfPlaysMC	733
11	Doom_melon	635
12	valkam13	617
13	ShedJr_	426
14	TheShyPig	363
15	luseis	344
16	Frozil20	296
17	kekhon	253
18	Lord_Jord	236
19	_Bguette_	190
20	stellarjay	184
21	Onennon	183
22	Shogunite	174
23	LeauVox4921	167
23	malgosia14	167
25	Ssor69	142
26	ATrojansLegend	126
27	BobDeBouwer1337	123
28	Soplight	118
28	Enderxz3	118
30	the_fireminer	111
31	Hoid_the_Roamer	109
32	ProfessorDiaper	108
32	CalebDHawk	108
34	Groovy_MoonBird	105
34	PlasticOtari	105
36	seramalen	104
37	youhjjhhhjj	103
38	SexcMf	99
39	ImpavidArcher	98
40	2Stout	96
41	Werbe	92
42	xolstoi	89
43	FirsTimeGamingTV	76
44	Winklepicker279	70
45	SingedBread	68
46	Mr_Byzantine	64
47	_Karmaa	60
48	NameGenerat0r	56
49	Huwulling	53
49	Moofyman	53
51	Deerfoot	52
52	Matorz	49
52	Eraxa	49
54	TheThomas69	48
55	KarlKaek	47
55	Snowflowe	47
57	NNikitas	43
58	Kakolbus	42
59	_stets	41
60	ThiccExotic	39
60	Racengan	39
62	m_be9	38
63	himak1	37
64	Lukeee33	36
64	mwrty	36
66	SaucyDark	33
66	Ezekson	33
68	Inchef	30
69	Fullut	28
70	hayybails	24
71	Hpdinosaur	22
71	Stiar	22
73	pintsizedrogue	19
74	ItsAki_	17
74	Inbefour	17
74	UCP_TheKingK	17
77	Quotary	16
77	Nicserso	16
79	Felenov	14
80	Legendosh	13
81	Tyrannosplart	12
81	MineMaster0012	12
83	FGamerJ	11
84	bpmm	10
84	El_Jalapeno	10
86	Historical_Sand	8
87	AnnieBathory	6
87	Maenara	6
87	Tergandius	6
87	HellsSponge	6
87	Spacewardharpy7	6
92	Deathkob	5
92	claivin	5
94	noam464	4
94	pappaberg	4
94	Drewen24	4
94	VentiHilton	4
98	eitanzaki	3
98	500am	3
98	Kkanot	3
101	lillips	2
101	Meatlaugh	2
101	fluddd	2
101	Kowcio_	2
101	laron58	2
101	jnp_gaming	2
107	TheSecondLord	1
107	SteveCraftBlocks	1
107	r123moore	1
107	Di_infiri	1
107	TiborSterle	1
107	razorarctic	1
107	BlankityMcBlank	1
107	tartanboy	1
