rank	username	minecraft:used/minecraft:purple_stained_glass_pane
1	TheShyPig	1600
2	burbankbuilder28	653
3	lordpipe	636
4	HellsSponge	359
5	00000000-0000-0000-0009-01ff0c3e5e4f	350
6	Dreamdbr14	280
7	jnp_gaming	229
8	Merv__	151
8	Shogunite	151
10	Steelynan	123
11	titanlax	112
12	ROY4LE	96
12	VentiHilton	96
14	beeperbeeper5	86
15	6king6colt6	80
16	Ezekson	78
17	heckface	72
18	TheSecondLord	69
19	YungMaki	56
20	MakeHistory157	55
21	pintsizedrogue	51
22	jacxhadow	45
23	Jovaphobic	41
23	ProbsNotNova	41
25	NomadicRobin_	39
26	Eraxa	33
27	Lez_	32
27	FishyBoy3811	32
29	El_Jalapeno	25
30	Onennon	22
31	Rumpletaezer	19
32	Arceus1975	18
32	AnnieBathory	18
34	Fullut	17
35	mihimihimihi	15
36	UncreativeArtist	13
36	AltnumberF4	13
38	jcool7	12
39	Mahoose	11
40	_Boipl_	8
40	420BreadLizard	8
40	luseis	8
40	TheEnderMan548	8
40	HesDemonPants	8
45	ShedJr_	6
45	Chromary	6
45	RealGroot	6
48	noam464	5
49	livingdaydreams	4
50	ColeSnyder	3
50	ZaneABrain	3
52	MattieHD	2
52	DAD_1996	2
52	Akoot_	2
52	Wowful	2
52	gusstationwerker	2
52	xzvu	2
52	TechnoNinja64	2
59	SaucyDark	1
59	thescout7	1
59	Di_infiri	1
59	Blaiku	1
59	Spacewardharpy7	1
59	Kubeusz2010	1
