rank	username	minecraft:used/minecraft:sponge
1	Ezekson	14580
2	joethahobo	14405
3	thewindmillman	7922
4	Lord_Jord	5622
5	EMC_	5140
6	EcksD	4796
7	Blu3beast	4669
8	BumbleBeever	4515
9	HellsSponge	4364
10	Enderxz3	4245
11	MightyWertu	4032
12	Spacewardharpy7	3997
13	Snowflowe	3729
14	EngagedGrub41	3727
15	Bumpy419	3636
16	MilleGrug	3556
17	non089	2985
18	YungMaki	2732
19	diamondgolem35	2688
20	Blaiku	2591
21	eviltunix	2323
22	PigDab	2285
23	Smoke____	2159
24	NomadicRobin_	2130
25	Groundler	1996
26	Drawgirl	1920
27	obzii	1917
28	PhantomsGhost_	1833
29	noam464	1769
30	Jackattack53	1656
31	RealGroot	1593
32	Di_infiri	1524
33	Kakolbus	1489
34	Hyp3rion_	1292
35	beeperbeeper5	1284
36	IamCL4SSY	1263
37	Maenara	1255
38	ImpavidArcher	1176
39	pintsizedrogue	1171
40	Barlycorn	1163
41	MirielThePastor	1116
42	lizardfightclub	1065
43	SpacesickPrism	1061
44	lordpipe	1011
45	eitanzaki	973
46	gcaisawesome	966
47	xDraggin	963
48	Fullut	959
49	himak1	904
50	Comma__	781
51	500am	749
52	Hermanni__	713
53	Awyrlas	625
54	MAns_44	585
55	Paintz	562
56	Chromary	550
57	M_Patata	506
57	MasterNueve	506
59	Iagoku	496
60	Kowcio_	458
61	QueenShuvi	457
62	vandmanden	450
63	Inbefour	437
64	Lez_	428
65	Rebytre	420
66	Frozil20	407
67	Zoeyfortnite	397
68	SammiWolfGirl	393
69	Fuad_R	386
70	NameGenerat0r	383
71	FishisTTV	374
72	mihimihimihi	367
73	Skippeh	336
74	12Magner05	321
75	Legendosh	286
76	Alexanderjac	284
77	Rumpletaezer	267
78	The11thDoctor	255
79	Arceus1975	222
80	binman420	218
81	RoofTyler	203
82	ConnorDanky_	190
83	calamariclam_I	179
84	FelixPSY375	178
85	PortlyPete69	176
86	Deodorante	175
87	TheDankPlatypus	172
88	tsitrawhy	169
89	Onennon	167
90	Flapjacker687	165
90	Akoot_	165
92	Powowowow	163
93	NinjaKnifeKill	150
93	The_slideV3	150
95	Da_Boss_Rani	148
96	Zaridey	144
97	Hiryu27	140
98	Jovaphobic	138
98	T045RTY	138
98	1442	138
101	yatsuta	137
102	ApophisNova	135
102	MyNamaSheff	135
104	Dogcorn69420	130
105	TheShyPig	129
106	Mattesco	125
107	gusstationwerker	123
108	__tomato	119
109	6king6colt6	118
109	DarkS0L	118
111	Shogunite	116
112	fffMike	115
113	Malorn_Aetherius	109
114	diggydog67	107
115	TheSecondLord	106
115	Iamthejo	106
117	2Stout	103
118	luseis	96
119	sandmire	94
120	MattieHD	91
121	jnp_gaming	88
122	jcool7	87
123	mwrty	85
124	Mahoose	84
125	Inchef	83
125	FreakGenius	83
127	CollinMH06	81
128	Marbz_	74
129	paranoid_plant	64
130	CalebDHawk	63
131	DarlaMeow	62
132	iSammael	59
133	Skylord_Luke	57
133	Eraxa	57
135	Nicky_H225	56
135	Kynigito	56
137	bigstankyy	55
138	ssleepless	54
139	NatalieTW	52
140	Merv__	50
141	Cryptacity	48
142	_Boipl_	43
142	_TCARREIRA_	43
144	claivin	41
145	TechnoNinja64	39
146	Alteriity	37
147	Racengan	34
148	xxPipperDipperxx	32
149	BartekB19	31
149	Kijiki	31
151	Sral7	30
152	Huwulling	27
152	F_Uhre	27
154	robotemo	25
155	Rocco_Lane	24
155	stavgod	24
157	emrekn	23
157	Factoroni	23
159	LittleBug562	22
159	SuperPooch06	22
161	Notta	21
162	Blackberry1310	20
163	DarkDescent2392	18
163	Touched_Bread	18
165	MrKrabOnCoke	17
165	MinttyFressh	17
165	WET_WET_WET	17
168	kekhon	16
169	Werbe	15
169	Soap_Bender	15
171	Historical_Sand	13
171	Mythic1130	13
173	rarrq	10
173	olliebollie48	10
173	Russiancat1	10
176	_Karmaa	9
176	ProbsNotNova	9
176	Njensen7	9
176	Steelynan	9
180	_Virify_	8
181	DAD_1996	7
182	hm947	6
182	EveryonesUncle	6
184	_Frepp_	4
184	Paradoxion	4
184	XboxPanda	4
184	Warlord324	4
184	pixelviolin	4
189	SmashingPump	3
189	oreee	3
189	Winklepicker279	3
189	Wowful	3
193	Zythose	2
193	Nicky19	2
193	Xclax101	2
193	Soplight	2
193	LeEricc	2
198	theofiel	1
198	fkGrim	1
198	ReflexCode	1
198	monky_irl	1
198	Dusk_95	1
198	SvenskaHugo	1
198	djancak	1
198	HAruSAme14	1
198	JayToe	1
