rank	username	minecraft:used/minecraft:oxidized_copper
1	weabis	800
2	pintsizedrogue	752
3	PlasticOtari	505
4	EMC_	355
5	Enderxz3	147
6	SpacesickPrism	115
7	Steelynan	78
8	luseis	72
9	Manaateee	66
10	YungMaki	65
11	mihimihimihi	62
12	iSammael	44
13	Fuad_R	40
14	Mr_Sun15	36
15	mobunni	32
16	00000000-0000-0000-0009-01ff0c3e5e4f	31
17	diamondgolem35	23
18	Spacewardharpy7	19
19	Apollo_993	18
20	bearlystraight	16
21	AdmiralSmoke	12
22	jessewegottacook	9
23	Kowcio_	6
24	sp00ky_ghost977	5
25	thewindmillman	4
26	500am	3
26	Mattesco	3
26	CuzIm2Kev	3
26	EcksD	3
30	TruestTurnip	2
30	EveryonesUncle	2
30	Jimb0nat0r	2
33	SmashingPump	1
33	TheSecondLord	1
33	12Magner05	1
33	Jimi7hits	1
33	NameGenerat0r	1
33	Heisenbberrg	1
33	MNMann44	1
33	Iamthejo	1
