rank	username	minecraft:used/minecraft:respawn_anchor
1	iSammael	75
2	binman420	66
3	noam464	50
4	PlasticOtari	29
5	beeperbeeper5	15
6	thewindmillman	14
7	eitanzaki	12
8	Rebytre	6
8	RoofTyler	6
10	Apollo_993	4
10	fade_emerge78823	4
10	HellsSponge	4
10	Eraxa	4
14	ImpavidArcher	3
14	Winklepicker279	3
16	pintsizedrogue	2
16	RebelAndroid	2
16	T045RTY	2
16	ShedJr_	2
16	Fullut	2
16	Enderxz3	2
22	Sleek_Storm_721	1
22	I_Am_Mushkin	1
22	Esme_1	1
22	hm947	1
22	Mahoose	1
22	ITDV	1
22	Historical_Sand	1
22	rarrq	1
22	Blackberry1310	1
22	mwrty	1
22	shadowthemonkey	1
22	Di_infiri	1
22	Jackattack53	1
22	YahooScreen9000	1
22	masskedman	1
22	FreakGenius	1
22	censorsheep	1
22	Mythic1130	1
22	Kowcio_	1
22	YungMaki	1
22	RealGroot	1
22	Jimb0nat0r	1
22	Smoke____	1
22	diggydog67	1
