rank	username	minecraft:used/minecraft:nether_quartz_ore
1	Groundler	10000
2	RebelAndroid	3416
3	m_be9	3192
4	Kouridragon	3086
5	Hyp3rion_	2696
6	PigDab	2468
7	Snowflowe	2256
8	ImpavidArcher	2236
9	lordpipe	2223
10	Frozil20	2218
11	Blaiku	2073
12	Cowison	1842
13	ApophisNova	1801
13	MyNamaSheff	1801
15	oscminus	1776
16	Lord_Jord	1732
17	Kakolbus	1709
18	EveryonesUncle	1671
19	Ezekson	1617
20	KartivGal	1561
21	SingedBread	1548
22	F_Uhre	1491
23	shadowthemonkey	1310
24	set67	1291
25	Marbz_	1222
26	xolstoi	1180
27	joethahobo	1164
28	Yatitay	1003
29	CoffeeNoir	943
30	TheSecondLord	937
31	Rocco_Lane	907
32	IamCL4SSY	861
33	Enderxz3	835
34	Akoot_	818
35	Spacewardharpy7	762
36	Shogunite	757
37	surfinggiraffejp	721
38	Krowuss	716
39	Hisiste	708
40	eitanzaki	656
41	claivin	652
42	kekhon	594
43	Merv__	569
44	Blu3beast	542
45	NomadicRobin_	539
46	livingdaydreams	504
47	EMC_	503
48	TheShyPig	499
49	The_slideV3	494
50	k_ce	491
51	TheSeismicDuck	455
52	301851	439
53	Hermanni__	437
54	r123moore	417
55	Napoleonpancake	414
56	thescout7	404
57	Swexti	381
58	Bumpy419	353
59	Smashic	351
59	MightyWertu	351
61	Eczbek	350
62	Iamthejo	342
63	thewindmillman	339
64	mihimihimihi	337
65	Xalithia	325
66	mariominejedi	323
67	Blackberry1310	322
68	_8man	320
69	HellsSponge	319
70	noam464	314
70	AdmiralSmoke	314
72	legal_tax_evader	304
72	audiocracked	304
74	PlasticOtari	301
75	GooseWithin	290
76	AngalexikCZ	282
77	TheEnderMan548	277
78	Manaateee	276
79	Lutres_	271
80	Segotep999	263
81	Soplight	257
82	Skylord_Luke	255
83	TheThomas69	250
84	himak1	246
85	KGTV	245
86	gcaisawesome	237
87	skrongus	234
88	Eczbox	233
89	Di_infiri	224
90	Quotary	222
91	emrekn	208
92	ClemenPine	206
93	hm947	200
93	Mahoose	200
95	07shiny	199
96	Skippeh	195
97	leaf26	192
98	PhantomsGhost_	186
98	SSytex_X	186
100	StinkyDiplomat	182
101	MilleGrug	181
102	M_Patata	174
102	MasterNueve	174
104	Winklepicker279	171
105	Arceus1975	164
106	Kegradigm	162
107	pintsizedrogue	155
108	Nicserso	151
109	Jackattack53	147
110	EcksD	146
111	Comma__	142
112	Deathkob	134
113	NameGenerat0r	131
114	YungMaki	129
114	obzii	129
116	SaucyDark	128
117	luseis	126
118	Scathra	125
119	Soap_Bender	122
119	RedcatVII	122
121	AltnumberF4	120
122	Hpdinosaur	100
123	ShedJr_	95
124	Werbe	94
125	BumbleBeever	88
126	Leyna3	85
127	jcool7	84
128	FirsTimeGamingTV	82
129	Zythose	78
130	pixelviolin	76
130	Jimb0nat0r	76
132	00000000-0000-0000-0009-01ff0c3e5e4f	75
133	Hahaa_0	74
134	beeperbeeper5	72
135	j5ylim	70
135	rarrq	70
137	MustardSquid	69
137	__tomato	69
139	trexgb	67
140	SmashingPump	66
141	ConnorDanky_	65
142	jushykins	64
142	ProfessorBee	64
142	DTwenty	64
145	Stynxy	60
145	MakeHistory157	60
147	MyNameIsJobo	59
148	non089	55
